;mean;min;max;median;std;var
4096;0.006570962094701827;0.003974773921072483;0.008739197626709938;0.006606712006032467;0.0011503548596283975;1.3233163030706701e-06
6144;0.006073164218105376;0.003604465164244175;0.009199793450534344;0.005694955121725798;0.0014510543696397964;2.105558783650747e-06
8192;0.006103036971762776;0.004423830658197403;0.00857087504118681;0.005979705369099975;0.0010468424552581334;1.095879126130877e-06
10240;0.00586779615841806;0.003300795331597328;0.008288090117275715;0.005735526792705059;0.0012655727844645094;1.6016744727772514e-06
12288;0.005760276655200869;0.003710605436936021;0.007407232187688351;0.005623354576528072;0.0009626040518758018;9.266065606877112e-07
14336;0.006052290741354227;0.003913952969014645;0.008764417842030525;0.005925539648160338;0.0011501890303187818;1.3229348054656598e-06
16384;0.006551595497876405;0.004626726731657982;0.009163477458059788;0.0064449545461684465;0.0010273520097043483;1.0554521518435631e-06
18432;0.0065068987198174;0.004665689077228308;0.008117577992379665;0.00656695500947535;0.0009065375358470143;8.218103038995767e-07
20480;0.006025576335377991;0.003742021508514881;0.00907343253493309;0.005524303298443556;0.0014596073393422497;2.1304535850617613e-06
22528;0.00633733591530472;0.004072548821568489;0.009194125421345234;0.006421129452064633;0.001211216937297516;1.4670464691963748e-06
24576;0.006097217160277069;0.0032854867167770863;0.008554639294743538;0.006149146240204573;0.0011560072808408472;1.3363528333570493e-06
26624;0.006372138462029398;0.004116240888834;0.0091578783467412;0.006126848515123129;0.0014410815379268555;2.076715998953631e-06
28672;0.006568201072514057;0.004329118877649307;0.0083834920078516;0.006681004771962762;0.0011664260354514754;1.3605496961790469e-06
30720;0.006106713716872036;0.00420699268579483;0.009128309786319733;0.005869215354323387;0.0013295136765065125;1.7676066160178636e-06
32768;0.006954114325344563;0.004110571928322315;0.010831695050001144;0.00657513621263206;0.0016795359743920367;2.8208410892770078e-06
34816;0.007013427815400064;0.004210667684674263;0.010343722999095917;0.007077776128426194;0.001414665372645516;2.0012781165622766e-06
36864;0.006985062500461936;0.004987273830920458;0.01286947913467884;0.006719721481204033;0.0017092892597446079;2.92166977347827e-06
38912;0.007131161773577333;0.004819710738956928;0.00934335496276617;0.006895428756251931;0.0011388019428436062;1.2968698650243722e-06
40960;0.007255144324153662;0.005030236206948757;0.009815311059355736;0.007296627387404442;0.0011829691264815868;1.3994159542086083e-06
43008;0.007445321744307875;0.0059840064495801926;0.00958043709397316;0.007302476558834314;0.0011062024487612494;1.2236838576453845e-06
45056;0.0071555865230038766;0.005534736439585686;0.009634386748075485;0.0067317846696823835;0.0012252299078668169;1.5011883271313285e-06
47104;0.007279385207220912;0.005557440686970949;0.008858426474034786;0.00732173235155642;0.0009626153728837485;9.266283561121183e-07
49152;0.007199246017262339;0.00560780568048358;0.00858413614332676;0.007078729337081313;0.0008180890459852864;6.69269687161116e-07
51200;0.007900364487431944;0.0057142809964716434;0.01334761269390583;0.0074909948743879795;0.0015760472300046483;2.4839248712053248e-06
53248;0.007724693301133812;0.004431211389601231;0.010825454257428646;0.0077787223272025585;0.0014486110397243768;2.09847394441134e-06
55296;0.00709093832410872;0.00394404586404562;0.010233942419290543;0.007056979462504387;0.0014421376858563186;2.0797611049670176e-06
57344;0.007667769957333803;0.005637273192405701;0.010629182681441307;0.007595881354063749;0.0011702680633799004;1.3695273401669428e-06
59392;0.007380873896181583;0.005794452037662268;0.009880118072032928;0.0070817796513438225;0.0011636072853503103;1.3539819145203187e-06
61440;0.007305697654373944;0.00563070410862565;0.00939907692372799;0.007355815730988979;0.0009796557841254194;9.597254553703904e-07
63488;0.00810464732348919;0.005538114346563816;0.011249739676713943;0.00787792750634253;0.0014246150613699054;2.029528073081979e-06
65536;0.007753963908180594;0.005487934686243534;0.010411306284368038;0.007805196568369865;0.001275443932359821;1.6267572245934837e-06
67584;0.008123995270580053;0.006024506874382496;0.010704707354307175;0.008272574748843908;0.0012506296257113136;1.5640744607068203e-06
69632;0.008271651295945048;0.006722096353769302;0.010678952559828758;0.008034951984882355;0.0011128106496727957;1.2383475420251899e-06
71680;0.008310014964081347;0.005997438915073872;0.011236529797315598;0.00827672379091382;0.0013350345942225099;1.7823173677708617e-06
73728;0.008293305174447596;0.005985453259199858;0.011540457606315613;0.00804987270385027;0.0017324656761042423;3.0014373188793293e-06
75776;0.00837849525269121;0.0061882128939032555;0.011017926037311554;0.008313957136124372;0.0012773022810648779;1.6315011172135403e-06
77824;0.008975878986530007;0.006203574128448963;0.012458141893148422;0.008815665729343891;0.0013575473417300739;1.84293478503839e-06
79872;0.00898338311817497;0.006821603514254093;0.012869748286902905;0.008978141937404871;0.0015805779980011157;2.4982268077652147e-06
81920;0.00886283810250461;0.006483582779765129;0.011282140389084816;0.009063126984983683;0.0012312168478651265;1.515894926466938e-06
83968;0.008396745123900474;0.005533306393772364;0.01274294126778841;0.008344852831214666;0.001594722740102028;2.543140617798521e-06
86016;0.009239041968248785;0.007521991152316332;0.011879396624863148;0.00880359672009945;0.0012826324408296652;1.6451459782686647e-06
88064;0.008898623031564057;0.0056292153894901276;0.012428199872374535;0.008818186819553375;0.0017062205691051717;2.911188630437576e-06
90112;0.009226147131994367;0.007482882589101791;0.013869047164916992;0.009076408576220274;0.0012826104203088613;1.6450894902848738e-06
92160;0.009643497131764888;0.006930129136890173;0.014759492129087448;0.009291037917137146;0.0022301531044942808;4.9735828694854775e-06
94208;0.009675375185906887;0.007215041667222977;0.01900678500533104;0.008926880545914173;0.0025972255934256466;6.745580783145202e-06
