;mean;min;max;median;std;var
4096;10.802137446403503;2.475940227508545;32.847625732421875;8.348678588867188;7.957946463573971;63.328911917109465
6144;7.584181022644043;1.1312251091003418;25.40860366821289;5.611337900161743;5.6735694862534585;32.189390715346335
8192;10.958521240949631;1.5162326097488403;23.79001235961914;8.817883491516113;6.207301690518267;38.53059427711093
10240;12.00893805027008;3.8197736740112305;30.488630294799805;11.58660364151001;6.206395193860387;38.519341302373306
12288;11.596690142154694;2.993419647216797;28.210506439208984;8.535045385360718;6.886547038773499;47.42453011724005
14336;14.47289074063301;1.304505467414856;37.36125183105469;11.847481727600098;9.25855834695837;85.72090266403252
16384;15.63434145450592;3.8599953651428223;34.874549865722656;13.538928508758545;8.32180693113065;69.25247059901413
18432;15.828582286834717;2.454033613204956;34.7956428527832;14.490485191345215;9.131657791641436;83.38717402364574
20480;19.274996423721312;5.030917644500732;36.916786193847656;19.960477828979492;8.770292957191199;76.91803855495755
22528;23.17333378791809;5.7691850662231445;50.397865295410156;22.037357330322266;11.617409628163417;134.96420646854406
24576;23.995962834358217;7.042173862457275;46.62295150756836;26.588834762573242;12.41014511409409;154.01170175287342
26624;32.174680137634276;9.632556915283203;54.492645263671875;32.085166931152344;14.328445897018954;205.3043618237993
28672;26.801679682731628;7.626052379608154;49.62690353393555;24.088241577148438;11.347005435389002;128.75453235074755
30720;33.38063027858734;6.692686557769775;56.52556610107422;33.921098709106445;13.408551888112468;179.78926373620445
32768;33.237248277664186;13.480581283569336;62.355403900146484;28.845221519470215;15.813238077764533;250.05849850406213
34816;37.34046692848206;10.979450225830078;88.80812072753906;30.286344528198242;20.9807372582394;440.191335899275
36864;40.7782057762146;6.7562971115112305;107.80867767333984;37.91084098815918;20.068891307292176;402.76039830390755
38912;43.38249473571777;24.116548538208008;72.2495346069336;43.310916900634766;13.236024417086952;175.19234236972198
40960;41.624746561050415;15.98060131072998;85.52269744873047;34.80972671508789;19.481977214670426;379.5474361929376
43008;49.29481182098389;24.76033592224121;95.34024047851562;47.05094337463379;17.336416023363725;300.5513205351425
45056;47.8337233543396;24.620037078857422;82.32421875;45.61260795593262;15.713031332175536;246.89935364593012
47104;54.073762607574466;21.098295211791992;94.1586685180664;51.299203872680664;15.823226804744928;250.3745065143984
49152;55.50933628082275;20.11897087097168;113.63455200195312;51.86445426940918;21.82197621761721;476.19864604225114
51200;61.061269474029544;29.830883026123047;112.48388671875;55.01300048828125;23.54535044518299;554.3835275864787
53248;69.0469841003418;36.957950592041016;114.17958068847656;71.40206527709961;21.142071917228186;446.9872049532487
55296;74.60056114196777;25.254959106445312;123.9940414428711;76.96096420288086;20.834286975032743;434.06751375801906
57344;72.81377973556519;28.11272621154785;125.49359893798828;69.25139236450195;26.87163269799175;722.0846438557794
59392;72.84592151641846;25.163326263427734;99.29985809326172;74.10632705688477;18.407877168385948;338.8499418463847
61440;77.54711980819702;30.903196334838867;120.74742889404297;80.07517623901367;23.999933251650905;575.9967960836988
63488;84.78688716888428;42.703006744384766;162.49293518066406;73.81245040893555;33.62519261917572;1130.6535786766694
65536;84.01821365356446;44.33243179321289;161.1212158203125;76.70243453979492;30.176532235043556;910.6230977326229
67584;92.45066623687744;42.61131286621094;149.69329833984375;85.83981323242188;34.23018513661359;1171.705574486842
69632;81.42162342071533;36.690330505371094;136.55722045898438;82.87089538574219;22.683810991051867;514.5552810777656
71680;87.06198749542236;39.36377716064453;154.8402557373047;84.52391052246094;29.32643997190293;860.0400814256258
73728;86.02334423065186;46.57286834716797;138.54092407226562;82.84765625;25.331331784072464;641.6763699547598
75776;91.35063705444335;46.339752197265625;150.99343872070312;96.21166610717773;27.482832296370912;755.306071030448
77824;98.31993522644044;51.353267669677734;202.40151977539062;88.3687858581543;34.65374140238462;1200.8817931833457
79872;94.79846096038818;44.4213752746582;130.43887329101562;93.93626403808594;24.067310289933545;579.2354245919411
81920;88.48017864227295;46.53480529785156;142.14111328125;82.88969039916992;29.033966301632365;842.9711992043237
83968;96.27880020141602;37.70590591430664;142.3404083251953;97.41864395141602;27.82475401447113;774.2169359658271
86016;92.30925540924072;50.42319107055664;183.8110809326172;85.1080551147461;30.297344707109616;917.9290963014231
88064;106.90793228149414;47.91496276855469;212.79476928710938;99.11866760253906;35.91753947309081;1290.0696418010368
90112;103.39098300933838;52.09944152832031;166.06214904785156;107.8006591796875;30.550464761372766;933.330897135879
92160;85.82408905029297;43.667999267578125;138.06495666503906;83.5825080871582;24.182421031606875;584.7894869499025
94208;101.88841953277588;49.510807037353516;207.81332397460938;95.71623992919922;33.697333201153754;1135.510264869579
96256;104.80077991485595;48.09852981567383;189.02442932128906;110.70770645141602;33.287870961393786;1108.0823531424035
98304;90.85349254608154;39.04815673828125;182.3216552734375;90.66813659667969;27.244972399794495;742.2885210655637
100352;92.28664283752441;58.783042907714844;157.16180419921875;84.80570602416992;24.592882699234494;604.8098794583073
