;mean;min;max;median;std;var
4096;-0.006835505203343928;-0.00879821926355362;-0.004480019211769104;-0.006984638748690486;0.001106114365077235;1.2234889886302148e-06
6144;-0.005781069223303348;-0.008866717107594013;-0.002789749065414071;-0.0057291926350444555;0.0017016459910242688;2.8955990787689663e-06
8192;-0.005578379530925303;-0.009648414328694344;-0.0032498082146048546;-0.0056749212089926004;0.0014930793849055018;2.2292860496297915e-06
10240;-0.006023730989545584;-0.01042882353067398;-0.0035554291680455208;-0.005547156557440758;0.001760177700967643;3.0982255389837372e-06
12288;-0.005413110146764666;-0.007545889355242252;-0.003001910401508212;-0.005533070303499699;0.0013547009430502027;1.8352146451011085e-06
14336;-0.006416211009491235;-0.00978138018399477;-0.0032028669957071543;-0.00666974438354373;0.0015262668436504547;2.3294904780267212e-06
16384;-0.006578385340981185;-0.009745131246745586;-0.003991987090557814;-0.0065810095984488726;0.0014294480169230446;2.0433216330852246e-06
18432;-0.006709601450711489;-0.010035088285803795;-0.004558282904326916;-0.006466361228376627;0.0014486603394464686;2.0986167790851574e-06
20480;-0.006437723117414862;-0.00963904894888401;-0.0034907993394881487;-0.006099305115640163;0.001713931809049327;2.9375622460710988e-06
22528;-0.00665296227671206;-0.010081270709633827;-0.004046416841447353;-0.006088942987844348;0.0015992203721541468;2.557505798712848e-06
24576;-0.00702750978525728;-0.009609617292881012;-0.0040970793925225735;-0.006860868539661169;0.00161225394373657;2.599362779094123e-06
26624;-0.007555273990146816;-0.010824453085660934;-0.004217721987515688;-0.007676420966163278;0.0016314948968000444;2.6617755982845877e-06
28672;-0.007663343474268914;-0.01028466783463955;-0.0039526051841676235;-0.007901069708168507;0.0016864392909189398;2.8440774819551766e-06
30720;-0.007111934828571975;-0.00939616747200489;-0.004422827158123255;-0.006914518075063825;0.001251578775560811;1.566449431434299e-06
32768;-0.008537604007869959;-0.012879286892712116;-0.005576693918555975;-0.008452238515019417;0.0020025349042964353;4.010146042925534e-06
34816;-0.007957701943814755;-0.011894598603248596;-0.0035822917707264423;-0.007924578618258238;0.001812715584740959;3.2859377911627567e-06
36864;-0.00853657852858305;-0.011234693229198456;-0.005600300617516041;-0.008357624989002943;0.0015298842054182814;2.3405456819883264e-06
38912;-0.008926039445213974;-0.01211397536098957;-0.005626484286040068;-0.008468623738735914;0.0018512635773974084;3.4271768329982506e-06
40960;-0.008999823802150786;-0.011158304288983345;-0.006554333958774805;-0.009729514829814434;0.0014332952062302267;2.054335148202548e-06
43008;-0.009128065616823732;-0.013197002932429314;-0.005132222548127174;-0.008777214214205742;0.0024202030286508323;5.857382699890661e-06
45056;-0.00963465056847781;-0.013337288051843643;-0.005553313065320253;-0.009548128582537174;0.0018763991058980273;3.520873604614916e-06
47104;-0.009626553021371364;-0.011733810417354107;-0.00689126318320632;-0.009843276347965002;0.0013798595715311343;1.9040124371460855e-06
49152;-0.009644661261700094;-0.012741749174892902;-0.007039440795779228;-0.00976939732208848;0.0016552487538230903;2.7398484370328935e-06
51200;-0.010287508927285671;-0.013770005665719509;-0.006860954221338034;-0.010236494243144989;0.0016460851255013728;2.70959624039687e-06
53248;-0.009264048584736884;-0.012209353968501091;-0.005178379360586405;-0.009401251561939716;0.0018336575780625653;3.3623001135862724e-06
55296;-0.009251404064707458;-0.011594944633543491;-0.006062416825443506;-0.009432532358914614;0.0015573437392624439;2.425319522219931e-06
57344;-0.009916419885121286;-0.012676347978413105;-0.007031526882201433;-0.009878121316432953;0.0014409379744903205;2.0763022463282674e-06
59392;-0.01032466848846525;-0.013413116335868835;-0.006704048719257116;-0.009903433732688427;0.0019269352775856602;3.7130795640041255e-06
61440;-0.010531961848028005;-0.012682448141276836;-0.00756135443225503;-0.010643186513334513;0.001340397953358012;1.796666673366347e-06
63488;-0.010355077590793372;-0.015795985236763954;-0.007783172652125359;-0.009844723623245955;0.0019499013719513456;3.8021153603377394e-06
65536;-0.010250780498608947;-0.014242688193917274;-0.006107051856815815;-0.009947032667696476;0.001821744799600741;3.318754114872344e-06
67584;-0.010135038010776042;-0.013844147324562073;-0.007833301089704037;-0.009862155187875032;0.0014121258070054646;1.9940992948108344e-06
69632;-0.010656560724601149;-0.014263140968978405;-0.007913656532764435;-0.010564882308244705;0.0017026968694585883;2.8991766292640773e-06
71680;-0.010383357387036085;-0.014731216244399548;-0.0066626789048314095;-0.01024217763915658;0.0021878274881932326;4.786589118093909e-06
73728;-0.009821877558715641;-0.012911254540085793;-0.007093305233865976;-0.009287092834711075;0.0014572533199095146;2.123587238387302e-06
75776;-0.010029433178715408;-0.013238280080258846;-0.007173683028668165;-0.009950963780283928;0.0014119955951890915;1.9937315608333963e-06
77824;-0.011096655623987317;-0.015308923088014126;-0.008380209095776081;-0.011086544953286648;0.001872046142054565;3.504556757981381e-06
79872;-0.010700411861762404;-0.012741143815219402;-0.008842173963785172;-0.010329180397093296;0.001199278231178714;1.438268275779145e-06
81920;-0.010211927630007268;-0.013512891717255116;-0.00781776662915945;-0.01021364564076066;0.0014922002609379888;2.226661618743402e-06
