;mean;min;max;median;std;var
500;577.1;531.0;642.0;577.0;25.374987684726076;643.8900000000001
1000;584.65;549.0;651.0;579.0;22.448329559234466;503.92749999999995
1500;585.7;545.0;649.0;584.0;23.48850782829765;551.71
2000;585.55;539.0;636.0;586.0;20.98684111532748;440.44749999999993
2500;586.6;546.0;627.0;582.5;19.061479480879758;363.34000000000003
3000;586.75;553.0;616.0;584.0;15.332563386466074;235.0875
3500;584.0;555.0;612.0;587.0;14.394443372357264;207.2
4000;582.75;524.0;610.0;586.0;18.763994777232273;352.0875
4500;581.75;498.0;611.0;585.5;23.517812398265278;553.0875
5000;580.6;480.0;607.0;585.5;26.820514536451384;719.3399999999999
5500;580.75;466.0;610.0;584.5;29.907983883906315;894.4875
6000;581.3;455.0;613.0;586.5;32.5593304599465;1060.11
6500;581.35;445.0;615.0;587.0;34.90025071543183;1218.0275000000001
7000;581.6;438.0;616.0;587.5;36.557352201711765;1336.44
7500;581.35;431.0;614.0;587.5;37.76675125027304;1426.3275
8000;581.5;426.0;611.0;588.0;38.72789692198635;1499.85
8500;581.45;421.0;612.0;589.0;39.72968034102464;1578.4475
9000;581.35;417.0;614.0;590.5;40.43547328769629;1635.0275000000004
9500;581.0;413.0;613.0;590.5;41.10109487592757;1689.3
10000;581.35;411.0;613.0;592.5;41.49008917801937;1721.4274999999998
10500;581.1;408.0;611.0;594.0;41.94865909656708;1759.6899999999998
11000;580.45;405.0;609.0;594.0;42.38569923924814;1796.5475000000001
11500;580.7;402.0;610.0;594.0;43.15912418017771;1862.7100000000003
12000;580.95;401.0;609.0;594.0;43.43900896659591;1886.9474999999998
12500;581.15;400.0;609.0;594.5;43.67181585416389;1907.2275000000002
13000;581.65;398.0;610.0;593.5;44.268809561586366;1959.7275000000004
13500;582.05;397.0;612.0;594.0;44.59425411417933;1988.6474999999998
14000;582.3;395.0;613.0;594.5;45.1077598645732;2034.7100000000005
14500;582.45;394.0;614.0;595.0;45.38994932801754;2060.2475
15000;582.3;393.0;615.0;594.0;45.714439731883395;2089.809999999999
15500;581.7;391.0;615.0;593.5;46.047909833129225;2120.409999999999
16000;581.25;390.0;616.0;592.5;46.25459436639781;2139.4875
16500;581.05;389.0;615.0;592.0;46.371839514947;2150.3475
17000;580.7;388.0;614.0;592.0;46.51247144583911;2163.409999999999
17500;580.45;387.0;613.0;591.5;46.574107613565715;2169.1475
18000;580.55;386.0;613.0;591.5;46.68990790310042;2179.9474999999993
18500;580.55;385.0;613.0;590.5;46.87800657024571;2197.5475
19000;580.6;384.0;612.0;590.0;47.00468061799805;2209.4400000000014
19500;580.65;383.0;612.0;591.0;47.26761576386099;2234.2275
20000;581.0;383.0;612.0;592.0;47.363488047228955;2243.3
20500;581.35;382.0;613.0;592.5;47.600709028332766;2265.8275000000003
21000;581.45;381.0;613.0;593.5;47.77706039513106;2282.647500000001
21500;581.6;381.0;614.0;593.0;47.72776969438232;2277.939999999999
22000;581.8;380.0;614.0;593.5;47.93599899866488;2297.86
22500;581.65;379.0;614.0;593.0;47.98882682458491;2302.9275000000002
23000;581.45;379.0;614.0;593.0;47.927523407745575;2297.0474999999997
23500;581.45;379.0;614.0;593.0;47.832494185438414;2287.9474999999993
24000;581.3;378.0;614.0;592.5;48.019891711664656;2305.91
24500;581.2;378.0;614.0;593.0;47.992291047625564;2303.2600000000007
25000;581.2;378.0;614.0;593.5;47.9849976555173;2302.5600000000004
25500;581.05;377.0;614.0;593.5;48.24051720286589;2327.1475
26000;580.95;377.0;614.0;594.0;48.24362652205988;2327.447499999999
26500;581.25;376.0;615.0;594.5;48.51893960094347;2354.0875
27000;581.1;376.0;615.0;594.5;48.542661649316265;2356.39
27500;581.15;376.0;616.0;594.5;48.54510788946709;2356.6274999999996
28000;581.15;376.0;617.0;595.0;48.60995268460977;2362.927500000001
28500;581.05;375.0;617.0;595.0;48.787780232349164;2380.2474999999995
29000;581.0;375.0;617.0;594.5;48.81495672434833;2382.9
29500;580.8;375.0;615.0;594.0;48.65757906020397;2367.56
30000;580.55;375.0;614.0;594.0;48.590611233035546;2361.0475
30500;580.55;375.0;613.0;593.5;48.503066913340646;2352.5475
31000;580.0;375.0;612.0;592.5;48.33011483536947;2335.8
31500;579.9;374.0;611.0;592.5;48.459158061196234;2348.29
32000;579.7;374.0;610.0;592.0;48.366413966718675;2339.309999999999
32500;579.45;374.0;610.0;592.0;48.35439483645722;2338.1475000000005
33000;579.5;374.0;611.0;592.0;48.391631507937404;2341.75
33500;579.55;373.0;611.0;592.5;48.63278215360499;2365.1475000000005
34000;579.65;373.0;611.0;593.0;48.639772820193144;2365.8274999999994
34500;579.9;373.0;611.0;593.5;48.669189432329766;2368.6899999999996
35000;580.05;373.0;611.0;594.0;48.64203429134106;2366.0475
35500;580.05;373.0;612.0;594.0;48.656423008684065;2367.4474999999998
36000;580.1;372.0;612.0;594.0;48.86092508334242;2387.390000000001
36500;580.15;372.0;611.0;594.0;48.832647890525045;2384.6275000000005
37000;580.1;372.0;610.0;594.0;48.77899137948632;2379.390000000001
37500;580.0;371.0;610.0;594.5;49.00918281301985;2401.9
38000;579.9;371.0;608.0;594.0;48.96825502302487;2397.8900000000003
38500;579.85;371.0;608.0;594.0;48.97374296498073;2398.4275
39000;579.7;371.0;607.0;594.0;48.95314085939736;2396.4099999999994
39500;579.7;370.0;607.0;593.5;49.156993398701665;2416.4099999999994
40000;579.5;370.0;606.0;593.5;49.10855322650017;2411.65
40500;579.55;370.0;607.0;593.0;49.15737482819846;2416.4475
41000;579.2;370.0;607.0;592.0;49.0872692253297;2409.5600000000004
41500;579.35;370.0;607.0;592.0;49.19479139095926;2420.1274999999996
42000;579.2;369.0;607.0;592.0;49.37975293579343;2438.3599999999997
42500;579.15;369.0;607.0;591.5;49.35106381832107;2435.5274999999992
43000;578.9;369.0;608.0;591.5;49.32737576640379;2433.19
43500;578.85;369.0;608.0;591.0;49.29835189942966;2430.3275000000003
44000;578.55;369.0;608.0;591.0;49.19092904184672;2419.7474999999995
44500;578.35;369.0;608.0;591.0;49.174459834348966;2418.1274999999996
45000;578.1;369.0;608.0;591.0;49.15170393791044;2415.890000000001
45500;577.85;369.0;607.0;590.5;49.10628778476337;2411.4275
46000;577.7;369.0;607.0;591.0;49.083704016710065;2409.2099999999996
46500;577.5;369.0;607.0;591.0;49.105498673773795;2411.35
47000;577.35;369.0;607.0;590.5;49.06554289926893;2407.4274999999993
47500;577.2;369.0;606.0;590.5;49.03835233773663;2404.7599999999998
48000;577.05;368.0;607.0;590.5;49.26608874266355;2427.1475
48500;577.0;368.0;607.0;590.0;49.20467457467837;2421.1
49000;577.25;368.0;607.0;590.5;49.284759307518186;2428.9875
49500;577.35;368.0;608.0;590.0;49.30139450360405;2430.6274999999996
50000;577.4;368.0;608.0;590.5;49.276160564719326;2428.1400000000003
50500;577.25;368.0;608.0;591.0;49.22892950288479;2423.4875
51000;577.25;368.0;609.0;590.5;49.190319169527655;2419.6875
51500;577.1;368.0;608.0;590.5;49.14458261090432;2415.1899999999996
52000;577.25;368.0;608.0;590.0;49.11402549170654;2412.1875
52500;577.0;368.0;608.0;589.5;49.01836390578535;2402.8
53000;576.9;368.0;607.0;589.5;48.98867216000042;2399.8900000000003
53500;577.0;368.0;607.0;589.0;48.974483151943524;2398.5
54000;577.0;368.0;607.0;589.5;49.02040391510457;2403.0
54500;577.0;368.0;607.0;590.0;48.995918197335584;2400.6
55000;577.1;368.0;607.0;590.5;49.008060561503555;2401.79
55500;577.05;367.0;607.0;590.5;49.24578662180146;2425.1474999999996
56000;577.15;367.0;608.0;590.0;49.32065997125342;2432.5274999999997
56500;577.05;367.0;608.0;590.0;49.3421472982277;2434.647499999999
57000;576.95;367.0;608.0;589.5;49.284353500883014;2428.9474999999998
57500;577.05;367.0;608.0;590.0;49.27522196804393;2428.047499999999
58000;577.1;367.0;609.0;590.0;49.2908713658016;2429.59
58500;577.15;367.0;609.0;590.0;49.30849318322351;2431.3274999999994
59000;577.05;367.0;608.0;590.5;49.292468998823736;2429.747499999999
59500;576.85;367.0;608.0;590.5;49.19987296731568;2420.6275
60000;576.8;367.0;608.0;590.0;49.17885724577179;2418.5600000000004
60500;576.85;367.0;608.0;589.5;49.164290903052795;2417.1275
61000;576.85;367.0;608.0;589.0;49.145981524433914;2415.3275
61500;576.9;367.0;608.0;588.5;49.10997861942113;2411.79
62000;576.8;367.0;607.0;588.5;49.07504457461043;2408.3600000000006
62500;577.1;367.0;607.0;589.0;49.09572282796129;2410.3899999999994
63000;577.15;366.0;607.0;589.5;49.338904527765905;2434.327499999999
63500;577.2;366.0;607.0;589.5;49.353419334429084;2435.759999999999
64000;577.2;366.0;607.0;589.5;49.34734035386303;2435.159999999999
64500;577.3;366.0;607.0;590.0;49.37013267148468;2437.4099999999994
65000;577.35;366.0;607.0;590.0;49.345997811372705;2435.0274999999997
65500;577.5;366.0;607.0;590.5;49.39585002811471;2439.95
66000;577.7;366.0;607.0;590.5;49.43490669557292;2443.8100000000004
66500;577.7;366.0;607.0;590.5;49.43490669557292;2443.8100000000004
67000;577.65;366.0;606.0;590.5;49.44418570469131;2444.7275
67500;577.65;366.0;605.0;590.5;49.420921683028126;2442.4274999999993
68000;577.8;365.0;605.0;591.0;49.63023272159823;2463.1600000000003
68500;577.8;365.0;605.0;591.0;49.6342623597853;2463.5600000000004
69000;577.8;365.0;605.0;591.5;49.62721027823345;2462.8599999999997
69500;577.95;365.0;604.0;591.5;49.63312905711264;2463.4474999999993
70000;578.0;365.0;604.0;591.5;49.644737888320044;2464.6
70500;578.0;365.0;605.0;591.5;49.678969393496885;2468.0
71000;578.2;365.0;605.0;592.0;49.75901928294005;2475.96
71500;578.05;365.0;605.0;592.0;49.75386919627457;2475.4474999999998
72000;578.05;365.0;605.0;592.0;49.7448238513315;2474.5474999999997
72500;578.1;364.0;605.0;592.5;50.00289991590488;2500.29
73000;578.05;364.0;605.0;592.5;49.99647487573499;2499.6475
73500;578.0;364.0;605.0;592.0;49.98199675883307;2498.2
74000;578.15;364.0;605.0;592.0;49.99127423861088;2499.1274999999996
74500;578.15;364.0;604.0;592.0;49.96926555393825;2496.9275
75000;578.2;364.0;604.0;592.0;49.96658883694184;2496.6600000000008
75500;578.3;364.0;603.0;592.0;49.974093288422964;2497.4100000000008
76000;578.4;364.0;603.0;592.5;50.006399590452425;2500.6400000000003
76500;578.35;364.0;603.0;592.0;49.948248217530114;2494.8275000000003
77000;578.45;364.0;603.0;592.0;49.97346796050881;2497.3475000000008
77500;578.4;363.0;603.0;592.0;50.19501967327038;2519.5400000000004
78000;578.35;363.0;603.0;592.0;50.187921853768756;2518.8275
78500;578.2;363.0;603.0;591.5;50.14837983424789;2514.8600000000006
79000;578.2;362.0;603.0;591.0;50.37419974550465;2537.5600000000004
79500;578.35;362.0;603.0;591.0;50.408605416139025;2541.0275000000006
80000;578.3;363.0;603.0;590.5;50.17379794275096;2517.4100000000003
80500;578.35;364.0;603.0;590.0;49.96726428372881;2496.7275000000004
81000;578.5;365.0;603.0;590.0;49.760928447929906;2476.15
81500;578.4;366.0;603.0;590.0;49.52817380037346;2453.04
82000;578.6;367.0;603.0;590.0;49.30963394713045;2431.4399999999996
82500;578.9;368.0;603.0;591.0;49.154755619370135;2416.1899999999996
83000;578.9;369.0;603.0;591.0;48.950893760992756;2396.1899999999996
83500;578.95;370.0;602.0;591.0;48.69545666692119;2371.2474999999995
84000;579.15;371.0;602.0;591.0;48.519351809355406;2354.1275
84500;579.2;372.0;602.0;590.5;48.28208777590297;2331.1599999999994
85000;579.05;373.0;602.0;590.0;48.071275206717786;2310.8475
85500;579.25;373.0;602.0;590.0;48.10704210404128;2314.2875
86000;579.3;374.0;602.0;590.0;47.892692553248665;2293.71
86500;579.35;375.0;602.0;590.0;47.65844626086754;2271.3274999999994
87000;579.5;376.0;602.0;590.0;47.45050052423051;2251.55
87500;579.6;377.0;602.0;590.0;47.25611071596985;2233.1400000000003
88000;579.65;377.0;602.0;590.0;47.25915255270666;2233.4275000000007
88500;579.55;378.0;602.0;589.5;46.97496673761463;2206.647500000001
89000;579.6;379.0;602.0;589.5;46.758314768605594;2186.34
89500;579.75;380.0;603.0;589.5;46.5895642821437;2170.5875
90000;579.9;380.0;603.0;589.5;46.58207809877099;2169.89
90500;579.9;381.0;603.0;589.0;46.37553234195808;2150.6899999999996
91000;579.85;381.0;603.0;589.0;46.36084015632158;2149.3274999999994
91500;580.05;382.0;603.0;589.5;46.16218690660138;2130.9474999999993
92000;580.05;383.0;603.0;590.0;45.92001197735035;2108.6474999999996
92500;580.2;384.0;603.0;590.0;45.73138965743333;2091.36
93000;580.3;385.0;603.0;590.0;45.55557046070217;2075.3100000000004
93500;580.2;385.0;602.0;590.0;45.52208255341576;2072.2599999999993
94000;580.35;386.0;602.0;590.0;45.31034650055106;2053.0274999999997
94500;580.5;387.0;603.0;590.0;45.142551988118704;2037.85
95000;580.55;387.0;603.0;590.0;45.15138425342018;2038.6475000000003
95500;580.45;388.0;603.0;589.5;44.908211943919575;2016.7475000000006
96000;580.5;389.0;603.0;589.5;44.688365376236355;1997.05
96500;580.75;390.0;604.0;590.0;44.508285745465415;1980.9875
97000;580.75;390.0;604.0;590.0;44.500421346319854;1980.2875
97500;580.85;391.0;604.0;590.0;44.29590838892458;1962.1274999999991
98000;580.9;392.0;604.0;590.5;44.07822591711241;1942.89
98500;581.05;392.0;605.0;591.0;44.129893496359124;1947.4474999999995
99000;581.1;393.0;605.0;591.0;43.90774419165712;1927.8899999999999
99500;581.05;393.0;604.0;591.0;43.881060834943355;1925.5474999999994
100000;581.15;394.0;604.0;591.0;43.71758799384979;1911.2274999999995
