;mean;min;max;median;std;var
500;-4.2411723852157595;-4.311857223510742;-4.209804058074951;-4.244279146194458;0.02435771058575542;0.0005932980649794217
1000;-4.23292908668518;-4.2961649894714355;-4.19606876373291;-4.227866888046265;0.026772864427729623;0.0007167862696655902
1500;-4.228488636016846;-4.269023895263672;-4.190649032592773;-4.221797466278076;0.025319017124354776;0.0006410526281433705
2000;-4.218605804443359;-4.267189025878906;-4.151810646057129;-4.218181610107422;0.02980471773073375;0.0008883211990087146
2500;-4.211443495750427;-4.272128582000732;-4.122898101806641;-4.214283227920532;0.034373209407555685;0.001181517524975675
3000;-4.204158067703247;-4.276487827301025;-4.108438491821289;-4.2050745487213135;0.03846702532034757;0.0014797120369962613
3500;-4.194621586799622;-4.274008274078369;-4.096020698547363;-4.198156118392944;0.04195757619208178;0.0017604381999143475
4000;-4.188430738449097;-4.286118984222412;-4.079346656799316;-4.187029838562012;0.046701748481028246;0.002181053311185224
4500;-4.179458475112915;-4.293471813201904;-4.041821479797363;-4.1731836795806885;0.05193471052746934;0.0026972141575720347
5000;-4.168504595756531;-4.276116371154785;-4.01965856552124;-4.164260625839233;0.05649858057486883;0.003192089606974946
5500;-4.163263249397278;-4.25698184967041;-4.003188610076904;-4.159991979598999;0.06041682790529088;0.003650193094137535
6000;-4.157166767120361;-4.264215469360352;-4.013976573944092;-4.147960901260376;0.061514514877219664;0.00378403554057968
6500;-4.149326777458191;-4.257320404052734;-4.012658596038818;-4.1438493728637695;0.0642703115023322;0.004130672940606815
7000;-4.143693661689758;-4.252513885498047;-4.000570297241211;-4.1393821239471436;0.06946526859182683;0.004825423540534644
7500;-4.136923158168793;-4.242290019989014;-3.993764638900757;-4.13523268699646;0.07186747203386541;0.005164933536538427
8000;-4.126573801040649;-4.230093002319336;-3.9662177562713623;-4.126675128936768;0.07930759098138138;0.006289693987270084
8500;-4.117419958114624;-4.238246440887451;-3.9676079750061035;-4.103443145751953;0.0816715341588794;0.006670239491865004
9000;-4.106854200363159;-4.235305309295654;-3.9446403980255127;-4.095529079437256;0.08536059488580314;0.0072864311592582
9500;-4.097509169578553;-4.242192268371582;-3.94077467918396;-4.103043794631958;0.09200173696987266;0.008464319605473633
10000;-4.089626872539521;-4.223471164703369;-3.9122071266174316;-4.096001386642456;0.09659444353090048;0.009330486521044321
10500;-4.083180141448975;-4.2346038818359375;-3.8960349559783936;-4.078917980194092;0.09991778640636981;0.00998356404034894
11000;-4.073597729206085;-4.249483108520508;-3.8583924770355225;-4.061025142669678;0.11030092661966383;0.012166294413156465
11500;-4.066693186759949;-4.272182464599609;-3.8411881923675537;-4.054759740829468;0.11420635778658851;0.013043092158878267
12000;-4.056772327423095;-4.271055221557617;-3.8545167446136475;-4.03610634803772;0.118667409456453;0.014081954067105471
12500;-4.054879999160766;-4.272007942199707;-3.849266767501831;-4.02951717376709;0.12284796660374116;0.015091622898673902
13000;-4.0497107148170475;-4.263544082641602;-3.8514275550842285;-4.035894870758057;0.12422218039868087;0.015431150103002412
13500;-4.043440985679626;-4.276432991027832;-3.841017961502075;-4.039932727813721;0.12526761467684044;0.01569197528682537
14000;-4.039140498638153;-4.273702144622803;-3.8153398036956787;-4.0415143966674805;0.1254148530562378;0.015728885367117723
14500;-4.032021629810333;-4.278060436248779;-3.792677402496338;-4.041337490081787;0.12954084322908332;0.016780830064501942
15000;-4.025867712497711;-4.291476726531982;-3.7665162086486816;-4.02878475189209;0.1360684068712356;0.01851461134847611
15500;-4.024339437484741;-4.280148506164551;-3.759329319000244;-4.014790296554565;0.1406459800524878;0.0197812917049248
16000;-4.02221177816391;-4.277252197265625;-3.739002227783203;-4.000707507133484;0.14195760438341345;0.020151961442277728
16500;-4.015653336048127;-4.279922008514404;-3.7090604305267334;-3.991882562637329;0.14777520952982456;0.021837512551583553
17000;-4.0111850023269655;-4.299496650695801;-3.7131454944610596;-4.010708570480347;0.1516437607639093;0.022995830178621758
17500;-4.005425751209259;-4.291898727416992;-3.7097606658935547;-3.997339367866516;0.1558625212324616;0.024293125524939542
18000;-4.000533378124237;-4.296626567840576;-3.707395315170288;-3.9738909006118774;0.1575736154420144;0.02482944428346784
18500;-3.9958359599113464;-4.3143815994262695;-3.709073781967163;-3.963135242462158;0.16223341012026218;0.02631967935924919
19000;-3.9966355562210083;-4.315031051635742;-3.713188886642456;-3.9844987392425537;0.1657651215610004;0.02747807552613324
19500;-3.9903077602386476;-4.33856201171875;-3.708414077758789;-3.96432363986969;0.17118094324356697;0.029302915329757297
20000;-3.9848381161689757;-4.324573040008545;-3.7052178382873535;-3.9861395359039307;0.17262535405659254;0.02979951286316393
20500;-3.9792110085487367;-4.320940017700195;-3.7062346935272217;-3.9607757329940796;0.17572621090410098;0.030879701198712577
21000;-3.9740116596221924;-4.3070902824401855;-3.704956531524658;-3.927293062210083;0.17300591409059143;0.02993104631032111
21500;-3.96759432554245;-4.281696319580078;-3.693100690841675;-3.9255268573760986;0.17108887467097753;0.029271403036181455
22000;-3.9569190382957458;-4.279242992401123;-3.6824612617492676;-3.9031014442443848;0.17329117194769386;0.0300298302750052
22500;-3.95835018157959;-4.297030925750732;-3.666398763656616;-3.9110597372055054;0.17768499731995746;0.03157195827259329
23000;-3.952597165107727;-4.302161693572998;-3.666797399520874;-3.9042500257492065;0.18235216309661048;0.033252311386012826
23500;-3.945658802986145;-4.293887615203857;-3.645747423171997;-3.907205820083618;0.18804467802717695;0.03536080093434464
24000;-3.9425659656524656;-4.290213108062744;-3.622464418411255;-3.9057778120040894;0.19080436956495597;0.0364063074450803
24500;-3.9364628434181212;-4.288678169250488;-3.634869337081909;-3.899649500846863;0.1900518253901255;0.036119696334118746
25000;-3.9298707842826843;-4.301177501678467;-3.6374683380126953;-3.89345920085907;0.1909059515818023;0.03644508234935344
25500;-3.923312783241272;-4.322774887084961;-3.6160213947296143;-3.883159637451172;0.19757346141924517;0.039035272657181964
26000;-3.919645607471466;-4.3140459060668945;-3.588461399078369;-3.877611994743347;0.19611177756508877;0.03845982929973886
26500;-3.903302776813507;-4.293769836425781;-3.5894935131073;-3.8617477416992188;0.19808376914404371;0.03923717959831081
27000;-3.895000422000885;-4.29854154586792;-3.590430498123169;-3.847090721130371;0.19976816454916205;0.03990731956734109
27500;-3.8916714787483215;-4.313934326171875;-3.5715415477752686;-3.8561527729034424;0.20229709995269998;0.04092411664927269
28000;-3.8864328265190125;-4.311456680297852;-3.566931962966919;-3.839164614677429;0.20365421643046752;0.04147503986990771
28500;-3.8766046285629274;-4.301999092102051;-3.562828779220581;-3.836175560951233;0.20553698270975815;0.042245451261431415
29000;-3.8702187299728394;-4.294995307922363;-3.565187931060791;-3.845675826072693;0.20412012797447954;0.0416650266443179
29500;-3.8626452684402466;-4.294533729553223;-3.558093309402466;-3.8287006616592407;0.2016371347922024;0.04065753412720881
30000;-3.85927015542984;-4.285345077514648;-3.5537383556365967;-3.8215500116348267;0.2051454804862975;0.04208466816395386
