;mean;min;max;median;std;var
4096;-4.252075338363648;-4.271185398101807;-4.224337100982666;-4.25354528427124;0.010354642084584725;0.00010721861269985312
6144;-4.2413207530975345;-4.277297019958496;-4.1978983879089355;-4.2406229972839355;0.01892030258001153;0.00035797784971919094
8192;-4.231518363952636;-4.27005672454834;-4.184398651123047;-4.232703924179077;0.021822658732163377;0.0004762284341404665
10240;-4.223122644424438;-4.26601505279541;-4.182478427886963;-4.223250389099121;0.021936722022326653;0.00048121977308483114
12288;-4.21444718837738;-4.25949239730835;-4.17966365814209;-4.210066318511963;0.02172620679253315;0.00047202806159191363
14336;-4.206741499900818;-4.253614902496338;-4.171291351318359;-4.199268341064453;0.022806939510389885;0.0005201564898305832
16384;-4.199184894561768;-4.24712610244751;-4.1529622077941895;-4.192655801773071;0.025176764129017544;0.0006338694520081845
18432;-4.1900101661682125;-4.239177227020264;-4.13225793838501;-4.180908203125;0.027513409318380797;0.0007569876923207632
20480;-4.18002610206604;-4.236209869384766;-4.120993137359619;-4.164886236190796;0.030889205444514543;0.0009541430129934268
22528;-4.171441650390625;-4.230928897857666;-4.123281955718994;-4.16413688659668;0.03226787749729705;0.0010412159181805692
24576;-4.162964105606079;-4.225412368774414;-4.115853309631348;-4.158823728561401;0.03198955002917182;0.001023331311068887
26624;-4.152461862564087;-4.218222618103027;-4.103039741516113;-4.143655776977539;0.03282808168626631;0.0010776829472001735
28672;-4.14156744480133;-4.211826324462891;-4.09126091003418;-4.1296117305755615;0.03597193496803172;0.001293980105344303
30720;-4.133045172691345;-4.211319446563721;-4.075706958770752;-4.120001554489136;0.03713655505950005;0.0013791237216872788
32768;-4.124600744247436;-4.201986312866211;-4.0575079917907715;-4.115129470825195;0.03544278372801697;0.0012561909183909845
34816;-4.115750670433044;-4.189477920532227;-4.041946887969971;-4.110708951950073;0.035595988489037673;0.0012670743965117026
36864;-4.105178046226501;-4.186367511749268;-4.037859916687012;-4.103140115737915;0.03609676636371728;0.0013029765419167913
38912;-4.0935649394989015;-4.19066858291626;-4.022753715515137;-4.09271764755249;0.038256640633338286;0.0014635705525483903
40960;-4.081442022323609;-4.179223537445068;-4.002717971801758;-4.079735994338989;0.04135056443900137;0.0017098691794240044
43008;-4.069259572029114;-4.175948143005371;-3.9996938705444336;-4.063928604125977;0.04353640789884277;0.001895418812734419
45056;-4.058499646186829;-4.173254013061523;-3.9993584156036377;-4.063720941543579;0.046100021116497074;0.0021252119469414763
47104;-4.047020816802979;-4.161075592041016;-3.97430157661438;-4.048714876174927;0.04729945087846743;0.0022372380534045532
49152;-4.033888733386993;-4.1477274894714355;-3.959257125854492;-4.03532338142395;0.046724869517371544;0.0021832134314153963
51200;-4.0200358629226685;-4.1330885887146;-3.9430320262908936;-4.018667936325073;0.04649875360265618;0.002162134086600531
53248;-4.006544423103333;-4.119563579559326;-3.931300401687622;-4.002206563949585;0.04696023139507039;0.002205263332678555
55296;-3.994040882587433;-4.102657794952393;-3.9236068725585938;-3.986832022666931;0.04762625767314678;0.0022682604199489725
57344;-3.9795958280563353;-4.081623554229736;-3.909759759902954;-3.9728620052337646;0.0485803474506667;0.0023600501584274984
59392;-3.9669438004493713;-4.07252311706543;-3.9005563259124756;-3.9597418308258057;0.05064368260522555;0.0025647825878188256
61440;-3.952556383609772;-4.0685319900512695;-3.893801212310791;-3.944032073020935;0.05413514875110672;0.002930614330304451
63488;-3.9372618079185484;-4.058289051055908;-3.8717942237854004;-3.929807662963867;0.05517222509518155;0.0030439744219533803
65536;-3.925599694252014;-4.052200794219971;-3.85334849357605;-3.9140443801879883;0.05511296792070582;0.0030374392330287494
67584;-3.9122620701789854;-4.039303779602051;-3.8359375;-3.8975175619125366;0.05546959296022325;0.003076875743172849
69632;-3.8983922600746155;-4.023257255554199;-3.814643621444702;-3.8879677057266235;0.05446231444805138;0.0029661436950384258
71680;-3.8852801084518434;-4.004064559936523;-3.7943499088287354;-3.879844903945923;0.05288353176905957;0.002796667932369133
73728;-3.8693744778633117;-3.981740951538086;-3.786463737487793;-3.858768105506897;0.05211438308833879;0.0027159089246781318
75776;-3.8532832145690916;-3.963019847869873;-3.777531623840332;-3.8451645374298096;0.05304356143965414;0.002813619410202364
77824;-3.83713675737381;-3.953679084777832;-3.7614545822143555;-3.830145478248596;0.05405520769947198;0.002921965479433055
79872;-3.8210825324058533;-3.938016176223755;-3.743563175201416;-3.8132472038269043;0.05326641447021297;0.002837310910512514
81920;-3.8080235838890077;-3.927872896194458;-3.7317452430725098;-3.7981107234954834;0.05237634473357571;0.0027432814876503643
83968;-3.795531916618347;-3.925264596939087;-3.7193446159362793;-3.7843128442764282;0.05347966548257693;0.0028600746201283304
86016;-3.778850519657135;-3.913850784301758;-3.6992931365966797;-3.7737451791763306;0.05699665675127138;0.003248618880822249
88064;-3.7608031630516052;-3.8926188945770264;-3.6762897968292236;-3.758032202720642;0.057792058776339986;0.0033399220576079357
90112;-3.744150674343109;-3.863009452819824;-3.655898332595825;-3.7347466945648193;0.05825558415651797;0.0033937130854171473
92160;-3.7297152996063234;-3.8535103797912598;-3.6307194232940674;-3.7095136642456055;0.06206536959694333;0.003852110103205177
94208;-3.714228796958923;-3.8327407836914062;-3.6100637912750244;-3.687316417694092;0.06392585560677762;0.004086515015058581
96256;-3.6958538413047792;-3.818358898162842;-3.5984275341033936;-3.6682335138320923;0.06651529054970808;0.004424283876912085
98304;-3.6795817613601685;-3.809532642364502;-3.5870144367218018;-3.6587456464767456;0.06871638641999701;0.00472194176262235
100352;-3.6615453600883483;-3.799837350845337;-3.5732553005218506;-3.6399227380752563;0.06830619464848352;0.004665736227356518
