;mean;min;max;median;std;var
4096;-0.006799400283489377;-0.008821682073175907;-0.0038937677163630724;-0.006792422151193023;0.0013539429200080876;1.8331614306400267e-06
6144;-0.006259891961235553;-0.009578139521181583;-0.003244666615501046;-0.006242770003154874;0.001725111443329385;2.976009491905994e-06
8192;-0.0056569335632957515;-0.008332817815244198;-0.003320193151012063;-0.005629075691103935;0.0012677251978810593;1.607127177342571e-06
10240;-0.0059753070934675636;-0.008716084063053131;-0.0036217302549630404;-0.005742250941693783;0.001396436643395588;1.950035299017936e-06
12288;-0.005533674405887723;-0.008459768258035183;-0.002917294390499592;-0.005307497689500451;0.00142908611280178;2.0422871178029018e-06
14336;-0.006330791884101928;-0.009027865715324879;-0.004084988962858915;-0.006107301451265812;0.001397321190266932;1.952506508768995e-06
16384;-0.006006962852552533;-0.010812178254127502;-0.0033415607176721096;-0.0053612287156283855;0.0017588585725171319;3.0935834781170027e-06
18432;-0.006724168849177659;-0.010205667465925217;-0.00424102321267128;-0.006270027719438076;0.0016544737195475425;2.7372832886734805e-06
20480;-0.006727166497148574;-0.009798632003366947;-0.004684372339397669;-0.006606764858588576;0.0012904686440646845;1.6653093213141455e-06
22528;-0.006610638042911887;-0.00914196576923132;-0.0042791166342794895;-0.006464938633143902;0.001450100832087747;2.102792423221576e-06
24576;-0.007637700531631708;-0.009885379113256931;-0.004637253936380148;-0.007801678730174899;0.0012519886497578037;1.5674755791223686e-06
26624;-0.007163213193416595;-0.009544016793370247;-0.004290466196835041;-0.007507465546950698;0.001385771017282164;1.920361312339244e-06
28672;-0.007961210282519459;-0.010893221944570541;-0.005174629855901003;-0.008226729463785887;0.0016752695258755647;2.8065279843273393e-06
30720;-0.007141174597200007;-0.010957488790154457;-0.0031755107920616865;-0.00723195425234735;0.0017869530159193973;3.1932010811034297e-06
32768;-0.008208786882460118;-0.011557254008948803;-0.005243860650807619;-0.00873483344912529;0.0017102705523333616;2.9250253621786615e-06
34816;-0.007928548892959953;-0.012309117242693901;-0.005154729355126619;-0.0077573496382683516;0.0016122892162281923;2.599476516765719e-06
36864;-0.008593643922358752;-0.012299606576561928;-0.005212234333157539;-0.00847103912383318;0.0018999698719533247;3.609885514330333e-06
38912;-0.008928930200636388;-0.013205885887145996;-0.005984121467918158;-0.008617867715656757;0.0017435106284825104;3.0398293116314785e-06
40960;-0.00898756510578096;-0.01264326274394989;-0.006754979491233826;-0.008980616461485624;0.0013516963871049758;1.8270831229126444e-06
43008;-0.008841731119900942;-0.012498144991695881;-0.006151782814413309;-0.008660322055220604;0.0014691361739959429;2.1583610977434376e-06
45056;-0.008853525226004421;-0.011357414536178112;-0.005902796983718872;-0.009248422458767891;0.0016249314890743895;2.6404023441855127e-06
47104;-0.009783294005319475;-0.012607913464307785;-0.0073184603825211525;-0.010000153444707394;0.0016567739449415704;2.7448999046372536e-06
49152;-0.009842423768714071;-0.014347661286592484;-0.006706775166094303;-0.00998265901580453;0.0019649231828337984;3.860923114437705e-06
51200;-0.009860823466442525;-0.012422765605151653;-0.007152429316192865;-0.009645245503634214;0.0014487319192542207;2.098824173866018e-06
53248;-0.009721593512222172;-0.012977789156138897;-0.008261754177510738;-0.009582531172782183;0.0010347610328125898;1.0707303950273774e-06
55296;-0.009870492503978312;-0.012521659955382347;-0.00745533499866724;-0.009889873676002026;0.001454954502673031;2.1168926048485274e-06
57344;-0.00940805347636342;-0.012781822122633457;-0.0042801848612725735;-0.009487536270171404;0.002083258579834928;4.339966310455842e-06
59392;-0.009430878283455967;-0.012898570857942104;-0.006094310898333788;-0.008709331508725882;0.0019059483273260638;3.632639026437021e-06
61440;-0.009482594789005816;-0.012551551684737206;-0.004613623023033142;-0.009104459546506405;0.0020087234082756984;4.034969730954739e-06
63488;-0.009813963249325753;-0.012270430102944374;-0.006488872226327658;-0.010213680099695921;0.001604792198910456;2.575358001683857e-06
65536;-0.009642662666738033;-0.013687659986317158;-0.006263306830078363;-0.009965632576495409;0.0018534325173144058;3.435212096238415e-06
67584;-0.009269165270961822;-0.013025903142988682;-0.006637949962168932;-0.008845610078424215;0.0015042590545774424;2.2627953032782204e-06
69632;-0.009418662940151989;-0.014030646532773972;-0.006673719268292189;-0.009234021883457899;0.0018634464170606594;3.472432549256209e-06
71680;-0.010336584923788906;-0.013498347252607346;-0.007204425521194935;-0.010388576425611973;0.001484316269990257;2.2031947893577897e-06
73728;-0.00979779176414013;-0.011852506548166275;-0.006933974102139473;-0.009584128856658936;0.001285062363788146;1.6513852788247777e-06
75776;-0.009388130228035151;-0.012814629822969437;-0.005561326630413532;-0.009357284754514694;0.0018288704956667093;3.344767289920195e-06
77824;-0.009358399617485701;-0.014446567744016647;-0.005875835195183754;-0.009501034393906593;0.002074916340042319;4.305277818174612e-06
79872;-0.009887243201956154;-0.013794133439660072;-0.007383354939520359;-0.009808839298784733;0.0014818834893837434;2.195978676108139e-06
81920;-0.009618850192055106;-0.012173034250736237;-0.00722395209595561;-0.009431383572518826;0.0014332192048359773;2.054117289110671e-06
83968;-0.009430060675367714;-0.013979914598166943;-0.005524980835616589;-0.009345940314233303;0.0018372799231669023;3.375597516072179e-06
86016;-0.009503048192709685;-0.014486811123788357;-0.004689996596425772;-0.009418869856745005;0.0022438999763892266;5.035087104039571e-06
88064;-0.009901186358183623;-0.012677350081503391;-0.006415301468223333;-0.010460378136485815;0.0017706277986660225;3.135122801408885e-06
90112;-0.009762094169855118;-0.014946778304874897;-0.007148680742830038;-0.009605090133845806;0.0017714119846020744;3.13790041919186e-06
92160;-0.009479102212935686;-0.013114972971379757;-0.007389027625322342;-0.009255222044885159;0.0016388709442142983;2.6858979717898654e-06
94208;-0.009349226811900735;-0.012986504472792149;-0.005647222977131605;-0.009251591749489307;0.0021309184502213492;4.540813441493757e-06
96256;-0.009114188281819225;-0.01239039096981287;-0.00595520855858922;-0.009015345480293036;0.001798868999301968;3.235929676649663e-06
98304;-0.009346079104579985;-0.013634439557790756;-0.006829315796494484;-0.009091116022318602;0.0013892091667862573;1.929902109082967e-06
100352;-0.009431366296485066;-0.017741169780492783;-0.004849169868975878;-0.009337187744677067;0.002750097916011754;7.563038547652191e-06
