;mean;min;max;median;std;var
4096;25.72479376792908;13.979928016662598;51.05883026123047;22.17054271697998;10.094813179003177;101.90525311897622
6144;17.50038139820099;4.932610034942627;30.384431838989258;16.756828784942627;7.162809488210051;51.30583976439194
8192;21.536941289901733;9.255663871765137;41.10779571533203;21.289234161376953;7.985165996017626;63.762875983956164
10240;26.85620799064636;9.778841972351074;59.634857177734375;25.12494468688965;10.703699703483123;114.5691873423447
12288;30.74576392173767;6.4934844970703125;57.1968879699707;27.60232925415039;13.998864236379505;195.96819990858518
14336;30.066792488098145;8.767959594726562;78.95542907714844;26.307720184326172;14.344944803572288;205.77744141753556
16384;37.35090351104736;13.786170959472656;59.13752365112305;36.15805625915527;13.367348142006406;178.6859963496021
18432;40.60169520378113;12.563578605651855;71.25084686279297;39.06348991394043;16.489854673171273;271.91530714230845
20480;45.14258213043213;19.233064651489258;112.44573211669922;37.983314514160156;23.28790535313425;542.3265357365387
22528;52.34325246810913;21.878734588623047;109.50020599365234;49.342037200927734;24.30164717278964;590.5700553107547
24576;55.43192558288574;19.459163665771484;103.30204010009766;54.83218574523926;19.166916627492668;367.3706930052549
26624;65.70623683929443;33.962799072265625;96.85419464111328;68.13894271850586;18.219930380011736;331.96586305247456
28672;70.94676141738891;30.373388290405273;116.69924926757812;69.1055736541748;25.65490849731609;658.1743300056613
30720;82.92556667327881;46.96059799194336;137.5047607421875;81.83113479614258;24.69038335680766;609.6150303061247
32768;89.9269187927246;45.59336471557617;152.4792938232422;86.06489562988281;28.476002008397135;810.8826903822376
34816;103.34921073913574;60.21189880371094;195.4112548828125;102.35729598999023;29.215847431807827;853.5657411586719
36864;105.317378616333;67.05950164794922;149.4254608154297;103.4493179321289;24.264527788630144;588.7673088052045
38912;123.17878646850586;72.46246337890625;155.28285217285156;125.70752334594727;23.002740997009;529.1260933754785
40960;131.08163528442384;69.04995727539062;190.46832275390625;132.6447868347168;33.81736116800637;1143.6139163673852
43008;137.02408676147462;67.77635955810547;204.67498779296875;134.07388305664062;35.36610071509717;1250.7610797903963
45056;148.04937896728515;91.74815368652344;231.08163452148438;146.0271224975586;33.46121091228382;1119.6526357163416
47104;162.00508079528808;89.91334533691406;260.0052490234375;159.5709686279297;42.87371759435828;1838.1556603607871
49152;168.72763023376464;107.34672546386719;245.17051696777344;172.72583770751953;35.36099116629741;1250.3996962629635
51200;170.31273498535157;97.49095153808594;258.5849304199219;173.3718719482422;44.45724224519256;1976.4463880477338
53248;171.32024993896485;96.9935302734375;272.62030029296875;164.87608337402344;46.34569855923297;2147.923774943289
55296;198.8260913848877;126.65186309814453;283.7135314941406;198.51221466064453;52.66765011952882;2773.8813691131045
57344;206.02348251342772;131.05516052246094;306.0327453613281;200.9742202758789;52.35847508057415;2741.4099127631043
59392;211.66395950317383;137.0389862060547;300.67083740234375;219.55423736572266;48.73094035897064;2374.704548269554
61440;219.96576156616212;136.74209594726562;307.0085754394531;215.60059356689453;51.40440879551414;2642.413243616332
63488;231.25415267944337;144.3140869140625;395.0965576171875;228.60430908203125;57.678404910937644;3326.7983930700757
65536;254.09274368286134;153.64468383789062;394.9144287109375;238.7533950805664;64.9455522734394;4217.92476010205
67584;270.021183013916;179.41107177734375;486.7438659667969;256.1710205078125;70.57963630642713;4981.485061147527
69632;275.0848556518555;171.88844299316406;436.00567626953125;263.8946838378906;65.94609983951712;4348.88808404356
71680;282.70276870727537;143.15110778808594;495.9356994628906;279.67945861816406;77.84152591492312;6059.303156763648
73728;298.61660079956056;176.4988555908203;449.7882080078125;282.670654296875;75.20427393937453;5655.682818748487
75776;295.4728256225586;167.31300354003906;459.8343811035156;288.4240417480469;74.81358621805506;5597.072682806359
77824;288.098282623291;168.39027404785156;467.2188720703125;287.33958435058594;71.84128413791515;5161.170106584659
79872;323.6500274658203;206.9044189453125;562.4166870117188;319.6070251464844;77.0601116779426;5938.260811816985
81920;318.9416847229004;220.0719451904297;476.7565612792969;313.1647186279297;71.89518696127239;5168.917908196311
83968;344.82260665893557;201.54937744140625;594.3931274414062;343.1274719238281;90.84544174634127;8252.894286087885
86016;355.408154296875;233.59132385253906;636.5037841796875;351.63563537597656;99.76816445685836;9953.686639090734
88064;353.1052879333496;229.1668243408203;632.3020629882812;345.3982238769531;93.12449658804202;8672.17186477625
90112;334.1655113220215;198.1644287109375;729.269775390625;300.7524719238281;113.4425928258973;12869.221867062322
92160;339.0247772216797;192.29177856445312;668.5210571289062;331.3319549560547;101.90858031168167;10385.358741142474
94208;330.836474609375;201.51449584960938;603.48583984375;344.630615234375;84.80912580286274;7192.587819445798
96256;324.04126358032227;192.49090576171875;551.7176513671875;301.7091827392578;101.49642856419224;10301.525011286178
98304;293.5613555908203;164.78244018554688;569.1848754882812;293.80633544921875;100.47870843589037;10095.970848944668
100352;279.2581726074219;133.6688690185547;463.13909912109375;267.8447570800781;83.18718906329674;6920.108424252678
