;mean;min;max;median;std;var
500;445.65;325.0;587.0;366.5;106.36271668211563;11313.0275
1000;451.55;335.0;598.0;366.0;109.59811814077831;12011.747500000001
1500;451.7;324.0;595.0;362.5;111.76721343936244;12491.91
2000;452.45;326.0;605.0;362.0;113.12138392010593;12796.4475
2500;453.3;333.0;609.0;362.5;113.07170291456656;12785.21
3000;452.2;332.0;612.0;362.0;112.46270492923422;12647.860000000002
3500;451.45;331.0;614.0;362.0;112.353671502092;12623.3475
4000;451.7;326.0;616.0;362.0;113.4130063088004;12862.51
4500;451.5;323.0;615.0;362.5;114.01644618211883;12999.75
5000;451.3;322.0;609.0;361.5;114.70662578944602;13157.610000000004
5500;451.05;324.0;605.0;361.5;114.96411396605465;13216.747500000001
6000;450.75;327.0;602.0;362.0;114.73965094944293;13165.1875
6500;450.25;327.0;603.0;362.0;114.17962821799692;13036.9875
7000;449.45;327.0;604.0;361.5;113.81057727645529;12952.8475
7500;448.85;328.0;599.0;362.0;112.92664654544559;12752.4275
8000;448.05;328.0;597.0;361.5;112.40261340378167;12634.3475
8500;447.8;330.0;595.0;362.0;111.79114455089902;12497.259999999998
9000;447.75;331.0;593.0;362.0;111.36017016869182;12401.0875
9500;447.45;332.0;593.0;362.5;111.0713621956623;12336.8475
10000;447.25;334.0;594.0;362.5;111.17952824148878;12360.8875
10500;447.25;335.0;594.0;362.5;111.41089488914449;12412.3875
11000;447.4;335.0;595.0;362.5;111.93989458633594;12530.54
11500;447.45;335.0;596.0;362.5;112.51109945245402;12658.7475
12000;447.4;334.0;594.0;362.0;112.72728152492634;12707.439999999999
12500;447.45;335.0;593.0;362.5;112.7614628319445;12715.147500000001
13000;447.35;335.0;594.0;362.0;112.84514832282335;12734.027500000002
13500;447.4;335.0;595.0;362.0;112.78138144215117;12719.64
14000;447.55;335.0;595.0;362.0;112.74860309555946;12712.247500000001
14500;447.15;336.0;596.0;361.0;112.45144507741999;12645.327500000003
15000;446.85;337.0;595.0;361.0;112.26142480834635;12602.6275
15500;446.7;337.0;595.0;361.0;111.9643246753179;12536.01
16000;446.4;336.0;594.0;361.0;111.88404712022174;12518.039999999999
16500;446.35;336.0;594.0;361.0;112.02467362148394;12549.5275
17000;446.5;336.0;593.0;361.0;111.79065256093642;12497.15
17500;446.55;336.0;594.0;360.5;111.9502009824011;12532.8475
18000;446.75;336.0;594.0;360.5;112.2719354959199;12604.9875
18500;447.0;335.0;595.0;360.5;112.59351668724092;12677.3
19000;447.15;335.0;595.0;360.5;112.85888312401467;12737.127500000002
19500;447.55;335.0;596.0;360.5;113.13199149665844;12798.8475
20000;447.65;335.0;597.0;360.5;113.36237250516592;12851.0275
20500;447.75;336.0;598.0;360.5;113.46976469527026;12875.3875
21000;447.55;336.0;598.0;360.5;113.41273076687644;12862.447500000002
21500;447.5;336.0;599.0;360.5;113.2539182545134;12826.45
22000;447.25;336.0;598.0;360.5;113.03710673933583;12777.3875
22500;446.95;336.0;597.0;360.5;112.86030081476834;12737.447499999998
23000;446.9;337.0;597.0;360.5;112.78692300085147;12720.889999999998
23500;446.75;337.0;596.0;360.5;112.58280286082773;12674.8875
24000;446.75;337.0;594.0;360.5;112.45927040488925;12647.0875
24500;446.9;337.0;594.0;360.5;112.53439474222981;12663.99
25000;447.15;337.0;593.0;360.5;112.61983617462778;12683.2275
25500;447.2;336.0;594.0;360.5;112.79122306278977;12721.859999999999
26000;446.9;336.0;594.0;360.5;112.3511904698833;12622.789999999999
26500;447.05;336.0;595.0;360.5;112.44708755677046;12644.3475
27000;447.05;336.0;595.0;360.5;112.63945800650853;12687.647500000001
27500;447.0;336.0;595.0;360.5;112.5779729787315;12673.8
28000;447.05;336.0;595.0;360.5;112.64434073667438;12688.7475
28500;446.95;337.0;596.0;360.5;112.62036893919323;12683.347499999998
29000;446.8;337.0;596.0;360.5;112.5404816055094;12665.36
29500;446.65;338.0;595.0;360.5;112.23826219253397;12597.427499999998
