;mean;min;max;median;std;var
2048;734.9;576.0;1062.0;617.5;201.49290310082884;40599.39
4096;570.05;434.0;856.0;468.5;169.50323743220952;28731.347499999993
6144;527.45;405.0;796.0;436.0;153.78734505803786;23650.5475
8192;504.9;390.0;763.0;421.5;145.0558168430346;21041.19
10240;493.05;380.0;743.0;413.0;141.62078766904244;20056.447500000002
12288;484.75;374.0;730.0;407.0;138.13901512606785;19082.3875
14336;479.75;371.0;727.0;402.0;137.45758436696028;18894.5875
16384;475.85;367.0;716.0;399.0;136.1522217960471;18537.4275
18432;472.65;364.0;716.0;397.0;135.83382310750147;18450.8275
20480;470.8;363.0;715.0;395.5;135.12127885718073;18257.76
22528;469.2;360.0;714.0;394.0;134.7377452683546;18154.260000000006
24576;467.6;358.0;708.0;393.0;134.00723861045716;17957.940000000002
26624;466.3;357.0;704.0;392.5;133.34470368184856;17780.809999999998
28672;465.4;356.0;704.0;391.5;133.14856364227143;17728.540000000005
30720;464.1;354.0;702.0;390.5;133.08076495121298;17710.49
32768;463.4;353.0;700.0;389.5;133.24241066567356;17753.54
34816;462.5;351.0;700.0;387.5;133.4250726063134;17802.25
36864;461.7;350.0;699.0;387.0;133.08347004793646;17711.210000000003
38912;461.05;351.0;699.0;387.0;132.96784385707696;17680.447500000002
40960;460.45;351.0;700.0;386.5;133.18651395693183;17738.6475
43008;459.85;351.0;700.0;386.5;133.3020161137858;17769.42750000001
45056;459.05;352.0;698.0;386.0;132.94528009673755;17674.447500000002
47104;458.65;353.0;698.0;386.0;132.69637334908595;17608.327500000007
49152;458.25;354.0;699.0;386.0;132.46881708538052;17547.9875
51200;458.05;354.0;699.0;385.5;132.5841148101838;17578.547499999997
53248;457.8;355.0;697.0;385.5;132.4777717203909;17550.36
55296;457.25;355.0;697.0;385.0;131.99502831546346;17422.6875
57344;456.85;356.0;696.0;385.0;131.6428026897027;17329.8275
59392;456.45;356.0;695.0;385.0;131.1889762899307;17210.5475
61440;455.1;357.0;692.0;384.5;129.49281833368212;16768.390000000003
63488;454.4;362.0;691.0;384.5;128.17386629106576;16428.54
65536;453.45;365.0;690.0;384.5;126.51145205079263;16005.147500000003
67584;452.65;365.0;688.0;384.0;125.18916686359088;15672.327500000003
69632;451.9;364.0;689.0;384.0;124.27706948588705;15444.789999999999
71680;451.25;363.0;689.0;384.0;123.2241352170913;15184.1875
73728;451.1;363.0;689.0;385.0;122.40706678946277;14983.49
75776;450.6;363.0;688.0;384.5;121.69938372892445;14810.740000000002
77824;449.9;362.0;688.0;384.0;120.99004091246519;14638.590000000002
79872;449.4;362.0;686.0;384.0;120.17004618456299;14440.840000000002
81920;448.9;362.0;685.0;384.0;119.49723846181551;14279.59
83968;448.55;361.0;686.0;383.5;119.20506490917238;14209.8475
86016;448.4;361.0;686.0;383.5;119.06695595336267;14176.940000000006
88064;448.0;361.0;684.0;383.0;118.58836367873536;14063.2
90112;447.7;360.0;683.0;383.0;118.20917900061737;13973.409999999998
92160;447.45;359.0;682.0;382.0;117.9836747181575;13920.147499999997
94208;447.3;359.0;682.0;382.0;117.89024556764652;13898.11
96256;447.2;360.0;682.0;382.0;117.55066992578138;13818.160000000003
98304;447.05;359.0;682.0;381.5;117.41655547664477;13786.647500000001
100352;446.9;360.0;682.0;381.0;117.46867667595475;13798.889999999996
