;mean;min;max;median;std;var
4096;-0.007293798495084047;-0.009769474156200886;-0.004739977419376373;-0.0074434063863009214;0.0010191456030002213;1.0386577601146849e-06
6144;-0.005469449027441442;-0.007882008329033852;-0.0026228122878819704;-0.005594166461378336;0.0014932975914036272;2.2299376964918745e-06
8192;-0.0054118601721711455;-0.007568723987787962;-0.0029610288329422474;-0.005482642911374569;0.0012453756536063513;1.5509605185954468e-06
10240;-0.005516317521687597;-0.008257778361439705;-0.0033505638130009174;-0.00536809372715652;0.001362521182641965;1.8564639731480586e-06
12288;-0.005600353481713683;-0.011226649396121502;-0.0030484888702630997;-0.0052383276633918285;0.001956002586838353;3.82594611971833e-06
14336;-0.005332990852184594;-0.008290322497487068;-0.0033358533401042223;-0.005292069166898727;0.001208844391148594;1.4613047620114148e-06
16384;-0.006648422125726939;-0.010350125841796398;-0.004115318413823843;-0.006163041340187192;0.0018387294290574561;3.3809259132819586e-06
18432;-0.005925210239365697;-0.00984802097082138;-0.0035277465358376503;-0.005589497508481145;0.0014432705083441445;2.0830297602559655e-06
20480;-0.006440466456115246;-0.008954213932156563;-0.0033897249959409237;-0.006535911001265049;0.001615004349744008;2.6082390496920665e-06
22528;-0.007199759664945305;-0.00902435090392828;-0.0047119660302996635;-0.007791739655658603;0.0014396934310935913;2.0727171755340376e-06
24576;-0.006771568045951426;-0.010398678481578827;-0.004505614750087261;-0.006224500481039286;0.0016957177270535422;2.875458609843631e-06
26624;-0.007305338745936751;-0.009860890917479992;-0.005268504377454519;-0.007085125660523772;0.0011571301210682326;1.3389501170833828e-06
28672;-0.007198999915271997;-0.009804513305425644;-0.00462911045178771;-0.007232004078105092;0.001469110470221857;2.1582855737154856e-06
30720;-0.007896026060916484;-0.01138439029455185;-0.006295423023402691;-0.007454079110175371;0.0014516467013575933;2.1072781455623815e-06
32768;-0.008026889362372457;-0.011486206203699112;-0.005016427952796221;-0.007798508042469621;0.0018929354783903693;3.5832047253489762e-06
34816;-0.008973443671129644;-0.011244617402553558;-0.006445308215916157;-0.008855296298861504;0.001214116198061444;1.4740781423951757e-06
36864;-0.008449858613312244;-0.012043491937220097;-0.004577810410410166;-0.008545922115445137;0.001749952265817515;3.062332932639855e-06
38912;-0.008361967140808701;-0.011543103493750095;-0.005824526771903038;-0.008509218227118254;0.0014465263144746157;2.0924383784675145e-06
40960;-0.00888951679226011;-0.011478862725198269;-0.0062930951826274395;-0.009101982694119215;0.0013213196581543334;1.7458856390250842e-06
43008;-0.008928714273497462;-0.011594291776418686;-0.005601061042398214;-0.00916215218603611;0.0017093180094868523;2.921768057556095e-06
45056;-0.008815270219929516;-0.012747317552566528;-0.005551293026655912;-0.008884974289685488;0.0017807410468440258;3.1710386759151573e-06
47104;-0.009583443799056113;-0.013211308978497982;-0.006833601277321577;-0.0095991725102067;0.0015321538738479862;2.347495493147391e-06
49152;-0.009892837260849774;-0.014253790490329266;-0.007477921899408102;-0.009589494671672583;0.001577437531766559;2.488309166625774e-06
51200;-0.008875636174343527;-0.01218770444393158;-0.005927091930061579;-0.008491182699799538;0.0015403907415108334;2.3728036365322954e-06
53248;-0.009663288365118206;-0.012421132996678352;-0.006528065074235201;-0.009720330592244864;0.001478163446346237;2.184967174114185e-06
55296;-0.009866528445854783;-0.01457834243774414;-0.006393526680767536;-0.009878627490252256;0.0018481079571224263;3.4155030211792284e-06
57344;-0.00917737300042063;-0.011477310210466385;-0.005828543100506067;-0.009548556990921497;0.0015032343205620378;2.2597134225156113e-06
59392;-0.009121895907446742;-0.012928043492138386;-0.006611261982470751;-0.00912552885711193;0.0017363878169242254;3.015042650762877e-06
61440;-0.009448093129321933;-0.013298884965479374;-0.006654397584497929;-0.008942532818764448;0.0018606316328557116;3.4619500731833116e-06
