;mean;min;max;median;std;var
4096;28.218518877029418;13.490198135375977;57.11495590209961;23.34469985961914;12.61438802159057;159.12278515924763
6144;23.45362401008606;9.540288925170898;44.88285446166992;22.10290813446045;8.72194102837096;76.07225530238068
8192;30.528400707244874;19.647903442382812;53.697540283203125;30.401647567749023;8.091156134333893;65.466807590169
10240;38.25329246520996;13.426507949829102;78.30381774902344;34.22548484802246;15.86929561368871;251.83454327463974
12288;48.51326370239258;21.315519332885742;71.52743530273438;52.14342498779297;12.97883670867855;168.45020231054187
14336;55.06480827331543;21.445919036865234;96.65640258789062;50.8576545715332;18.543842045999444;343.8740778269769
16384;62.11219673156738;33.08580017089844;104.86478424072266;60.205543518066406;20.50890954933526;420.6153709028151
18432;66.0712646484375;40.90444564819336;105.69184875488281;63.99462127685547;18.251306649662386;333.1101944200104
20480;83.92001304626464;38.06039047241211;132.0891876220703;86.02825164794922;23.870549913667368;569.8031531808853
22528;84.1313377380371;52.616275787353516;131.44117736816406;77.70426177978516;23.903271843210483;571.366404810419
24576;99.09792728424073;51.71846389770508;137.94674682617188;99.95696640014648;24.812369187323675;615.6536646880493
26624;114.76467323303223;72.95277404785156;185.4103240966797;113.27305603027344;31.664805637442342;1002.6599160570004
28672;113.21814613342285;69.9990463256836;196.0748291015625;101.98451232910156;31.188119139986103;972.6987754899676
30720;117.85777168273925;72.79345703125;173.6798095703125;114.04188919067383;27.37672823941873;749.4852490949868
32768;129.79534034729005;64.15916442871094;196.83218383789062;125.00316619873047;30.526097335385227;931.8426185294131
34816;138.08832283020018;99.4632339477539;192.21580505371094;132.99075317382812;27.856504750175013;775.9848568965231
36864;141.22408180236818;93.1083984375;246.53538513183594;130.0767822265625;36.25396814530255;1314.350206280612
38912;148.5043972015381;104.19692993164062;228.10699462890625;131.99885940551758;35.225480792014864;1240.8344970286082
40960;156.69577026367188;112.46527099609375;216.38816833496094;148.75006866455078;26.728767416681922;714.4270076150773
43008;165.919331741333;114.78063201904297;239.3896026611328;165.48511505126953;35.7367855092441;1277.1178385337194
45056;175.14584426879884;130.235107421875;282.597900390625;160.03633880615234;37.55160556129397;1410.1230802310042
47104;182.0986083984375;128.74627685546875;265.4275207519531;170.87937927246094;38.49817045059801;1482.109128043298
49152;181.7468032836914;132.79891967773438;265.243408203125;167.82108306884766;40.89284727838553;1672.224958533363
51200;180.88526191711426;123.88509368896484;256.68609619140625;179.43025970458984;30.722531012432416;943.8739118098716
53248;192.0256290435791;123.56517028808594;267.817626953125;188.5611572265625;48.770658082911844;2378.5770898402943
55296;197.00535011291504;123.17362213134766;287.9950866699219;196.30087280273438;46.3696235187257;2150.14198526836
57344;218.3871643066406;132.8332061767578;284.66180419921875;208.91255950927734;35.2620293369571;1243.410712960423
59392;234.71121215820312;168.171875;288.71588134765625;239.25748443603516;31.29275469152412;979.2364961839048
61440;219.0841506958008;147.61463928222656;298.5460205078125;223.9456787109375;40.00712175110119;1600.569790807434
63488;241.8376091003418;151.18923950195312;384.42596435546875;232.4614486694336;54.54275816310347;2974.9124680387904
65536;249.56414184570312;131.42393493652344;331.17608642578125;252.64495849609375;45.08582757728851;2032.7318483289891
67584;260.54748992919923;181.30345153808594;388.24493408203125;250.11026763916016;51.24780799577535;2626.3378243718553
69632;258.4322425842285;141.6982879638672;367.01629638671875;260.7513427734375;57.04271701923081;3253.8715649360443
71680;245.0736629486084;127.96576690673828;332.421630859375;245.9348373413086;50.252823092177636;2525.3462287337015
73728;257.27236862182616;163.37722778320312;399.3062438964844;248.88030242919922;59.052678704505915;3487.2188621776063
75776;254.02933349609376;154.4388427734375;366.4013977050781;238.69247436523438;55.99600288547179;3135.552339149765
77824;256.3540664672852;139.2715606689453;416.7623596191406;232.84222412109375;69.99327844876794;4899.059028006762
79872;269.23368911743165;167.99029541015625;371.24053955078125;266.11277770996094;53.933357466415195;2908.807047600124
81920;263.7946319580078;158.67933654785156;402.4355163574219;264.3518829345703;65.51738317462983;4292.527498051268
83968;268.0571601867676;141.62173461914062;389.3064270019531;257.55499267578125;62.46350719276129;3901.6897308201414
86016;266.0900108337402;181.10812377929688;421.93426513671875;252.76453399658203;66.43942477751631;4414.197164767248
88064;262.0433853149414;177.72552490234375;347.0126037597656;254.16490936279297;49.20551676436992;2421.182880048689
90112;240.3161750793457;161.5950927734375;351.1161804199219;203.86734008789062;62.69381191892316;3930.5140529253113
92160;246.12158813476563;158.90135192871094;352.6577453613281;242.38201904296875;53.83385880354599;2898.0843536801267
94208;237.81526565551758;117.96292114257812;329.924072265625;250.53614044189453;62.06232781705512;3851.732534071614
96256;228.29509353637695;145.31639099121094;331.6754455566406;227.365234375;52.35316031242515;2740.8533946984885
98304;210.64319229125977;137.2586212158203;320.74346923828125;216.82415008544922;48.83263880119968;2384.626612288432
100352;197.39716644287108;132.67320251464844;254.02389526367188;205.4261474609375;39.43804434071542;1555.3593414202355
