;mean;min;max;median;std;var
500;557.2;489.0;634.0;553.5;37.514797080618735;1407.3600000000001
1000;566.35;499.0;629.0;570.5;35.79982541856874;1281.6275
1500;566.55;499.0;611.0;576.5;30.97172097252589;959.2475000000001
2000;567.35;497.0;611.0;569.0;29.972112037692636;898.3274999999998
2500;567.65;501.0;614.0;571.0;29.010816948166077;841.6275000000002
3000;567.75;508.0;614.0;578.5;28.43918951025152;808.7875
3500;567.75;496.0;617.0;578.5;30.314806613270683;918.9875
4000;566.4;469.0;611.0;575.5;32.57207392844367;1060.94
4500;565.7;451.0;608.0;573.0;34.90429772964928;1218.31
5000;565.6;438.0;607.0;574.0;36.63249923223913;1341.94
5500;564.8;426.0;607.0;573.5;37.974465104856975;1442.0600000000002
6000;563.1;415.0;604.0;573.0;39.43970081022421;1555.4900000000002
6500;562.9;406.0;604.0;572.0;40.838584696338344;1667.7900000000002
7000;563.1;398.0;601.0;571.5;42.32717803019711;1791.5900000000008
7500;563.6;393.0;600.0;572.5;43.17684564671208;1864.2400000000002
8000;564.35;390.0;600.0;573.0;43.832949934951905;1921.3275000000006
8500;564.6;385.0;601.0;574.0;44.602017891570775;1989.3399999999997
9000;564.9;377.0;602.0;574.0;46.332386081444156;2146.69
9500;564.35;374.0;600.0;573.5;46.72073950613368;2182.827500000001
10000;564.65;378.0;599.0;573.5;45.78239290382277;2096.027500000001
10500;564.95;383.0;600.0;574.0;44.65251952577815;1993.8474999999994
11000;564.5;385.0;601.0;575.5;44.072100018038626;1942.35
11500;564.15;390.0;603.0;576.0;42.845390650570565;1835.7274999999997
12000;564.2;395.0;604.0;578.0;41.783489562266105;1745.8600000000006
12500;564.3;398.0;606.0;576.5;41.14012639747233;1692.5099999999998
13000;564.4;402.0;606.0;576.0;40.2981389148432;1623.94
13500;564.6;405.0;605.0;576.0;39.62246837338633;1569.94
14000;564.7;410.0;604.0;574.5;38.51246551442792;1483.2100000000003
14500;564.85;414.0;603.0;574.5;37.97403718331776;1442.0275000000001
15000;565.45;417.0;603.0;574.0;37.53861345334961;1409.1475000000005
