;mean;min;max;median;std;var
4096;-4.251024842262268;-4.272643566131592;-4.228205680847168;-4.251369476318359;0.010016804010326253;0.00010033636258128808
6144;-4.244220447540283;-4.278392791748047;-4.194461822509766;-4.243823528289795;0.016571789627307522;0.0002746242114517372
8192;-4.242062783241272;-4.273998737335205;-4.196127414703369;-4.241876840591431;0.014918167663912829;0.00022255172644861432
10240;-4.238910102844239;-4.272143840789795;-4.199733257293701;-4.240262269973755;0.014761191485959313;0.0002178927740851577
12288;-4.232800769805908;-4.264359474182129;-4.183002471923828;-4.2326340675354;0.016952607513131747;0.000287390901494291
14336;-4.228031921386719;-4.258864402770996;-4.171926021575928;-4.228298187255859;0.017274209993552926;0.0002983983309013638
16384;-4.224403667449951;-4.262775421142578;-4.1672163009643555;-4.226532220840454;0.018475972800556198;0.0003413615709268924
18432;-4.218465399742127;-4.258859634399414;-4.156742095947266;-4.2182557582855225;0.021118223396964418;0.0004459793594440953
20480;-4.213553142547608;-4.256097793579102;-4.146566867828369;-4.21731162071228;0.02356287595020466;0.000555209123044733
22528;-4.209539556503296;-4.2568864822387695;-4.139660358428955;-4.212489128112793;0.026547808579776934;0.0007047861403884779
24576;-4.206549072265625;-4.258505344390869;-4.139557838439941;-4.208965063095093;0.028113364506748048;0.0007903612638892809
26624;-4.202517151832581;-4.257472515106201;-4.137509346008301;-4.203204870223999;0.030375808533036043;0.0009226897440356652
28672;-4.193948531150818;-4.255452632904053;-4.131115436553955;-4.1908278465271;0.031950325638350596;0.0010208233083966434
30720;-4.1841753959655765;-4.233248233795166;-4.12425422668457;-4.181751012802124;0.030892262236769732;0.0009543318661053492
32768;-4.176019787788391;-4.218247413635254;-4.104656219482422;-4.173726797103882;0.03010033050985241;0.0009060298968023517
34816;-4.166961431503296;-4.222898006439209;-4.083869457244873;-4.167111873626709;0.03342775509817378;0.0011174148109034832
36864;-4.158252596855164;-4.220034599304199;-4.073209285736084;-4.162849426269531;0.03647565164424319;0.001330473162872181
38912;-4.150425672531128;-4.220170974731445;-4.057063102722168;-4.153896808624268;0.03931623161217031;0.0015457660681818196
40960;-4.14185631275177;-4.221353054046631;-4.0431342124938965;-4.146016359329224;0.041180479803726563;0.0016958319168651314
43008;-4.132468867301941;-4.223047733306885;-4.030880928039551;-4.133119821548462;0.04145763648424168;0.0017187356228595269
45056;-4.123284220695496;-4.217724800109863;-4.015401363372803;-4.12217378616333;0.04460282061828794;0.0019894116071071722
47104;-4.113188445568085;-4.202396869659424;-3.9938247203826904;-4.12122917175293;0.04873672963176135;0.002375268815199405
49152;-4.101971185207367;-4.186334609985352;-3.9721786975860596;-4.107742071151733;0.05011443814659424;0.0025114569107488197
51200;-4.088918673992157;-4.172336101531982;-3.9562747478485107;-4.097086191177368;0.05143165772268433;0.0026452154161033547
53248;-4.075841665267944;-4.166966438293457;-3.937800884246826;-4.077024936676025;0.055932932353346274;0.0031284929216440103
55296;-4.064516770839691;-4.151170253753662;-3.9212074279785156;-4.064510107040405;0.05962989192293328;0.003555724010740704
57344;-4.0551953434944155;-4.141383647918701;-3.907762289047241;-4.056587219238281;0.06089362305253958;0.003708033328464779
59392;-4.044447600841522;-4.148977279663086;-3.89330792427063;-4.048532247543335;0.06360665773908537;0.004045806908737149
61440;-4.030963790416718;-4.143520832061768;-3.877833366394043;-4.029568195343018;0.06679617582837874;0.004461729105295688
63488;-4.014431822299957;-4.119478225708008;-3.852354049682617;-4.0149452686309814;0.0665515838382747;0.004429113311382906
65536;-3.9989339232444765;-4.092322826385498;-3.832883834838867;-4.0049251317977905;0.06517790465555605;0.004248159255288755
67584;-3.9857919335365297;-4.069490432739258;-3.8292911052703857;-3.988821506500244;0.06248712632953813;0.003904640956923657
69632;-3.973103070259094;-4.075477123260498;-3.8058857917785645;-3.976174235343933;0.06663977252523111;0.004440859282214546
71680;-3.9572252869606017;-4.077939987182617;-3.7835984230041504;-3.9621105194091797;0.07087014778810784;0.005022577847508245
73728;-3.9433653235435484;-4.054986476898193;-3.7707245349884033;-3.9479684829711914;0.07196406316614966;0.005178826387381577
75776;-3.9272806525230406;-4.026996612548828;-3.7510790824890137;-3.928901791572571;0.0752871254195356;0.0056681512539368826
77824;-3.9078275561332703;-4.019876480102539;-3.741997241973877;-3.9113703966140747;0.07591530036709589;0.00576313282982639
79872;-3.8893216848373413;-3.9959874153137207;-3.735116481781006;-3.8931843042373657;0.07258288001710968;0.005268274471578138
81920;-3.870917189121246;-3.976738691329956;-3.705173969268799;-3.8769627809524536;0.07106445227240259;0.005050156376776585
