;mean;min;max;median;std;var
500;0.9948535144329071;0.9796848297119141;1.0182642936706543;0.9932165443897247;0.008916579098805407;7.950538282525346e-05
1000;0.9917846411466599;0.9800927639007568;1.0091980695724487;0.9900678098201752;0.008847003240971334;7.826946634575729e-05
1500;0.989472183585167;0.9770128130912781;1.0067696571350098;0.9878432750701904;0.008040623523339258;6.465162664407662e-05
2000;0.9864092737436294;0.9740756750106812;1.0094881057739258;0.9854647517204285;0.009328896888275356;8.70283171520736e-05
2500;0.9856722444295883;0.9701682925224304;1.0077617168426514;0.9862935841083527;0.009914515301183013;9.82976136573921e-05
3000;0.9838799268007279;0.9638844728469849;1.0104649066925049;0.9815893769264221;0.011251514700299966;0.00012659658305106625
3500;0.9811229109764099;0.9637172222137451;1.0073208808898926;0.9789522290229797;0.011805416824378625;0.0001393678663973219
4000;0.9791675448417664;0.9565122127532959;1.0121358633041382;0.978628009557724;0.014875420123835154;0.00022127812386059988
4500;0.9768778622150421;0.9510223865509033;1.0132533311843872;0.9746990203857422;0.015081976007731958;0.0002274660002978024
5000;0.9743635773658752;0.9434555768966675;1.017343521118164;0.9706100523471832;0.01745377533981989;0.0003046342736129048
5500;0.9735614985227585;0.9416481256484985;1.0195529460906982;0.9673373997211456;0.0193336560873284;0.0003737902577030905
6000;0.9704060584306717;0.9433190226554871;1.0166778564453125;0.9639260470867157;0.02014612905764156;0.00040586651600714956
6500;0.9695931315422058;0.9392120838165283;1.016553521156311;0.96502885222435;0.02045704087259504;0.00041849052126302405
7000;0.9685747504234314;0.9343494176864624;1.020169973373413;0.964197963476181;0.021522973537146977;0.0004632383898807291
7500;0.966310653090477;0.9303271770477295;1.026679277420044;0.9583170115947723;0.022409506463268534;0.0005021859799272742
8000;0.9646557718515396;0.9300858378410339;1.0331404209136963;0.9613732695579529;0.02349425038516436;0.0005519798011607957
8500;0.9621007204055786;0.9212276339530945;1.0306538343429565;0.9586449861526489;0.023849493523167144;0.0005687983413115915
9000;0.9587592422962189;0.9177898168563843;1.0263866186141968;0.9511193037033081;0.026020461422096217;0.0006770644126187974
9500;0.9565767884254456;0.9150833487510681;1.027062177658081;0.947278618812561;0.027593916955103832;0.0007614242529251668
10000;0.9535782128572464;0.9043590426445007;1.0256872177124023;0.9466616809368134;0.03006018128588522;0.000903614498940284
10500;0.9499038487672806;0.8970751762390137;1.0249121189117432;0.943383514881134;0.03223615260142024;0.0010391695345420527
11000;0.9485958963632584;0.8961910009384155;1.034034252166748;0.9466517269611359;0.03532072479805131;0.0012475536002596766
11500;0.946650505065918;0.8890758752822876;1.0361566543579102;0.9425682127475739;0.03777752496617749;0.0014271413925701637
12000;0.9428611248731613;0.8827676773071289;1.0335822105407715;0.942213773727417;0.03828613720404771;0.001465828302007166
12500;0.9425654292106629;0.876628577709198;1.032606840133667;0.9433545768260956;0.03874083917760706;0.001500852620185214
13000;0.9410476207733154;0.873083233833313;1.0296452045440674;0.938001424074173;0.04144654920338436;0.0017178164408685602
13500;0.9401925653219223;0.8724514245986938;1.0292282104492188;0.9364863336086273;0.042608242068835844;0.0018154622921965125
14000;0.938637661933899;0.8703984022140503;1.027809500694275;0.9356128573417664;0.04359758785218604;0.0019007496665290797
14500;0.9366006821393966;0.8645803928375244;1.0236719846725464;0.9326838254928589;0.04410560313147823;0.0019453042275914625
15000;0.9345718294382095;0.8641600608825684;1.0261735916137695;0.9318523705005646;0.04617776787975959;0.0021323862463569565
15500;0.9335116565227508;0.8615292906761169;1.0276472568511963;0.929919570684433;0.04618425400991745;0.002132985318452576
16000;0.9310782223939895;0.8604618906974792;1.0266566276550293;0.9301764070987701;0.046900986308806764;0.0021997025167388795
16500;0.9286625355482101;0.8559396266937256;1.030208945274353;0.9251689016819;0.048881980510432924;0.002389448018622344
17000;0.9267724245786667;0.8528953790664673;1.0343682765960693;0.9229318499565125;0.05079775872932469;0.0025804122919226825
17500;0.9248805105686188;0.8485300540924072;1.037975549697876;0.9191778302192688;0.05221960444495541;0.0027268870883876066
18000;0.9236721366643905;0.8469790816307068;1.0327051877975464;0.9180047512054443;0.052910989223981734;0.002799572780660311
18500;0.9225206226110458;0.8432413339614868;1.0352725982666016;0.9132490754127502;0.05342567466349137;0.002854302713249224
19000;0.921556368470192;0.8444897532463074;1.032906413078308;0.9156629741191864;0.054069489768069905;0.002923509723779416
19500;0.9191880911588669;0.8423795104026794;1.0341044664382935;0.9114997982978821;0.053808513753802835;0.002895356152393189
20000;0.9184410572052002;0.83696448802948;1.0422289371490479;0.9095807373523712;0.05577077284608562;0.003110379103849681
20500;0.9170656055212021;0.834878146648407;1.0396463871002197;0.9070158898830414;0.05518058893612175;0.0030448973953372425
21000;0.9153723955154419;0.8289691209793091;1.0396759510040283;0.9062901735305786;0.05581340947481855;0.0031151366772037645
21500;0.9145600646734238;0.8310540914535522;1.0403618812561035;0.9070190787315369;0.056056534943681756;0.003142335109892214
22000;0.9143219321966172;0.8324605822563171;1.0476696491241455;0.9133361577987671;0.05630278679764549;0.0031700038011811234
22500;0.9118685930967331;0.830754280090332;1.0501298904418945;0.9112330377101898;0.056685034956994014;0.0032131931880756337
23000;0.9119537949562073;0.8302452564239502;1.050835132598877;0.9124060273170471;0.05722576093388131;0.0032747877144617367
23500;0.9111636728048325;0.8272835612297058;1.0547003746032715;0.9104214608669281;0.058107982420557105;0.003376537620987774
24000;0.9096940457820892;0.8240008354187012;1.0644711256027222;0.9097455143928528;0.060958620227011796;0.003715953379981052
24500;0.9080260336399079;0.8218749761581421;1.0621469020843506;0.9065982103347778;0.060757763952498045;0.003691505880507471
25000;0.9076227933168411;0.8185254335403442;1.0602936744689941;0.9060863852500916;0.06177047885714439;0.003815592058240922
25500;0.9069647043943405;0.81376713514328;1.0675565004348755;0.9035656154155731;0.0627384705970059;0.003936115692851372
26000;0.9076693654060364;0.8062012195587158;1.0724132061004639;0.9036354720592499;0.06448463187104572;0.004158267747544286
26500;0.9083143800497055;0.803120493888855;1.0768853425979614;0.9041855335235596;0.06546538427790781;0.00428571653865414
27000;0.9067467659711838;0.7993847131729126;1.080428123474121;0.90797358751297;0.0654469037390071;0.004283297209022862
27500;0.9065783381462097;0.7998971939086914;1.0746015310287476;0.9095887541770935;0.0646832164280335;0.004183918487475823
28000;0.9073698163032532;0.7931782007217407;1.082950472831726;0.9067494869232178;0.06629050179503194;0.004394430628237133
28500;0.9059094548225403;0.785564661026001;1.0888513326644897;0.9025980234146118;0.06710130974543849;0.004502585769553278
29000;0.9054313749074936;0.783165454864502;1.094660997390747;0.9011563658714294;0.06914776992187922;0.004781414085169145
29500;0.9058359682559967;0.7850763201713562;1.099727988243103;0.9007534384727478;0.07013895276283885;0.004919472694667739
30000;0.9047471553087234;0.7800957560539246;1.1100510358810425;0.8997060656547546;0.07197265426844196;0.005180062962444677
30500;0.901737493276596;0.7787734866142273;1.1092567443847656;0.8954376578330994;0.07236277956799723;0.005236371866806557
31000;0.8987811416387558;0.7776314616203308;1.0995233058929443;0.8953945934772491;0.07118309016105413;0.005067032324876762
31500;0.8986724436283111;0.7797985076904297;1.1045907735824585;0.8981427848339081;0.07251800178614069;0.005258860583054705
32000;0.8978887796401978;0.7810739278793335;1.1046504974365234;0.8972235918045044;0.07319406374265046;0.005357370967163178
32500;0.8976650416851044;0.7782630920410156;1.1069740056991577;0.8932510614395142;0.07420187987325957;0.005505918976725645
33000;0.8959441840648651;0.7731005549430847;1.1075876951217651;0.8852654099464417;0.0752167236055861;0.005657555509959132
33500;0.8947264313697815;0.7734944224357605;1.113936185836792;0.882079541683197;0.07584259319858276;0.005752098943085713
