;mean;min;max;median;std;var
500;33.76684300899505;-5.748248100280762;60.6496467590332;37.03301239013672;16.909544126941196;285.93268258097146
1000;28.681460773944856;1.3864715099334717;55.54319763183594;28.539573669433594;16.316665374810743;266.23356895354783
1500;29.40358007401228;-0.3041366636753082;64.20526123046875;28.276179313659668;14.376490702701416;206.68348492486024
2000;31.189894580841063;14.399091720581055;76.47225952148438;28.229586601257324;14.333215119167164;205.4410556523222
2500;34.67964038848877;19.213958740234375;73.99315643310547;33.90240287780762;13.733934553474489;188.62095831912052
3000;35.44648180007935;21.363197326660156;71.92323303222656;31.94279956817627;13.38417236729214;179.13606995738647
3500;36.63697023391724;19.837854385375977;78.81910705566406;31.956083297729492;15.722643884658318;247.20153072378358
4000;38.125193977355956;18.826868057250977;77.6843032836914;31.92656707763672;17.56929865517494;308.68025523473193
4500;40.82763414382934;17.08086395263672;84.00247955322266;36.86343955993652;18.964908760717886;359.6677643023541
5000;41.72213344573974;17.748966217041016;90.67337799072266;38.640241622924805;19.28041356364376;371.7343471851382
5500;43.672255516052246;18.40877342224121;88.28626251220703;42.54670715332031;18.864238852431573;355.8595074815888
6000;45.298231315612796;19.173776626586914;89.38688659667969;44.97810173034668;19.319016652872985;373.22440443398375
6500;46.51493740081787;20.137704849243164;93.02900695800781;48.762229919433594;19.737280411088253;389.5602380259281
7000;48.73405456542969;20.00218391418457;96.1142578125;50.204851150512695;20.678922139479948;427.61782085067387
7500;50.35525484085083;19.93172836303711;98.93394470214844;51.697608947753906;21.578064295886797;465.61285875742453
8000;51.535977840423584;19.402376174926758;103.15948486328125;52.363224029541016;22.369475241632596;500.39342258601374
8500;52.773099994659425;18.89035987854004;104.44715881347656;55.90532684326172;22.89468038010229;524.1663897070407
9000;54.09420394897461;18.44901466369629;108.05786895751953;57.29464530944824;23.540215359160083;554.1417391556363
9500;55.32870740890503;17.970916748046875;111.51205444335938;59.591068267822266;24.36923937552827;593.8598277417974
10000;56.66656866073608;17.51215171813965;111.54186248779297;60.468223571777344;24.47108876446593;598.8341853183706
10500;58.644446563720706;17.129362106323242;114.13114166259766;61.454633712768555;25.027723346240734;626.3869358959635
11000;60.042688083648684;16.551172256469727;115.92247009277344;62.70098876953125;25.466340432990194;648.5344950489512
11500;61.20225200653076;15.60804557800293;120.19876098632812;63.31881332397461;26.28995511043056;691.161739708454
12000;63.37613849639892;16.799762725830078;121.74484252929688;65.19184684753418;26.456471388529096;699.9448783320586
12500;64.94231376647949;16.463674545288086;124.37438201904297;67.22193336486816;26.710384567664082;713.4446437525077
13000;66.37427415847779;17.001535415649414;125.63699340820312;67.90205192565918;27.06345362848349;732.4305223010763
13500;68.29946737289428;17.05916976928711;131.83197021484375;70.9112434387207;27.828834623810145;774.4440365193744
14000;69.84109668731689;17.637805938720703;132.64404296875;71.73163223266602;27.994409287121282;783.6869513348623
14500;71.35261507034302;18.344505310058594;134.3264617919922;74.43924713134766;27.97537660561621;782.6216962260587
15000;72.8316614151001;19.74968147277832;136.24462890625;74.91485977172852;28.003717622754984;784.208200694998
15500;74.51955671310425;20.859880447387695;140.45896911621094;75.94576263427734;28.478936734688993;811.0498375384182
16000;75.9919921875;20.891691207885742;143.2636260986328;78.40512084960938;28.87220769861956;833.6043773922268
16500;77.29850778579711;23.38482666015625;146.980712890625;78.60589981079102;29.36136056726405;862.0894943608882
17000;78.64568862915038;23.58327865600586;150.07118225097656;79.8772964477539;29.534920430418918;872.3115248311767
17500;79.68488903045655;21.81293487548828;153.2554931640625;80.15182113647461;29.846927683329202;890.839092133883
18000;80.33826427459717;24.447664260864258;156.19326782226562;80.6597900390625;29.744566787697696;884.7392533878088
18500;81.22579259872437;24.33765983581543;158.45001220703125;80.96230697631836;29.687540618517065;881.3500679761006
19000;82.17600479125977;24.228662490844727;160.97662353515625;81.83623123168945;29.645492978541068;878.8552539407277
19500;83.14084720611572;24.08318328857422;163.5265350341797;81.83378982543945;29.822142489622838;889.3601826713677
