;mean;min;max;median;std;var
2048;73.0629813194275;28.231616973876953;139.2514190673828;66.28836059570312;30.500491061561856;930.2799549964147
4096;70.05710878372193;25.61155128479004;99.10723114013672;66.44913101196289;16.335351119631866;266.843696201658
6144;72.78424377441407;38.87165832519531;95.13156127929688;72.27217483520508;13.67594362581567;187.03143405648825
8192;74.31460361480713;50.84904861450195;97.1326904296875;75.6259994506836;13.045022141296025;170.17260266690352
10240;76.3966220855713;53.112274169921875;107.68553161621094;75.42511367797852;15.563047642560603;242.20845192461115
12288;77.484135055542;55.48103713989258;107.96524047851562;75.61156845092773;13.506634580064045;182.42917767938184
14336;81.65174312591553;57.747318267822266;110.94210052490234;79.80770111083984;14.580295972185981;212.58503063654274
16384;83.34350261688232;57.811241149902344;113.05766296386719;82.54306411743164;14.652947671780495;214.70887547193746
18432;87.3881254196167;57.2872200012207;122.53916931152344;84.47824096679688;15.715091201326624;246.96409146601346
20480;91.57812900543213;60.5510368347168;125.22492980957031;89.31291961669922;16.28067634828056;265.0604223574621
22528;95.97903404235839;66.58329772949219;128.2548065185547;93.79378890991211;16.368573532040234;267.93019947380805
24576;99.01048126220704;71.06959533691406;130.14622497558594;96.93532180786133;16.564052706873284;274.3678420760762
26624;103.27621498107911;75.07584381103516;135.6720428466797;101.78342819213867;17.551998612971932;308.07265530976866
28672;107.49953956604004;77.69288635253906;138.92373657226562;106.88592529296875;18.960208795236134;359.48951755894973
30720;111.97547874450683;77.18207550048828;148.23223876953125;110.70126342773438;21.240916013252807;451.1765130820595
32768;117.16270141601562;80.76038360595703;155.63037109375;118.76159286499023;22.38982042996056;501.3040588858794
34816;123.49504280090332;85.21121978759766;172.1700439453125;122.29205703735352;24.093965591621053;580.5191779302193
36864;130.17526550292968;89.45164489746094;185.64695739746094;128.40296936035156;25.76220206922045;663.6910554553464
38912;136.7074287414551;97.02700805664062;194.3746337890625;134.23592376708984;27.34760242339096;747.891358307859
40960;143.47154846191407;98.98208618164062;205.94337463378906;141.8092498779297;29.116505456648028;847.7708900070145
43008;152.9500026702881;106.33444213867188;222.3914337158203;149.48863220214844;32.023701438249944;1025.5174538061715
45056;161.36300773620604;109.97589111328125;234.53700256347656;158.80763244628906;34.55384411769185;1193.9681433097478
47104;171.56896171569824;120.10736083984375;249.09616088867188;167.99304962158203;35.87654718623924;1287.1266380064508
49152;180.8365737915039;125.73219299316406;259.7784423828125;180.49993133544922;37.879075595737234;1434.8243679875764
51200;192.98024520874023;133.5602569580078;276.8479919433594;191.7267608642578;40.31207476193874;1625.0633716121383
53248;208.59207763671876;142.78009033203125;298.6417541503906;208.4715576171875;44.34857568719852;1966.7961654831754
55296;225.49888305664064;152.30398559570312;321.1440734863281;227.32119750976562;48.26793726079671;2329.7937674122068
57344;243.06416854858398;161.20260620117188;347.458740234375;242.68199920654297;52.53489331307684;2759.9150154163663
59392;261.8537879943848;172.7894744873047;372.8287048339844;263.3169403076172;56.724548576975856;3217.6744112616934
61440;281.8981536865234;186.2709503173828;399.8248291015625;285.18431091308594;61.05736747052517;3728.0021224307457
63488;302.7360580444336;197.95913696289062;430.39642333984375;306.7177734375;65.38656000835084;4275.402229725665
65536;329.4573501586914;214.69540405273438;471.49560546875;332.88902282714844;70.94012677900108;5032.501587420746
67584;352.4013641357422;226.34768676757812;506.2942810058594;355.8482208251953;75.47371296335729;5696.281348475246
69632;375.44557495117186;240.03916931152344;538.7942504882812;379.9393005371094;79.77691606280828;6364.356336492359
71680;400.84934005737307;252.46351623535156;570.5289306640625;404.7696533203125;83.83706576299423;7028.653595748619
73728;426.209782409668;266.1869812011719;601.9163818359375;432.2363739013672;88.08398324485886;7758.788104280575
75776;451.9571502685547;283.8786926269531;638.8858642578125;457.0712890625;91.26827028084533;8329.897160057435
77824;478.98241271972654;297.21746826171875;676.7568359375;483.7886962890625;95.179706846859;9059.176595454019
79872;505.792658996582;312.31201171875;705.16796875;511.1522674560547;97.02975586971839;9414.773524137148
81920;534.5200790405273;327.4362487792969;744.1046752929688;539.5191040039062;100.94535796886483;10189.965295462262
83968;561.3573562622071;341.0675354003906;777.638427734375;569.4107360839844;104.33718007658615;10886.247146333966
86016;597.2705993652344;359.9058532714844;821.1480712890625;609.4779052734375;106.98932255064103;11446.715139845106
88064;625.6126281738282;377.0267639160156;857.2139892578125;637.3403015136719;110.35440902872804;12178.095592079813
90112;654.4441558837891;394.9692687988281;889.9347534179688;666.4798889160156;112.90878172053095;12748.392989614505
92160;683.8271194458008;415.56524658203125;923.3132934570312;693.2130126953125;115.01239043006407;13227.849952437493
94208;712.0255950927734;435.100341796875;952.5966186523438;721.2869262695312;117.47799016856641;13801.078174045784
96256;739.4021057128906;453.79168701171875;982.4780883789062;744.6371765136719;119.65824996893761;14318.096785628757
98304;767.8513259887695;475.0704040527344;1014.5192260742188;773.21875;121.88202324190841;14855.227589541104
100352;795.44853515625;498.79693603515625;1046.0943603515625;800.0289916992188;123.4608481611128;15242.58102866135
