;mean;min;max;median;std;var
2048;75.58293361663819;19.60126304626465;134.3356170654297;75.84555435180664;29.718948920429987;883.2159249351267
4096;78.32346363067627;33.14640426635742;115.52882385253906;81.4078140258789;19.7216115073977;388.94196044872143
6144;83.72679500579834;50.57652282714844;107.45330047607422;87.5578498840332;15.429383297494745;238.0658689410098
8192;88.63027820587158;59.89510726928711;114.34306335449219;95.52934646606445;16.439200510512197;270.2473134248245
10240;94.11675453186035;67.59857940673828;133.024169921875;98.7507095336914;16.92487756366705;286.45148054512026
12288;100.65878944396972;71.19866180419922;146.72486877441406;101.97018814086914;18.71495869185693;350.24967883791123
14336;110.05261993408203;80.03148651123047;148.51866149902344;109.67821502685547;18.942059387012456;358.80161382110674
16384;117.52433166503906;85.71729278564453;159.76795959472656;117.65270233154297;20.40160968023195;416.22567754453394
18432;126.452099609375;92.97391510009766;172.8387451171875;123.87833404541016;22.300446945984717;497.30993399067904
20480;136.43858032226564;98.51166534423828;186.56932067871094;134.05638885498047;23.489416671294972;551.7526955577102
22528;149.6197593688965;108.00531005859375;204.65037536621094;148.81857299804688;24.73391918083401;611.7667580440286
24576;160.95861778259277;124.33549499511719;221.04539489746094;161.84581756591797;26.0288012296898;677.4984934547012
26624;171.6860809326172;128.50526428222656;233.9265899658203;172.2332992553711;26.971927178908366;727.4848557443358
28672;182.5103401184082;144.05104064941406;244.6868133544922;185.02454376220703;26.524622910797618;703.5556205600099
30720;193.6682228088379;149.8528594970703;258.1849670410156;196.08477020263672;28.302852400957388;801.0514540303794
32768;206.77393035888673;166.0936279296875;271.6800537109375;205.34114837646484;29.112090349383315;847.5138045106572
34816;220.65149459838867;172.8895721435547;285.38677978515625;220.87045288085938;30.49532443059588;929.9648121272978
36864;233.72655181884767;182.11671447753906;305.84320068359375;232.62799835205078;32.6063425497893;1063.1735744742
38912;247.14404373168946;189.0403289794922;322.8761291503906;246.60012817382812;34.192877186695455;1169.1528503044383
40960;260.7420425415039;201.5889892578125;336.7206115722656;258.05474853515625;35.08295410986771;1230.8136690750835
43008;278.71370162963865;219.51426696777344;354.787841796875;275.4150085449219;36.20846624876981;1311.0530280883022
45056;293.5557273864746;232.11956787109375;375.26641845703125;286.9349822998047;37.47908101098775;1404.6815134281824
47104;308.5592788696289;246.0670166015625;392.3226318359375;299.9659729003906;38.223224211720826;1461.0148691394809
49152;324.19183044433595;264.0948791503906;408.1627502441406;314.298828125;39.16742627640922;1534.0872811179515
51200;345.13916931152346;282.36590576171875;433.7424621582031;335.6398468017578;40.84129629919283;1668.0114833984615
53248;372.4071670532227;308.2862854003906;466.1169738769531;363.8012390136719;43.38372240100313;1882.1473693673008
55296;400.59479064941405;335.4647216796875;495.2373046875;390.82672119140625;45.18704345920841;2041.8688965843896
57344;429.33923797607423;360.4045715332031;529.2980346679688;419.30194091796875;47.28547509807406;2235.916155250582
59392;460.8300216674805;389.5953063964844;560.823486328125;449.1656799316406;48.5934691258711;2361.325241686988
61440;491.4393112182617;414.7476501464844;592.2080688476562;482.2551574707031;50.45370988584637;2545.5768412451516
63488;522.3568313598632;439.58001708984375;621.8233032226562;514.2421875;51.70807174392474;2673.7246834748685
65536;561.3448791503906;467.18426513671875;667.3718872070312;556.156005859375;54.489145583088586;2969.0669863750227
67584;593.2070785522461;491.6830749511719;703.14697265625;589.4118957519531;55.986087003026356;3134.4419379104365
69632;624.507958984375;517.41064453125;737.4805908203125;620.084228515625;57.57913345846244;3315.3566098274287
71680;655.9498809814453;541.7213745117188;771.5781860351562;656.5654296875;59.32646928071024;3519.6299573150563
73728;686.7907745361329;565.9395141601562;794.9606323242188;685.5497131347656;59.98154750846843;3597.786041510655
75776;718.569613647461;590.70068359375;835.1754150390625;716.34716796875;62.31049596784083;3882.5979077583083
77824;750.0204528808594;618.2205200195312;871.8350830078125;751.4649963378906;65.24934120895556;4257.476528202706
79872;781.2467803955078;646.69580078125;903.8458862304688;784.697265625;66.86266192073971;4470.615559127135
81920;811.2998626708984;672.8878173828125;934.8363647460938;816.7281188964844;67.00702744722251;4489.941727312832
83968;839.7048156738281;695.83251953125;965.1563720703125;844.2312927246094;68.39120721650654;4677.357224531136
86016;873.813021850586;726.946533203125;999.897216796875;880.1426391601562;69.20390765687732;4789.180834981604
88064;900.9118469238281;749.7666015625;1026.0081787109375;910.4527282714844;70.08280589010917;4911.59968143072
90112;927.3440856933594;772.80322265625;1056.6605224609375;940.1591796875;71.38485231105031;5095.7971394704655
92160;952.3272033691406;801.5269775390625;1083.85693359375;965.8701477050781;71.65082078643907;5133.8401193704085
94208;975.0110107421875;820.4388427734375;1107.6898193359375;994.0422973632812;72.38270269934843;5239.255650062262
96256;996.7371154785156;838.7665405273438;1125.721435546875;1019.0382995605469;72.68150117395757;5282.600612899996
98304;1018.4065734863282;858.8739624023438;1147.860107421875;1040.8223266601562;73.61371204714756;5418.978601360358
100352;1037.612728881836;878.3069458007812;1164.9285888671875;1056.4053344726562;73.08992012404717;5342.136423739596
