;mean;min;max;median;std;var
2048;83.99861917495727;30.86100196838379;146.06533813476562;81.27638626098633;29.645234113430377;878.839905640096
4096;97.28053016662598;67.95376586914062;141.22445678710938;93.92076110839844;22.583068351911937;509.99497618712655
6144;107.85506134033203;85.80602264404297;139.73216247558594;101.75248336791992;16.21788041598486;263.01964518718535
8192;122.53385047912597;90.07300567626953;160.45843505859375;120.86641693115234;19.386024215236368;375.81793487373085
10240;137.22135238647462;97.7212905883789;174.8521270751953;136.07061767578125;22.547822337579852;508.4042921670649
12288;152.8341091156006;119.5903549194336;195.1636962890625;146.65492248535156;22.325358613536938;498.42163722302803
14336;169.11220703125;132.809326171875;207.62696838378906;167.48555755615234;22.29956674254835;497.2706769053684
16384;184.3409523010254;143.8793182373047;225.4878692626953;182.94782257080078;22.567292944177773;509.2827108283359
18432;199.8193817138672;161.19924926757812;238.49266052246094;199.34552764892578;21.046361148927353;442.94931761107875
20480;215.7753875732422;178.39881896972656;257.72113037109375;213.62889099121094;22.99421183441689;528.7337778860377
22528;235.3867919921875;194.02774047851562;283.93609619140625;233.77838134765625;23.99273409434389;575.6512893218918
24576;251.38138122558593;208.88406372070312;303.3924560546875;250.2150421142578;23.987630392460073;575.4064118452742
26624;266.1427406311035;227.8156280517578;320.3088073730469;265.8939971923828;23.928360647193585;572.5664432621627
28672;281.557088470459;241.99790954589844;334.33026123046875;282.8923797607422;23.553577260366687;554.7710017600626
30720;296.2390441894531;254.4962158203125;350.51177978515625;297.91680908203125;24.076528406959604;579.6792201311328
32768;311.4521682739258;273.5938720703125;364.7145080566406;310.02154541015625;25.11762094502313;630.8948819378646
34816;326.05460968017576;286.2295227050781;379.92144775390625;325.66949462890625;26.247057818910147;688.9080441492122
36864;341.11409454345704;299.85723876953125;395.8074035644531;339.86183166503906;27.021514654884076;730.1622542441148
38912;355.8899917602539;314.35308837890625;411.80242919921875;352.0834655761719;27.492742157462718;755.8508713367279
40960;370.46582489013673;328.0680236816406;426.56671142578125;367.5868225097656;27.299708197687515;745.2740676788869
43008;387.5329986572266;346.0171203613281;446.859375;386.2806854248047;28.292655243552915;800.4743407305423
45056;401.75506896972655;358.26129150390625;461.78729248046875;400.8495178222656;28.80641478544633;829.8095327911808
47104;416.22699279785155;370.979736328125;476.85821533203125;416.96836853027344;29.371141584664574;862.6639579864126
49152;429.75406951904296;386.97210693359375;492.81060791015625;428.2229309082031;29.617460463772847;877.1939643231477
51200;450.44630737304686;407.2478942871094;512.9013671875;446.25669860839844;30.443208463612265;926.7889415589534
53248;478.17904510498045;429.8477783203125;543.9363403320312;473.77415466308594;32.23339756900609;1038.9919188416075
55296;506.4846710205078;454.9513244628906;574.3364868164062;502.6015167236328;34.737613666573374;1206.7018032481053
57344;533.8271057128907;480.7247619628906;601.11962890625;527.49365234375;36.38581090835989;1323.9272354589218
59392;561.1094833374024;504.3580322265625;628.4199829101562;552.4825134277344;38.07854025677835;1449.9752280870898
61440;588.3031433105468;531.1983032226562;653.162841796875;580.2656555175781;39.4325425126028;1554.9254090082272
63488;614.146826171875;554.5866088867188;679.7217407226562;606.7568054199219;40.86796253586636;1670.1903618329766
65536;645.5632049560547;579.548583984375;713.5913696289062;639.5074462890625;44.11919434510284;1946.5033096609545
67584;670.9040649414062;599.0662231445312;742.3739013671875;663.0406188964844;46.26257627111881;2140.225963241085
69632;695.4099884033203;622.0194091796875;769.0774536132812;688.9462280273438;46.652289661191;2176.4361306316687
71680;719.3619659423828;646.19970703125;798.8428955078125;714.1266479492188;48.173167869067015;2320.6541025413107
73728;742.6563568115234;665.7760620117188;826.4055786132812;738.90283203125;49.35918424570322;2436.329069401277
75776;766.705209350586;686.0487060546875;849.841796875;766.1844787597656;51.34304497601849;2636.1082674094573
77824;790.6919372558593;707.8779296875;875.100341796875;786.7376403808594;53.26201387751017;2836.8421222880856
79872;813.2880187988281;730.6751708984375;902.2252807617188;810.8274841308594;54.32478132330672;2951.181865825095
81920;835.8919006347656;752.4274291992188;924.4530639648438;838.1489868164062;54.1304143082695;2930.1017531849075
83968;858.1184478759766;774.6343994140625;946.3151245117188;860.6961669921875;55.16043753842738;3042.6738694307487
86016;884.3176574707031;793.7138671875;977.4840698242188;890.4927673339844;57.17496321530905;3268.976418671943
88064;904.5946319580078;810.3616943359375;998.4190063476562;913.9202575683594;58.58275990884935;3431.9397585378865
90112;924.5105834960938;824.0861206054688;1018.7818603515625;937.5910949707031;59.864607024782956;3583.7711742316924
92160;944.9599060058594;843.9276733398438;1043.9761962890625;961.6888122558594;60.86219286829914;3704.2065207380424
94208;964.0732391357421;857.3856811523438;1063.5087890625;979.3196105957031;61.314440021281634;3759.4605551233426
96256;983.3485626220703;874.877685546875;1083.1370849609375;1000.1631469726562;62.274698083705644;3878.1380214166916
98304;1002.0665161132813;892.9407348632812;1102.3919677734375;1018.2559509277344;63.99521871446458;4095.388018312157
100352;1020.4434295654297;907.8358764648438;1123.3865966796875;1036.3244018554688;64.38343931468681;4145.227257987959
