Wall time,Step,Value
1741305029.977619,500,29.557838439941406
1741305029.979575,1000,23.52189826965332
1741305029.981632,1500,25.90670394897461
1741305029.983654,2000,29.450048446655273
1741305029.985683,2500,30.64891242980957
1741305029.987639,3000,32.43335723876953
1741305029.989584,3500,34.604217529296875
1741305029.99165,4000,37.79571533203125
1741305029.993639,4500,41.09307861328125
1741305029.99558,5000,43.25193786621094
1741305029.99763,5500,45.48239517211914
1741305029.999531,6000,47.456756591796875
1741305030.001562,6500,49.0606689453125
1741305030.003612,7000,50.60588455200195
1741305030.005645,7500,52.335941314697266
1741305030.007835,8000,53.421875
1741305030.009574,8500,54.43976974487305
1741305030.011685,9000,55.45840072631836
1741305030.013659,9500,56.60439682006836
1741305030.015584,10000,57.77801513671875
1741305030.017842,10500,59.00629806518555
1741305030.019687,11000,60.08241271972656
1741305030.021721,11500,61.26186752319336
1741305030.023641,12000,62.479827880859375
1741305030.025744,12500,63.439613342285156
1741305030.027655,13000,64.6033935546875
1741305030.029649,13500,65.44194030761719
1741305030.031605,14000,66.51155090332031
1741305030.033604,14500,67.59925842285156
1741305030.035636,15000,68.65082550048828
1741305030.038006,15500,69.74562072753906
1741305030.041712,16000,70.46724700927734
1741305030.043541,16500,71.3731460571289
1741305030.045603,17000,72.05973815917969
1741305030.047608,17500,73.04342651367188
1741305030.049638,18000,73.75090026855469
1741305030.051584,18500,74.6934814453125
1741305030.053661,19000,75.51484680175781
1741305030.055665,19500,76.38745880126953
1741305030.057588,20000,77.26002502441406
1741305030.059635,20500,78.04694366455078
1741305030.061536,21000,79.02279663085938
1741305030.063575,21500,79.9013442993164
1741305030.065588,22000,80.51250457763672
1741305030.067649,22500,80.84512329101562
1741305030.069584,23000,81.37728881835938
1741305030.071618,23500,81.57881164550781
1741305030.073693,24000,82.10353088378906
1741305030.075583,24500,82.56586456298828
1741305030.077628,25000,83.07184600830078
1741305030.079523,25500,83.49636840820312
1741305030.0816,26000,83.9246826171875
1741305030.083596,26500,84.36742401123047
1741305030.085667,27000,84.81147766113281
1741305030.087592,27500,85.34618377685547
1741305030.089594,28000,85.75643157958984
1741305030.091635,28500,86.53658294677734
1741305030.093571,29000,87.00347900390625
1741305030.095599,29500,87.64398193359375
1741305030.097618,30000,88.26483154296875
1741305030.099686,30500,88.91931915283203
1741305030.101751,31000,89.44221496582031
1741305030.103546,31500,89.93965911865234
1741305030.105575,32000,90.4953842163086
1741305030.107841,32500,91.06407165527344
1741305030.109583,33000,91.6008071899414
1741305030.111658,33500,92.12906646728516
1741305030.113701,34000,92.7365493774414
1741305030.115703,34500,93.13551330566406
1741305030.117668,35000,93.49500274658203
1741305030.119571,35500,93.83830261230469
1741305030.121636,36000,94.30133819580078
1741305030.123673,36500,94.67057037353516
1741305030.125561,37000,95.28553009033203
1741305030.127628,37500,95.82035827636719
1741305030.129692,38000,96.37354278564453
1741305030.131634,38500,96.94587707519531
1741305030.133621,39000,97.4637222290039
1741305030.135678,39500,98.02647399902344
1741305030.137617,40000,98.3918228149414
1741305030.139622,40500,98.9336929321289
1741305030.141554,41000,99.40970611572266
1741305030.143681,41500,99.84297943115234
1741305030.145621,42000,100.31946563720703
