Wall time,Step,Value
1741305124.088187,2048,72.10983276367188
1741305124.090378,4096,71.05773162841797
1741305124.09223,6144,73.93972778320312
1741305124.094227,8192,76.01100158691406
1741305124.09622,10240,78.62586975097656
1741305124.098221,12288,80.8674087524414
1741305124.100243,14336,85.09972381591797
1741305124.102155,16384,85.89736938476562
1741305124.104219,18432,89.46347045898438
1741305124.106242,20480,93.36869049072266
1741305124.108139,22528,99.45026397705078
1741305124.110198,24576,105.5864486694336
1741305124.112207,26624,112.03983306884766
1741305124.114208,28672,118.7137680053711
1741305124.11629,30720,127.16043090820312
1741305124.118288,32768,134.85214233398438
1741305124.120165,34816,144.38502502441406
1741305124.122197,36864,154.5047607421875
1741305124.124279,38912,164.1322784423828
1741305124.126177,40960,174.77053833007812
1741305124.128315,43008,187.83657836914062
1741305124.130256,45056,199.74771118164062
1741305124.132207,47104,212.709228515625
1741305124.134237,49152,225.11935424804688
1741305124.136161,51200,242.1627197265625
1741305124.138293,53248,263.9823303222656
1741305124.14025,55296,286.85595703125
1741305124.142166,57344,312.17242431640625
1741305124.144257,59392,338.4231262207031
1741305124.146282,61440,365.65771484375
1741305124.148181,63488,394.2076416015625
1741305124.150305,65536,432.9033508300781
1741305124.152238,67584,464.76165771484375
1741305124.154223,69632,497.84100341796875
1741305124.156247,71680,531.0703735351562
1741305124.158206,73728,565.042236328125
1741305124.160253,75776,599.8739013671875
1741305124.162262,77824,635.4605102539062
1741305124.164169,79872,671.3448486328125
1741305124.166258,81920,706.5771484375
1741305124.168142,83968,741.1358642578125
1741305124.170156,86016,783.171875
1741305124.172262,88064,817.3494262695312
1741305124.174263,90112,849.9182739257812
1741305124.176234,92160,881.6815185546875
1741305124.178239,94208,909.7633056640625
1741305124.180397,96256,936.3355102539062
1741305124.182261,98304,959.7246704101562
1741305124.184248,100352,980.8646850585938
