Wall time,Step,Value
1741305748.688764,2048,75.58293151855469
1741305748.690794,4096,78.3234634399414
1741305748.692709,6144,83.72679138183594
1741305748.694777,8192,88.63027954101562
1741305748.69681,10240,94.11675262451172
1741305748.698707,12288,100.6587905883789
1741305748.700759,14336,110.05261993408203
1741305748.702824,16384,117.52433013916016
1741305748.704736,18432,126.45210266113281
1741305748.706761,20480,136.43858337402344
1741305748.708844,22528,149.61976623535156
1741305748.710724,24576,160.9586181640625
1741305748.712792,26624,171.6860809326172
1741305748.714685,28672,182.51034545898438
1741305748.716722,30720,193.66822814941406
1741305748.718773,32768,206.77392578125
1741305748.720817,34816,220.6514892578125
1741305748.722721,36864,233.72654724121094
1741305748.724778,38912,247.14404296875
1741305748.72679,40960,260.7420349121094
1741305748.736444,43008,278.7137145996094
1741305748.738841,45056,293.55572509765625
1741305748.740818,47104,308.55926513671875
1741305748.742804,49152,324.19183349609375
1741305748.744796,51200,345.13916015625
1741305748.746707,53248,372.40716552734375
1741305748.748771,55296,400.59478759765625
1741305748.750778,57344,429.3392333984375
1741305748.75275,59392,460.83001708984375
1741305748.754744,61440,491.4393005371094
1741305748.756782,63488,522.3568115234375
1741305748.758734,65536,561.3448486328125
1741305748.760716,67584,593.2070922851562
1741305748.762751,69632,624.5079345703125
1741305748.764815,71680,655.9498901367188
1741305748.766712,73728,686.790771484375
1741305748.768818,75776,718.5696411132812
1741305748.770826,77824,750.0204467773438
1741305748.772861,79872,781.2467651367188
1741305748.774818,81920,811.2998657226562
1741305748.776823,83968,839.704833984375
1741305748.778828,86016,873.8130493164062
1741305748.780742,88064,900.911865234375
1741305748.782748,90112,927.3441162109375
1741305748.78476,92160,952.3272094726562
1741305748.786826,94208,975.010986328125
1741305748.78874,96256,996.7371215820312
1741305748.790768,98304,1018.4065551757812
1741305748.792824,100352,1037.6126708984375
