Wall time,Step,Value
1741306089.25519,2048,83.99861907958984
1741306089.257268,4096,97.28053283691406
1741306089.259194,6144,107.85506439208984
1741306089.261174,8192,122.53385162353516
1741306089.263287,10240,137.2213592529297
1741306089.265151,12288,152.8341064453125
1741306089.267208,14336,169.11221313476562
1741306089.269312,16384,184.34095764160156
1741306089.271205,18432,199.8193817138672
1741306089.27321,20480,215.775390625
1741306089.275183,22528,235.3867950439453
1741306089.27723,24576,251.38137817382812
1741306089.279329,26624,266.1427307128906
1741306089.281231,28672,281.5570983886719
1741306089.283229,30720,296.2390441894531
1741306089.285265,32768,311.4521789550781
1741306089.287186,34816,326.0545959472656
1741306089.289189,36864,341.1141052246094
1741306089.29131,38912,355.8899841308594
1741306089.293183,40960,370.4658203125
1741306089.295218,43008,387.5329895019531
1741306089.297508,45056,401.75506591796875
1741306089.299297,47104,416.22698974609375
1741306089.301145,49152,429.7540588378906
1741306089.303247,51200,450.4463195800781
1741306089.305264,53248,478.1790466308594
1741306089.307195,55296,506.48468017578125
1741306089.309297,57344,533.8270874023438
1741306089.311323,59392,561.1094970703125
1741306089.313317,61440,588.3031616210938
1741306089.315265,63488,614.1468505859375
1741306089.3172,65536,645.563232421875
1741306089.31932,67584,670.904052734375
1741306089.32121,69632,695.4099731445312
1741306089.323236,71680,719.3619384765625
1741306089.32544,73728,742.6563720703125
1741306089.327357,75776,766.7052001953125
1741306089.329221,77824,790.6919555664062
1741306089.331258,79872,813.2880249023438
1741306089.333458,81920,835.8919067382812
1741306089.335242,83968,858.1184692382812
1741306089.337269,86016,884.317626953125
1741306089.339228,88064,904.5946044921875
1741306089.341294,90112,924.5105590820312
1741306089.344676,92160,944.9598999023438
1741306089.347393,94208,964.0732421875
1741306089.34939,96256,983.3485717773438
1741306089.351287,98304,1002.0665283203125
1741306089.353355,100352,1020.4434204101562
