;mean;min;max;median;std;var
500;556.15;472.0;622.0;563.0;36.824278675895336;1356.0275
1000;567.25;483.0;622.0;565.5;34.09527093307809;1162.4875
1500;567.7;490.0;620.0;565.0;30.478024870388175;928.9100000000001
2000;564.3;491.0;613.0;564.5;27.792265110998056;772.4099999999999
2500;563.1;499.0;615.0;559.5;26.17613416836031;685.1900000000002
3000;562.8;503.0;616.0;561.0;25.713031715455106;661.1600000000001
3500;562.8;505.0;616.0;563.0;24.453220646777797;597.96
4000;562.9;511.0;611.0;565.0;22.842723130134903;521.7900000000001
4500;564.3;516.0;615.0;566.5;22.921823662178365;525.4100000000001
5000;565.1;521.0;611.0;566.0;22.162806681465234;491.19000000000005
5500;566.7;526.0;610.0;570.0;21.829109006095507;476.51000000000005
6000;567.55;528.0;607.0;571.5;22.227179308225324;494.0475
6500;568.35;531.0;602.0;571.5;21.31730517678067;454.42750000000007
7000;569.1;530.0;600.0;573.5;21.619204425695226;467.39000000000004
7500;569.45;530.0;599.0;576.0;21.244940574169654;451.3475
8000;569.35;531.0;601.0;574.5;20.995892455430422;440.82750000000004
8500;569.15;531.0;603.0;573.5;20.86929562778773;435.52750000000003
9000;568.55;530.0;603.0;572.5;20.357983691908196;414.44750000000005
9500;568.15;530.0;602.0;572.0;20.246666392273074;409.92749999999995
10000;567.65;530.0;600.0;573.0;19.850125944184835;394.0275
10500;567.25;529.0;600.0;573.5;19.992185973524755;399.6875
11000;567.1;530.0;599.0;574.0;19.77093826807418;390.89000000000004
11500;567.15;530.0;597.0;575.0;19.645037541323255;385.92750000000007
12000;567.1;530.0;597.0;574.5;19.982242116439284;399.28999999999996
12500;566.95;526.0;595.0;575.0;20.34815716471641;414.04749999999984
13000;567.3;524.0;594.0;575.5;20.736682473336952;430.00999999999993
13500;567.35;523.0;596.0;576.0;21.09567491217098;445.02750000000015
14000;567.75;524.0;597.0;576.5;21.238820588723847;451.0875
14500;567.85;525.0;598.0;575.5;21.429594023219387;459.2275000000001
15000;568.0;526.0;599.0;575.0;21.40560674215987;458.2
15500;568.05;527.0;599.0;574.5;21.2778640845363;452.74749999999983
16000;567.7;527.0;598.0;573.0;20.926299242818832;437.90999999999997
16500;567.6;528.0;597.0;573.0;20.582516852902128;423.64000000000004
17000;567.95;528.0;597.0;573.0;20.5462283643495;422.1474999999999
17500;567.85;529.0;597.0;573.0;20.182356155810947;407.3275
18000;567.75;530.0;596.0;573.0;19.71008625044548;388.4875
18500;567.7;530.0;595.0;574.0;19.43733520830466;377.81
19000;567.6;530.0;594.0;573.0;19.340113753543438;374.0400000000001
19500;567.6;530.0;594.0;573.0;19.47151766041877;379.14
20000;567.35;530.0;594.0;571.5;19.437785367680135;377.8275
20500;567.2;530.0;594.0;570.5;19.699238563964855;388.06000000000006
