;mean;min;max;median;std;var
500;-4.240009713172912;-4.302762985229492;-4.200078010559082;-4.2365617752075195;0.025887910849597132;0.0006701839281566889
1000;-4.2298348903656;-4.273385047912598;-4.1959428787231445;-4.235582113265991;0.025613361176827235;0.0006560442707746006
1500;-4.223053455352783;-4.27547550201416;-4.172782897949219;-4.22902250289917;0.02617736253375495;0.0006852543092236374
2000;-4.214508581161499;-4.270456790924072;-4.146483898162842;-4.22343111038208;0.030414767471344077;0.0009250580803359298
2500;-4.208159041404724;-4.277681350708008;-4.112084865570068;-4.2060182094573975;0.033103981089090156;0.0010958735639468387
3000;-4.195876240730286;-4.272985458374023;-4.08723258972168;-4.202035188674927;0.03847842741126377;0.0014805893760438948
3500;-4.187936401367187;-4.294137001037598;-4.069474220275879;-4.1905694007873535;0.045169047449321105;0.0020402428474790213
4000;-4.17879056930542;-4.299600601196289;-4.049875259399414;-4.178910493850708;0.052415682097056854;0.0027474037296997267
4500;-4.167513012886047;-4.325316905975342;-4.023908615112305;-4.175823450088501;0.06198788107197557;0.0038424973997933875
5000;-4.1552428841590885;-4.31313419342041;-3.9945008754730225;-4.162482261657715;0.06960013631451314;0.004844178974998812
5500;-4.150098371505737;-4.332067489624023;-3.9950428009033203;-4.14693808555603;0.07636235958334583;0.00583120996113621
6000;-4.1434630990028385;-4.33287239074707;-3.9904916286468506;-4.144032955169678;0.08048451834285911;0.006477757692882023
6500;-4.134531247615814;-4.354297637939453;-3.974363088607788;-4.119073867797852;0.08516244110812927;0.0072526413754955875
7000;-4.1264138460159305;-4.387261390686035;-3.951618194580078;-4.126282215118408;0.09522086859000624;0.009067013815035236
7500;-4.118482887744904;-4.3791351318359375;-3.956202745437622;-4.125595331192017;0.09359192371392917;0.00875944818447394
8000;-4.106943643093109;-4.375773906707764;-3.9337379932403564;-4.121491193771362;0.09684880013411787;0.00937969008741831
8500;-4.0976089358329775;-4.383907318115234;-3.923593282699585;-4.122410774230957;0.10063772917220118;0.010127952532937311
9000;-4.087144148349762;-4.387402534484863;-3.921283006668091;-4.1025612354278564;0.10564280788766954;0.011160402858391054
9500;-4.083164954185486;-4.402751922607422;-3.93186354637146;-4.089128255844116;0.11128805968943666;0.012385032229439616
10000;-4.074814105033875;-4.416207313537598;-3.9116992950439453;-4.071276664733887;0.11663987020395797;0.01360485932119616
10500;-4.068866777420044;-4.411288738250732;-3.9102463722229004;-4.064476490020752;0.12039233645719888;0.014494314677623379
11000;-4.059603297710419;-4.422187805175781;-3.8970165252685547;-4.047474145889282;0.12409293194596857;0.015399055758946786
11500;-4.054017126560211;-4.439151763916016;-3.8914382457733154;-4.046337604522705;0.13163701158161964;0.017328302818139463
12000;-4.047168123722076;-4.423511028289795;-3.8866450786590576;-4.031434535980225;0.13023744595893147;0.016961792329905592
12500;-4.042922866344452;-4.423890590667725;-3.879215955734253;-4.04078483581543;0.1343661490356222;0.018054262006663036
13000;-4.04028103351593;-4.419023513793945;-3.8552086353302;-4.037526607513428;0.138022490432372;0.01905020786515422
13500;-4.03486260175705;-4.415699005126953;-3.8565616607666016;-4.02170467376709;0.1415176458611453;0.020027244090080533
14000;-4.031708502769471;-4.417163372039795;-3.8505654335021973;-4.009066939353943;0.13982744646651948;0.019551714785347372
14500;-4.028237402439117;-4.4308624267578125;-3.841831922531128;-3.996492385864258;0.14500593557112745;0.02102672135085797
15000;-4.0213129878044125;-4.445433139801025;-3.823617935180664;-3.9873441457748413;0.14796106353475957;0.02189247632233716
15500;-4.012713253498077;-4.444016933441162;-3.8229119777679443;-3.992117762565613;0.14797157372644254;0.021895586631080023
16000;-4.009775876998901;-4.437110424041748;-3.8211510181427;-3.995223641395569;0.14866002341977233;0.022099802563167258
16500;-4.003997695446015;-4.4401774406433105;-3.8191399574279785;-3.9977954626083374;0.14908757322526436;0.022227104490198567
17000;-4.00290139913559;-4.479977607727051;-3.8012635707855225;-4.007942795753479;0.15657895632278754;0.02451696956313341
17500;-3.9998148798942568;-4.4718852043151855;-3.7997875213623047;-4.003592133522034;0.1593614879024463;0.025396083826481543
18000;-3.9940802454948425;-4.472942352294922;-3.7831764221191406;-3.994986414909363;0.16496275415318656;0.027212710257804675
18500;-3.986120808124542;-4.480749607086182;-3.7753713130950928;-3.987017512321472;0.17141263690525435;0.029382292090812567
19000;-3.9825428247451784;-4.47413969039917;-3.7581565380096436;-4.003814101219177;0.1817071807968757;0.03301749955314847
19500;-3.976566028594971;-4.4907402992248535;-3.7357044219970703;-3.992836833000183;0.18561360373140565;0.03445240989015928
20000;-3.9724074959754945;-4.492498874664307;-3.729360580444336;-3.9751209020614624;0.1880543431633056;0.03536443598258231
20500;-3.9643067836761476;-4.488948345184326;-3.7191059589385986;-3.9619263410568237;0.19369827944202908;0.03751902345880239
21000;-3.9584977984428407;-4.479196071624756;-3.7158875465393066;-3.955836772918701;0.19467881109381086;0.03789983948889969
21500;-3.958667004108429;-4.478287696838379;-3.706261396408081;-3.9637311697006226;0.19733499977276828;0.038941102135318456
22000;-3.951972854137421;-4.465335845947266;-3.692828416824341;-3.9593063592910767;0.19621879217076385;0.03850181440095341
