;mean;min;max;median;std;var
2048;500.0;500.0;500.0;500.0;0.0;0.0
4096;500.0;500.0;500.0;500.0;0.0;0.0
6144;500.0;500.0;500.0;500.0;0.0;0.0
8192;500.0;500.0;500.0;500.0;0.0;0.0
10240;500.0;500.0;500.0;500.0;0.0;0.0
12288;500.0;500.0;500.0;500.0;0.0;0.0
14336;500.0;500.0;500.0;500.0;0.0;0.0
16384;500.0;500.0;500.0;500.0;0.0;0.0
18432;500.0;500.0;500.0;500.0;0.0;0.0
20480;500.0;500.0;500.0;500.0;0.0;0.0
22528;500.0;500.0;500.0;500.0;0.0;0.0
24576;500.0;500.0;500.0;500.0;0.0;0.0
26624;500.0;500.0;500.0;500.0;0.0;0.0
28672;500.0;500.0;500.0;500.0;0.0;0.0
30720;500.0;500.0;500.0;500.0;0.0;0.0
32768;500.0;500.0;500.0;500.0;0.0;0.0
34816;500.0;500.0;500.0;500.0;0.0;0.0
36864;500.0;500.0;500.0;500.0;0.0;0.0
38912;500.0;500.0;500.0;500.0;0.0;0.0
40960;500.0;500.0;500.0;500.0;0.0;0.0
43008;500.0;500.0;500.0;500.0;0.0;0.0
45056;500.0;500.0;500.0;500.0;0.0;0.0
47104;500.0;500.0;500.0;500.0;0.0;0.0
49152;500.0;500.0;500.0;500.0;0.0;0.0
51200;500.0;500.0;500.0;500.0;0.0;0.0
53248;500.0;500.0;500.0;500.0;0.0;0.0
55296;500.0;500.0;500.0;500.0;0.0;0.0
57344;500.0;500.0;500.0;500.0;0.0;0.0
59392;500.0;500.0;500.0;500.0;0.0;0.0
61440;500.0;500.0;500.0;500.0;0.0;0.0
63488;500.0;500.0;500.0;500.0;0.0;0.0
65536;500.0;500.0;500.0;500.0;0.0;0.0
67584;500.0;500.0;500.0;500.0;0.0;0.0
69632;500.0;500.0;500.0;500.0;0.0;0.0
71680;500.0;500.0;500.0;500.0;0.0;0.0
73728;500.0;500.0;500.0;500.0;0.0;0.0
75776;500.0;500.0;500.0;500.0;0.0;0.0
77824;500.0;500.0;500.0;500.0;0.0;0.0
79872;500.0;500.0;500.0;500.0;0.0;0.0
81920;500.0;500.0;500.0;500.0;0.0;0.0
83968;500.0;500.0;500.0;500.0;0.0;0.0
86016;500.0;500.0;500.0;500.0;0.0;0.0
88064;500.0;500.0;500.0;500.0;0.0;0.0
90112;500.0;500.0;500.0;500.0;0.0;0.0
92160;500.0;500.0;500.0;500.0;0.0;0.0
94208;500.0;500.0;500.0;500.0;0.0;0.0
96256;500.0;500.0;500.0;500.0;0.0;0.0
98304;500.0;500.0;500.0;500.0;0.0;0.0
100352;500.0;500.0;500.0;500.0;0.0;0.0
