;mean;min;max;median;std;var
2048;901.1;541.0;1085.0;1009.0;195.28002970094;38134.29
4096;708.7;426.0;856.0;806.5;161.90648535497272;26213.71
6144;652.3;397.0;797.0;746.0;151.2174262444643;22866.71
8192;629.6;385.0;777.0;729.5;149.93478582370403;22480.44
10240;616.15;383.0;754.0;716.5;147.99637664483546;21902.9275
12288;607.45;377.0;742.0;706.0;146.8950220395504;21578.1475
14336;601.95;376.0;736.0;700.5;145.9933132030368;21314.0475
16384;597.4;376.0;733.0;697.0;145.0318585690744;21034.239999999998
18432;593.65;374.0;723.0;694.0;144.12955109900255;20773.327499999992
20480;590.6;373.0;713.0;689.5;143.4647691943914;20582.139999999996
22528;588.3;370.0;712.0;687.5;143.57336103887798;20613.31
24576;586.95;370.0;712.0;686.5;143.33857645449112;20545.947499999995
26624;585.7;371.0;711.0;685.0;142.7708303541028;20383.510000000002
28672;584.3;371.0;709.0;683.0;142.42475206227323;20284.81
30720;582.85;372.0;707.0;681.0;142.05642364919655;20180.027500000004
32768;581.6;372.0;704.0;680.5;141.64476693475126;20063.24
34816;579.95;372.0;700.0;679.5;141.35574802603537;19981.447500000002
36864;579.35;371.0;697.0;678.5;140.37815891369996;19706.027500000004
38912;579.25;370.0;696.0;679.0;139.75366721485344;19531.0875
40960;578.8;371.0;694.0;678.0;138.89838012014397;19292.760000000006
43008;578.9;371.0;692.0;677.0;138.4752324424841;19175.39
45056;579.1;372.0;691.0;676.5;138.04814377600303;19057.29
47104;579.25;372.0;692.0;677.0;137.70398505489956;18962.3875
49152;579.35;372.0;693.0;677.5;137.22218297345367;18829.927499999998
51200;579.0;373.0;691.0;677.0;136.6747965061591;18680.0
53248;578.9;373.0;689.0;677.0;136.10947799473774;18525.79
55296;578.55;373.0;690.0;676.0;135.64456310519785;18399.4475
57344;578.55;373.0;692.0;674.5;135.33420668847916;18315.347499999996
59392;578.85;374.0;691.0;674.0;134.93156598809637;18206.527500000004
61440;578.6;374.0;689.0;674.0;134.56425974232533;18107.54
63488;578.6;374.0;688.0;675.0;134.28343159154073;18032.04
65536;578.8;374.0;687.0;674.5;134.22205481961598;18015.559999999998
67584;579.1;375.0;686.0;674.5;134.00817139264308;17958.190000000006
69632;579.35;375.0;685.0;675.0;133.91537439741563;17933.3275
71680;579.4;375.0;685.0;674.0;133.64183476741107;17860.140000000003
73728;579.4;374.0;686.0;673.0;133.57297630883278;17841.74
75776;579.55;373.0;686.0;673.5;133.53069871756082;17830.447500000002
77824;579.65;372.0;686.0;674.5;133.61597022811307;17853.2275
79872;579.5;371.0;687.0;674.0;133.4261968280592;17802.55
81920;579.45;371.0;687.0;673.5;133.22442531307837;17748.747499999998
83968;579.4;371.0;687.0;672.0;132.99563902624777;17687.84
86016;579.6;372.0;687.0;672.0;132.82898780010333;17643.54
88064;579.65;371.0;688.0;672.0;132.7916695429348;17633.627500000002
90112;579.65;371.0;687.0;671.5;132.59836914532548;17582.327500000003
92160;579.9;371.0;687.0;672.0;132.58276660260185;17578.19
94208;580.0;371.0;687.0;672.0;132.5379191024214;17566.3
96256;579.85;371.0;687.0;670.5;132.37381727516964;17522.827500000003
98304;580.0;371.0;686.0;670.5;132.39939576901398;17529.6
100352;579.85;371.0;686.0;669.5;132.38816978869374;17526.627500000002
