;mean;min;max;median;std;var
4096;-4.251726841926574;-4.2713117599487305;-4.224596977233887;-4.252197980880737;0.009538849076542224;9.098964170505043e-05
6144;-4.241814684867859;-4.274954795837402;-4.199023246765137;-4.243571996688843;0.016851129468058987;0.00028396056434928593
8192;-4.232054209709167;-4.264678955078125;-4.186971664428711;-4.230014324188232;0.0190717465295497;0.00036373151568739107
10240;-4.223047733306885;-4.2530436515808105;-4.182438373565674;-4.218875885009766;0.019795798252991704;0.00039187362847314944
12288;-4.214172649383545;-4.249711990356445;-4.179485321044922;-4.212994337081909;0.02062167576269862;0.00042525351126187165
14336;-4.203441476821899;-4.238967418670654;-4.1643290519714355;-4.202818155288696;0.02261923958226941;0.0005116299992801032
16384;-4.193684720993042;-4.243030548095703;-4.148787498474121;-4.19533371925354;0.026954916792717484;0.0007265675393023231
18432;-4.184666442871094;-4.232132434844971;-4.128756046295166;-4.190450191497803;0.03152007374586191;0.0009935150489445732
20480;-4.1758170366287235;-4.2250776290893555;-4.1027913093566895;-4.1853954792022705;0.03529505893316267;0.001245741185095426
22528;-4.167797231674195;-4.216477394104004;-4.0858259201049805;-4.1789915561676025;0.03726677107379319;0.0013888122262665091
24576;-4.157588315010071;-4.214420795440674;-4.069212913513184;-4.1675825119018555;0.03713233207798621;0.001378810085549844
26624;-4.14668116569519;-4.218828201293945;-4.0562543869018555;-4.155951976776123;0.03685749312816094;0.001358474799692431
28672;-4.136678433418274;-4.22155237197876;-4.043024063110352;-4.143925666809082;0.041040507221193255;0.0016843232329728155
30720;-4.124965214729309;-4.220829010009766;-4.029075622558594;-4.138011693954468;0.047603622328573285;0.002266104858801441
32768;-4.111872553825378;-4.215097904205322;-4.004546165466309;-4.112304925918579;0.05157349310552243;0.0026598251911053696
34816;-4.09719432592392;-4.195827484130859;-3.986142873764038;-4.092470407485962;0.05160804653740509;0.0026633904674069698
36864;-4.0835777759552006;-4.181069850921631;-3.962087869644165;-4.07978081703186;0.052203818084467536;0.0027252386225961795
38912;-4.069186639785767;-4.166985034942627;-3.9377074241638184;-4.070917129516602;0.053226147621073826;0.002833022790580343
