;mean;min;max;median;std;var
2048;634.95;469.0;1063.0;566.5;167.7988304488443;28156.447500000002
4096;498.0;385.0;827.0;446.0;138.60447323228786;19211.2
6144;467.15;371.0;754.0;416.0;128.7308335248397;16571.6275
8192;452.35;357.0;732.0;402.5;126.08817351361705;15898.227499999999
10240;444.4;353.0;718.0;395.0;123.89608549102752;15350.24
12288;442.4;348.0;698.0;389.0;121.24825771944106;14701.14
14336;442.15;342.0;690.0;382.5;119.84584890600092;14363.027500000002
16384;437.3;339.0;683.0;386.5;114.1179652815454;13022.91
18432;434.9;336.0;678.0;385.0;111.19752695091739;12364.89
20480;433.4;336.0;677.0;383.5;110.24989795913645;12155.039999999999
22528;431.4;337.0;675.0;382.5;108.89279131329127;11857.640000000001
24576;429.15;339.0;671.0;380.5;108.5418237362907;11781.3275
26624;427.75;338.0;672.0;379.0;109.23592586690516;11932.4875
28672;426.35;337.0;674.0;377.5;109.99103372548146;12098.0275
30720;424.05;336.0;671.0;376.0;109.54472830766436;12000.0475
32768;420.6;334.0;670.0;375.0;106.76535018441142;11398.84
34816;417.25;333.0;672.0;374.0;103.89844801535777;10794.8875
36864;414.35;333.0;673.0;374.0;101.39244301228766;10280.427500000002
38912;412.2;334.0;673.0;373.5;99.26862545638475;9854.259999999998
40960;410.3;335.0;673.0;373.5;97.4392631335028;9494.41
43008;408.45;336.0;672.0;373.5;95.74469959219675;9167.0475
45056;406.8;336.0;673.0;373.5;94.74312639975525;8976.26
47104;405.45;336.0;673.0;372.5;93.82562283299802;8803.2475
49152;404.35;337.0;673.0;371.0;93.3146692648053;8707.6275
51200;403.6;337.0;675.0;370.0;93.17531862032993;8681.640000000001
53248;402.55;338.0;675.0;369.0;92.57779161332377;8570.647500000001
55296;401.7;338.0;674.0;368.5;92.01961747366698;8467.609999999999
57344;400.75;337.0;675.0;369.0;91.88464235115681;8442.7875
59392;399.85;337.0;676.0;369.0;91.89193381358344;8444.127499999999
61440;398.7;336.0;674.0;369.0;91.39644413214336;8353.310000000001
63488;397.75;336.0;674.0;369.0;91.33010182847713;8341.1875
65536;396.7;335.0;674.0;369.0;91.10548830888291;8300.210000000001
67584;396.05;336.0;673.0;369.0;90.68046923125178;8222.9475
69632;395.6;336.0;673.0;369.5;90.53971504262647;8197.44
71680;394.85;336.0;673.0;369.5;90.29633159769004;8153.427499999998
73728;394.25;335.0;673.0;368.5;90.23905750837605;8143.0875
75776;393.55;335.0;672.0;367.5;90.37891070376983;8168.347500000002
77824;392.5;334.0;670.0;367.0;88.80230852855122;7885.85
79872;391.25;333.0;669.0;365.5;87.32690020835504;7625.9875
81920;390.05;333.0;668.0;365.0;85.38997306475744;7291.4475
83968;389.0;333.0;667.0;364.0;83.84509526501833;7030.0
86016;388.1;334.0;666.0;363.0;82.20091240369537;6756.99
88064;387.3;334.0;665.0;362.5;81.12835509240898;6581.810000000002
90112;386.6;333.0;664.0;362.5;80.17443482806723;6427.94
92160;385.65;333.0;663.0;362.0;79.32104071430228;6291.8275
94208;385.15;332.0;662.0;362.0;78.46417972552825;6156.6275
96256;384.65;332.0;661.0;361.5;77.49404815855215;6005.3275
98304;384.2;333.0;660.0;361.0;76.69328523410638;5881.860000000001
100352;383.75;333.0;659.0;361.0;75.99860196082557;5775.7875
