;mean;min;max;median;std;var
500;-4.241132044792176;-4.311069488525391;-4.193754196166992;-4.2366108894348145;0.02694945181174867;0.0007262729529537638
1000;-4.231631946563721;-4.286430358886719;-4.196995735168457;-4.2253944873809814;0.02685090482629214;0.0007209710899905986
1500;-4.224063682556152;-4.274980545043945;-4.185393810272217;-4.219897508621216;0.02367484713454981;0.0005604983868443014
2000;-4.2151062965393065;-4.285139560699463;-4.177577972412109;-4.213017702102661;0.028462857317576504;0.0008101342466807183
2500;-4.212260985374451;-4.279224395751953;-4.167062759399414;-4.213676691055298;0.03018756983322469;0.0009112893724358175
3000;-4.207049322128296;-4.2876482009887695;-4.1458964347839355;-4.200518608093262;0.03426513786722632;0.001174099673060027
3500;-4.198679113388062;-4.279838562011719;-4.145540237426758;-4.193085432052612;0.0362559905545792;0.001314496851093736
4000;-4.191899514198303;-4.291741847991943;-4.119087219238281;-4.190358877182007;0.04564247402773353;0.0020832354353723303
4500;-4.184778308868408;-4.295875072479248;-4.100303649902344;-4.1793272495269775;0.04662813812331306;0.0021741832648467605
5000;-4.177080488204956;-4.309179782867432;-4.078244209289551;-4.1684324741363525;0.054137144556237284;0.0029308304207029323
5500;-4.173804426193238;-4.312718391418457;-4.072680950164795;-4.155241250991821;0.05937999981616902;0.003525984378168232
6000;-4.164039206504822;-4.305879592895508;-4.079473495483398;-4.146245718002319;0.06228878130349229;0.00387989227627429
6500;-4.1615088939666744;-4.303168773651123;-4.063777446746826;-4.145751714706421;0.06255058517440426;0.003912575705660401
7000;-4.157559490203857;-4.312819957733154;-4.044414520263672;-4.144978761672974;0.06591209677171306;0.0043444045008436665
7500;-4.150101828575134;-4.332433700561523;-4.030256748199463;-4.127137660980225;0.06898986113472826;0.004759600939389089
8000;-4.14476969242096;-4.3504557609558105;-4.026908874511719;-4.136176824569702;0.0718977037541836;0.005169279805124346
8500;-4.1360035061836244;-4.344429016113281;-3.9999001026153564;-4.127301931381226;0.0732330560839279;0.0053630805033917294
9000;-4.125150620937347;-4.331553936004639;-3.983419179916382;-4.102053880691528;0.08037759380361945;0.006460557585659643
9500;-4.118029308319092;-4.333791732788086;-3.9747464656829834;-4.0889105796813965;0.08529391029794743;0.0072750511339143035
10000;-4.108241152763367;-4.329080104827881;-3.9554009437561035;-4.0852696895599365;0.09293025934819318;0.008636033102522447
10500;-4.096320331096649;-4.325445175170898;-3.9158990383148193;-4.074692010879517;0.10027533115354163;0.010055142037952436
11000;-4.092325448989868;-4.353325843811035;-3.914984941482544;-4.086094379425049;0.10974480069827224;0.012043921280303493
11500;-4.085274195671081;-4.360239028930664;-3.8907830715179443;-4.072271823883057;0.11784798097629368;0.013888146620188876
12000;-4.072628164291382;-4.351563453674316;-3.868194580078125;-4.075462579727173;0.1194403201862791;0.014265990086200872
12500;-4.071691763401032;-4.3496413230896;-3.8494508266448975;-4.0745134353637695;0.12109577984188197;0.014664187895513547
13000;-4.066838717460632;-4.342245101928711;-3.8386361598968506;-4.05765175819397;0.1300762750585514;0.016919837333107923
13500;-4.06275691986084;-4.33561897277832;-3.8354032039642334;-4.057027339935303;0.13342587895866612;0.017802465175892623
