;mean;min;max;median;std;var
4096;-4.251250624656677;-4.269167423248291;-4.225165367126465;-4.254084348678589;0.010518802392128474;0.0001106452037646477
6144;-4.242499160766601;-4.272440433502197;-4.199059963226318;-4.243837594985962;0.016499536585215878;0.00027223470752687725
8192;-4.235833930969238;-4.267945766448975;-4.200911998748779;-4.235231876373291;0.01811077935010439;0.0003280003286681676
10240;-4.229494619369507;-4.26993989944458;-4.19059419631958;-4.228406190872192;0.02167433193155218;0.00046977666467910243
12288;-4.222361493110657;-4.266943454742432;-4.178240776062012;-4.2220776081085205;0.023560946296246853;0.0005551181903746282
14336;-4.215184020996094;-4.259000301361084;-4.175910472869873;-4.210846424102783;0.02293501930711338;0.0005260151106176636
16384;-4.207724475860596;-4.256139278411865;-4.156222343444824;-4.202631235122681;0.02390639575010436;0.0005715157577606078
18432;-4.197356820106506;-4.249917984008789;-4.137658596038818;-4.19564151763916;0.02693700294916757;0.0007256021278834624
20480;-4.189053535461426;-4.244246006011963;-4.123304843902588;-4.188802003860474;0.03107540140520184;0.0009656805724944206
22528;-4.180937361717224;-4.250864028930664;-4.1047797203063965;-4.182727575302124;0.035406773651525406;0.0012536396204103537
24576;-4.174277949333191;-4.248653411865234;-4.091261863708496;-4.175808429718018;0.03784284787093154;0.001432081134982468
26624;-4.16916332244873;-4.239978790283203;-4.085816383361816;-4.1660614013671875;0.03922833264726071;0.0015388620822841402
28672;-4.161644148826599;-4.233865261077881;-4.075416088104248;-4.1607584953308105;0.040916430851324403;0.0016741543136112116
30720;-4.153226041793824;-4.222055912017822;-4.060637950897217;-4.155633449554443;0.0404712027951948;0.0016379182556897833
32768;-4.1432008981704715;-4.214565277099609;-4.048627853393555;-4.143468379974365;0.03911714162987801;0.0015301507692919356
34816;-4.131726408004761;-4.204524993896484;-4.041652202606201;-4.137457609176636;0.03956857818027502;0.001565672379208536
36864;-4.122206664085388;-4.191732883453369;-4.0392327308654785;-4.12853479385376;0.04125098764401811;0.001701643981606935
38912;-4.112246680259704;-4.1811113357543945;-4.034191131591797;-4.120579481124878;0.04392617038526896;0.0019295084447156798
40960;-4.099014663696289;-4.16936731338501;-4.0120744705200195;-4.113456726074219;0.04666909470086179;0.002178004400198006
43008;-4.0876264572143555;-4.153752326965332;-3.995403289794922;-4.099221467971802;0.047875976724116046;0.0022921091472881015
45056;-4.078030681610107;-4.14427375793457;-3.983867645263672;-4.086503028869629;0.04787632874627409;0.0022921428542213105
47104;-4.067163908481598;-4.122936248779297;-3.9669189453125;-4.0809104442596436;0.04777502929623476;0.0022824534242560897
49152;-4.054909455776214;-4.115691184997559;-3.9598987102508545;-4.070014953613281;0.04548472741777746;0.0020688604282695167
51200;-4.041089141368866;-4.112330913543701;-3.9562010765075684;-4.04557991027832;0.04323524101303817;0.0018692860654554975
53248;-4.028949129581451;-4.1045026779174805;-3.9514966011047363;-4.0346808433532715;0.04437633251291667;0.0019692588872969453
55296;-4.019811606407165;-4.090117454528809;-3.947690486907959;-4.032275199890137;0.045478515172894834;0.0020682953423312254
57344;-4.00846836566925;-4.0806450843811035;-3.9379308223724365;-4.020058631896973;0.047487216536794864;0.002255035734412444
59392;-3.995536279678345;-4.074284076690674;-3.909825325012207;-4.0114264488220215;0.051489985665976;0.002651218623882414
61440;-3.9809111952781677;-4.062658786773682;-3.8915841579437256;-4.001295208930969;0.05387997708355553;0.0029030519305244694
63488;-3.9648520588874816;-4.0574212074279785;-3.868234634399414;-3.982543110847473;0.05543355169287211;0.003072878653286324
65536;-3.951185965538025;-4.043061256408691;-3.853048324584961;-3.967183828353882;0.05433790873746033;0.002952608325960568
67584;-3.9385239243507386;-4.030913829803467;-3.8452820777893066;-3.9495679140090942;0.05575162805838826;0.0031082440311608647
69632;-3.9271498799324034;-4.021666049957275;-3.8305444717407227;-3.937128782272339;0.0589311554079676;0.003472881077718029
71680;-3.9174214601516724;-4.010081768035889;-3.816063404083252;-3.925080180168152;0.057862066549968845;0.0033480187454330234
73728;-3.905173325538635;-4.007856369018555;-3.7976372241973877;-3.9143378734588623;0.059769135221496725;0.00357234952512556
75776;-3.8934022545814515;-4.015370845794678;-3.7814509868621826;-3.9065847396850586;0.06405551194599048;0.004103108610662929
77824;-3.8788737297058105;-4.008808612823486;-3.7521235942840576;-3.8956764936447144;0.06768117908121102;0.0045807420018229555
79872;-3.8594860672950744;-3.984961748123169;-3.7146379947662354;-3.878694772720337;0.07013162390731474;0.004918444671877041
81920;-3.842326009273529;-3.962156295776367;-3.685527801513672;-3.864975690841675;0.06988655143722823;0.004884130071788348
83968;-3.82739862203598;-3.9441325664520264;-3.6697871685028076;-3.851109266281128;0.06913970538374643;0.004780298860551256
86016;-3.8128546714782714;-3.922853946685791;-3.6444928646087646;-3.8340669870376587;0.06969269640323633;0.00485707193195367
88064;-3.7975688099861147;-3.911038637161255;-3.620089530944824;-3.822745442390442;0.07337011765856427;0.0053831741652315655
90112;-3.779298710823059;-3.91113543510437;-3.605113983154297;-3.8005168437957764;0.07664234647144574;0.005874049272649131
92160;-3.76262172460556;-3.9127728939056396;-3.5932960510253906;-3.771913766860962;0.07845845021230266;0.006155728409716375
94208;-3.743358385562897;-3.8977773189544678;-3.579787254333496;-3.75225293636322;0.08182148715958562;0.006694755761006236
96256;-3.726564383506775;-3.8914477825164795;-3.569450855255127;-3.739827513694763;0.08615522673301869;0.0074227230934178585
98304;-3.7103813171386717;-3.8836653232574463;-3.5543227195739746;-3.7288657426834106;0.08616256032995522;0.007423986802613173
100352;-3.6902966856956483;-3.8622524738311768;-3.547898530960083;-3.7111778259277344;0.08312102788253364;0.0069091052762489365
