;mean;min;max;median;std;var
500;-4.239118003845215;-4.2902374267578125;-4.193756103515625;-4.237096071243286;0.022496979669114337;0.0005061140942325439
1000;-4.229522919654846;-4.272961616516113;-4.192413330078125;-4.227508306503296;0.023875411667282714;0.0005700352822822196
1500;-4.220624804496765;-4.270296573638916;-4.175382614135742;-4.218160152435303;0.02318301628582332;0.0005374522441087493
2000;-4.212901639938354;-4.26612663269043;-4.164942264556885;-4.209067106246948;0.024723803324355337;0.0006112664508214039
2500;-4.208442974090576;-4.270841121673584;-4.178039073944092;-4.206850528717041;0.024645159105521435;0.0006073838673364661
3000;-4.205410146713257;-4.263274669647217;-4.164736270904541;-4.20317816734314;0.027222350788646103;0.0007410563824601012
3500;-4.1996675491333;-4.2703471183776855;-4.137579441070557;-4.192084312438965;0.03486671304228272;0.0012156876783728878
4000;-4.190022301673889;-4.270656585693359;-4.121713638305664;-4.190480947494507;0.038546667763362415;0.001485845595659043
4500;-4.182733774185181;-4.284289836883545;-4.119304180145264;-4.18428897857666;0.04319141594003165;0.00186549841090482
5000;-4.17673614025116;-4.28478479385376;-4.09890604019165;-4.1783506870269775;0.04999213513397403;0.002499213575253521
5500;-4.170301222801209;-4.276471138000488;-4.093566417694092;-4.169695854187012;0.053563876237614626;0.0028690888375984967
6000;-4.1635257482528685;-4.3014140129089355;-4.059329986572266;-4.160556316375732;0.06468645030524192;0.004184336853092533
6500;-4.153423690795899;-4.293281555175781;-4.016028881072998;-4.15287184715271;0.0703546654259542;0.004949778947197956
7000;-4.144685077667236;-4.280392646789551;-4.001554489135742;-4.140395641326904;0.07244294715789469;0.005247980592921523
7500;-4.1366352319717405;-4.288114547729492;-3.9852542877197266;-4.138566970825195;0.07827674916676154;0.0061272494601161045
8000;-4.131991553306579;-4.313065528869629;-3.9817771911621094;-4.134923458099365;0.08239293643210556;0.006788595973904988
8500;-4.128132009506226;-4.300004005432129;-3.9482598304748535;-4.129336357116699;0.08964676471777011;0.008036542424363233
9000;-4.122269511222839;-4.301362991333008;-3.9326725006103516;-4.123704195022583;0.09145185276397914;0.00836344137396452
9500;-4.119794237613678;-4.317470550537109;-3.9088408946990967;-4.1151087284088135;0.0988111166859329;0.009763636780721046
10000;-4.11493182182312;-4.31743049621582;-3.9011058807373047;-4.108038902282715;0.10366645570208372;0.010746734037832084
10500;-4.107378542423248;-4.3266143798828125;-3.8974151611328125;-4.094618558883667;0.11176083840668094;0.012490485001364248
11000;-4.102358758449554;-4.3162522315979;-3.9014923572540283;-4.0804972648620605;0.11349952420676818;0.012882141995162754
11500;-4.098240256309509;-4.329654216766357;-3.8985486030578613;-4.084545135498047;0.11861598844112697;0.014069752713865569
12000;-4.088587534427643;-4.3462815284729;-3.866989850997925;-4.078822612762451;0.127824745738974;0.016339165623233353
12500;-4.0841642141342165;-4.351844787597656;-3.868795871734619;-4.067236423492432;0.13381288170763134;0.01790588731090054
13000;-4.076667737960816;-4.346560001373291;-3.8439767360687256;-4.058602333068848;0.1368156025177738;0.018718509092301473
13500;-4.069797801971435;-4.353668212890625;-3.8416824340820312;-4.048171043395996;0.142684861084568;0.020358969582722465
14000;-4.058605265617371;-4.357270240783691;-3.8480064868927;-4.029180288314819;0.14434398171721396;0.020835185057979398
14500;-4.052712297439575;-4.370820045471191;-3.8361566066741943;-4.032011985778809;0.14769460268385304;0.021813695661941208
15000;-4.048317003250122;-4.373720645904541;-3.8409390449523926;-4.024324417114258;0.14745890801338443;0.021744129552499773
15500;-4.0412335872650145;-4.368673801422119;-3.839137315750122;-4.021649479866028;0.15092345040474006;0.022777887882072037
16000;-4.034757518768311;-4.394139289855957;-3.841480016708374;-4.0094263553619385;0.15190768640285138;0.02307594518826704
16500;-4.030117726325988;-4.380753517150879;-3.831294298171997;-4.0111002922058105;0.15052558011055675;0.022657950267619638
17000;-4.023516523838043;-4.360053539276123;-3.818518877029419;-3.994768261909485;0.15159146945993252;0.022979973613021655
17500;-4.0133750438690186;-4.34738302230835;-3.8135039806365967;-3.980493187904358;0.15160877174209536;0.022985219669146774
18000;-4.009066104888916;-4.353382110595703;-3.794502019882202;-3.972070336341858;0.155814018155745;0.024278008253838836
18500;-4.004601049423218;-4.350566387176514;-3.795397996902466;-3.9693803787231445;0.15750266489650022;0.02480708944949924
19000;-4.001277101039887;-4.341861724853516;-3.788116455078125;-3.9607123136520386;0.15812101687215588;0.025002255976684606
19500;-3.9975576400756836;-4.329404354095459;-3.785959005355835;-3.9542566537857056;0.15707718319678612;0.024673241481036712
20000;-3.990741014480591;-4.310515880584717;-3.7760169506073;-3.940818190574646;0.15774715644008352;0.02488416536493219
20500;-3.9901216983795167;-4.311860084533691;-3.7739555835723877;-3.9493714570999146;0.15775026989248764;0.02488514765115269
21000;-3.984781551361084;-4.310915470123291;-3.784344434738159;-3.936426877975464;0.15687032893127834;0.024608300099007465
21500;-3.9823612451553343;-4.309421539306641;-3.7490479946136475;-3.932358980178833;0.1548703927605051;0.02398483855379311
22000;-3.9704073309898376;-4.318698406219482;-3.717867612838745;-3.9194141626358032;0.15598637410368504;0.024331748906014784
22500;-3.964468014240265;-4.318478584289551;-3.6829116344451904;-3.9104506969451904;0.16526017987219782;0.02731092705139118
23000;-3.958862805366516;-4.327458381652832;-3.6797714233398438;-3.9130982160568237;0.16988737635455883;0.028861720644635512
23500;-3.9571342945098875;-4.336956977844238;-3.6658599376678467;-3.910265803337097;0.17532504334130078;0.030738870822628994
24000;-3.949371898174286;-4.341333389282227;-3.6527023315429688;-3.903725266456604;0.1762715049435309;0.031071643455057234
24500;-3.9424808621406555;-4.335001468658447;-3.64740252494812;-3.9021265506744385;0.17887071064896293;0.031994731128065015
25000;-3.943782019615173;-4.330221176147461;-3.656261444091797;-3.9021202325820923;0.17734494204791787;0.03145122846997935
25500;-3.9370391964912415;-4.327798366546631;-3.6550862789154053;-3.89299476146698;0.17879915206091;0.03196913677770041
26000;-3.929486644268036;-4.3111467361450195;-3.651942491531372;-3.882675528526306;0.17644383095806668;0.03113242548315881
26500;-3.9184898495674134;-4.279779434204102;-3.6554057598114014;-3.8820518255233765;0.17393033433541222;0.030251761202028278
27000;-3.9193229913711547;-4.269261837005615;-3.640570878982544;-3.893789291381836;0.16999783877818878;0.028899265189255063
27500;-3.913565790653229;-4.271737575531006;-3.618155002593994;-3.8911025524139404;0.17257745616550854;0.029782978376558022
28000;-3.909726250171661;-4.26933479309082;-3.613213300704956;-3.8850826025009155;0.1756345322936167;0.03084748893399749
28500;-3.903115487098694;-4.27089786529541;-3.601149082183838;-3.8703691959381104;0.17684526078673368;0.031274246262727845
29000;-3.89537969827652;-4.271846771240234;-3.609724760055542;-3.8656784296035767;0.1769420954572669;0.031308505144808554
29500;-3.890910577774048;-4.289282321929932;-3.5835349559783936;-3.8562036752700806;0.18113161635521413;0.03280866244345248
30000;-3.8858586668968202;-4.297069549560547;-3.5840470790863037;-3.8405792713165283;0.18238893987860288;0.033265725390040614
30500;-3.8793383717536924;-4.2782511711120605;-3.588228702545166;-3.839864730834961;0.18022886245664627;0.032482442862416715
31000;-3.875606858730316;-4.283246994018555;-3.581507921218872;-3.8373799324035645;0.18210636304375996;0.0331627274610257
31500;-3.8699590444564818;-4.267314910888672;-3.5794246196746826;-3.8293144702911377;0.18075765437844818;0.03267332961639852
32000;-3.867897605895996;-4.27198600769043;-3.587902545928955;-3.8318307399749756;0.17697178486109463;0.031319012636921564
32500;-3.864304220676422;-4.2689056396484375;-3.575305223464966;-3.837010622024536;0.17557425415065395;0.03082631872055842
33000;-3.86262241601944;-4.263538360595703;-3.572702407836914;-3.8269550800323486;0.17415653088866778;0.0303304972511755
33500;-3.8586023926734923;-4.279613018035889;-3.5546340942382812;-3.825426697731018;0.17300561423069127;0.029930942555338763
34000;-3.850333940982819;-4.273780822753906;-3.558896780014038;-3.8288516998291016;0.17047187965020053;0.029060661751472455
34500;-3.8460550785064695;-4.2711100578308105;-3.5518295764923096;-3.8312904834747314;0.1727366995090634;0.029837967357284466
35000;-3.8411010622978212;-4.278482437133789;-3.5544800758361816;-3.8111084699630737;0.17384514079455926;0.030222132977880133
35500;-3.8381891369819643;-4.278494358062744;-3.55442214012146;-3.807327389717102;0.17512050780090985;0.030667192252448527
36000;-3.8319043040275576;-4.272401332855225;-3.5348751544952393;-3.805346727371216;0.17689977809336394;0.031293531489481406
36500;-3.8307368636131285;-4.26168966293335;-3.5645225048065186;-3.8082131147384644;0.17457169911320483;0.03047527813127132
37000;-3.8302427768707275;-4.2751145362854;-3.562512159347534;-3.8008077144622803;0.1776462275344066;0.031558182157206155
37500;-3.824570345878601;-4.26900577545166;-3.544821262359619;-3.809587240219116;0.17562492002548782;0.030844112533958995
38000;-3.8171260356903076;-4.264167308807373;-3.5258724689483643;-3.8119053840637207;0.17924119466656613;0.03212740586549785
38500;-3.813821184635162;-4.245512008666992;-3.532729387283325;-3.8069708347320557;0.17925979344361315;0.03213407354544685
39000;-3.81267409324646;-4.253511428833008;-3.5228164196014404;-3.8097009658813477;0.18122349159674567;0.03284195390651575
39500;-3.8072916984558107;-4.222347259521484;-3.534050703048706;-3.81321382522583;0.18135366032987277;0.03288915011504286
40000;-3.808096766471863;-4.211108684539795;-3.526423692703247;-3.8161749839782715;0.1815699004349673;0.03296762874396393
40500;-3.806916618347168;-4.206429958343506;-3.5340874195098877;-3.7981033325195312;0.18288906036179126;0.03344840840001893
41000;-3.8010344982147215;-4.1954803466796875;-3.529851198196411;-3.793121099472046;0.17814566905356277;0.031735879402541516
41500;-3.7924072265625;-4.167341232299805;-3.5289173126220703;-3.783785581588745;0.17562720776521015;0.030844916107404297
42000;-3.791617751121521;-4.159734725952148;-3.525033712387085;-3.7847344875335693;0.17458203683658632;0.030478887586011184
42500;-3.7843079924583436;-4.151723861694336;-3.532360792160034;-3.771899461746216;0.17368456484234504;0.030166328064474758
43000;-3.778781998157501;-4.152749061584473;-3.5348708629608154;-3.7582250833511353;0.17366307774911374;0.030158864573294725
43500;-3.7771728873252868;-4.1439433097839355;-3.5332305431365967;-3.760986566543579;0.17335532903740533;0.030052070105667066
44000;-3.776726508140564;-4.155004501342773;-3.5431175231933594;-3.7601025104522705;0.17123099199708564;0.029320052620306004
44500;-3.7723150968551638;-4.140254497528076;-3.546902894973755;-3.7619858980178833;0.16931193828006352;0.028666532444152036
45000;-3.770637774467468;-4.132155895233154;-3.5472946166992188;-3.762242078781128;0.1688723508840565;0.028517870893107894
45500;-3.7722631812095644;-4.1270060539245605;-3.536614179611206;-3.7713916301727295;0.16835302434893892;0.02834274080743442
46000;-3.773738241195679;-4.123212814331055;-3.5381836891174316;-3.780719041824341;0.16650817667071635;0.027724972898206485
46500;-3.7736531853675843;-4.1164140701293945;-3.527229070663452;-3.780970811843872;0.16776440341159987;0.028144895052050024
47000;-3.7749666452407835;-4.102321147918701;-3.512651205062866;-3.7865943908691406;0.1672612475456741;0.027976324930535267
47500;-3.7699310421943664;-4.096683502197266;-3.50773024559021;-3.7804386615753174;0.16870766634896192;0.028462276684912663
48000;-3.7622333645820616;-4.072000980377197;-3.506146192550659;-3.7755149602890015;0.16638615255455708;0.027684351761908338
48500;-3.7604709029197694;-4.073873519897461;-3.4911773204803467;-3.764986753463745;0.16486656947090506;0.027180985729104767
49000;-3.7567031264305113;-4.083878517150879;-3.4778716564178467;-3.760070562362671;0.16952119020568987;0.02873743392875368
49500;-3.7513706922531127;-4.075468063354492;-3.463463544845581;-3.7615991830825806;0.1742369233978435;0.030358505475145986
50000;-3.752839279174805;-4.07621955871582;-3.4812374114990234;-3.7432457208633423;0.1741998831716086;0.030345599297002084
50500;-3.7494654417037965;-4.082813262939453;-3.4846603870391846;-3.7484967708587646;0.17556342294153637;0.030822515474948776
51000;-3.7469916939735413;-4.086204528808594;-3.4905736446380615;-3.737001419067383;0.17772796319479905;0.03158722890137185
51500;-3.7476140022277833;-4.105983257293701;-3.4804306030273438;-3.72900927066803;0.17684856709615704;0.03127541568396396
52000;-3.7408203959465025;-4.108042240142822;-3.469886541366577;-3.7262585163116455;0.1796864684420028;0.032287226941158875
52500;-3.7391321539878843;-4.106523036956787;-3.4810407161712646;-3.7156429290771484;0.17661785904998567;0.031193868135400604
53000;-3.7362609267234803;-4.090665817260742;-3.456782579421997;-3.7082326412200928;0.1749029182130019;0.03059103079942404
