;mean;min;max;median;std;var
2048;1042.65;977.0;1067.0;1047.5;20.914767510063314;437.42749999999995
4096;817.75;777.0;850.0;816.5;16.561627335500578;274.2875
6144;763.15;722.0;788.0;765.0;15.783773313121296;249.1275
8192;737.65;703.0;767.0;736.0;13.357675696018378;178.42750000000004
10240;722.9;701.0;759.0;721.0;13.590069904161641;184.69
12288;712.5;686.0;743.0;712.0;15.088074761214568;227.65
14336;706.65;685.0;730.0;705.5;13.443492849702416;180.7275
16384;702.05;683.0;723.0;700.0;11.829940828254385;139.94750000000005
18432;698.25;680.0;719.0;696.5;11.179780856528449;124.9875
20480;695.4;675.0;718.0;693.5;11.2933608815091;127.54
22528;692.5;673.0;714.0;691.0;10.988630487917955;120.75
24576;690.5;672.0;709.0;688.5;9.952386648437649;99.05
26624;688.65;671.0;707.0;686.0;9.567000574892843;91.52749999999997
28672;687.0;671.0;705.0;685.5;9.060905032059436;82.1
30720;686.3;673.0;703.0;684.0;8.289149534180208;68.70999999999997
32768;685.35;673.0;702.0;683.0;8.486901672577572;72.02749999999999
34816;684.3;672.0;700.0;682.5;8.112336284942826;65.80999999999997
36864;683.65;671.0;700.0;682.0;8.235745260752058;67.82749999999999
38912;682.85;671.0;700.0;681.5;8.045340266265935;64.72750000000002
40960;682.5;672.0;701.0;680.5;8.090117428072352;65.45
43008;682.0;672.0;699.0;681.5;7.681145747868608;59.0
45056;681.25;671.0;698.0;681.0;7.415355689378629;54.9875
47104;680.65;671.0;697.0;680.5;7.030469401113983;49.42750000000001
49152;680.3;670.0;696.0;680.0;6.775691846593968;45.90999999999998
51200;679.7;669.0;695.0;679.5;6.573431371817917;43.20999999999998
53248;679.45;668.0;694.0;679.5;6.328309410893243;40.04749999999998
55296;679.25;667.0;694.0;679.0;6.1634000356945835;37.9875
57344;678.85;666.0;694.0;678.5;6.027229877812857;36.327499999999986
59392;678.6;665.0;692.0;678.5;5.953150426454886;35.43999999999999
61440;678.15;666.0;691.0;677.0;5.5792024519639;31.12749999999999
63488;678.1;666.0;691.0;677.5;5.31883445878888;28.289999999999992
65536;677.75;666.0;690.0;677.0;5.078139423056441;25.7875
67584;677.5;667.0;689.0;677.0;4.8218253804964775;23.25
69632;677.25;668.0;688.0;677.5;4.656984002549289;21.6875
71680;676.85;667.0;688.0;676.5;4.901785389018984;24.027499999999993
73728;676.75;667.0;688.0;676.5;4.9180788932265;24.1875
75776;676.35;668.0;687.0;676.5;4.628984769903655;21.42749999999999
77824;676.0;667.0;686.0;676.5;4.5934736311423405;21.1
79872;675.65;667.0;686.0;676.0;4.430293444005712;19.62749999999999
81920;675.65;667.0;687.0;675.5;4.5637155914890215;20.827499999999993
83968;675.5;667.0;686.0;675.5;4.466542286825459;19.95
86016;675.4;668.0;685.0;675.0;4.328972164382671;18.73999999999999
88064;675.15;667.0;685.0;675.0;4.327528162819971;18.727499999999992
90112;674.85;667.0;686.0;674.0;4.464022849403886;19.92749999999999
92160;674.7;667.0;685.0;674.5;4.325505750776434;18.71
94208;674.65;666.0;685.0;675.0;4.497499305169484;20.227499999999992
96256;674.5;666.0;685.0;674.0;4.376071297408213;19.15
98304;674.25;666.0;685.0;674.0;4.559331091289598;20.7875
100352;674.25;666.0;685.0;673.5;4.646235034950341;21.5875
