;mean;min;max;median;std;var
2048;1000.0;1000.0;1000.0;1000.0;0.0;0.0
4096;1000.0;1000.0;1000.0;1000.0;0.0;0.0
6144;1000.0;1000.0;1000.0;1000.0;0.0;0.0
8192;1000.0;1000.0;1000.0;1000.0;0.0;0.0
10240;1000.0;1000.0;1000.0;1000.0;0.0;0.0
12288;1000.0;1000.0;1000.0;1000.0;0.0;0.0
14336;1000.0;1000.0;1000.0;1000.0;0.0;0.0
16384;1000.0;1000.0;1000.0;1000.0;0.0;0.0
18432;1000.0;1000.0;1000.0;1000.0;0.0;0.0
20480;1000.0;1000.0;1000.0;1000.0;0.0;0.0
22528;1000.0;1000.0;1000.0;1000.0;0.0;0.0
24576;1000.0;1000.0;1000.0;1000.0;0.0;0.0
26624;1000.0;1000.0;1000.0;1000.0;0.0;0.0
28672;1000.0;1000.0;1000.0;1000.0;0.0;0.0
30720;1000.0;1000.0;1000.0;1000.0;0.0;0.0
32768;1000.0;1000.0;1000.0;1000.0;0.0;0.0
34816;1000.0;1000.0;1000.0;1000.0;0.0;0.0
36864;1000.0;1000.0;1000.0;1000.0;0.0;0.0
38912;1000.0;1000.0;1000.0;1000.0;0.0;0.0
40960;1000.0;1000.0;1000.0;1000.0;0.0;0.0
43008;1000.0;1000.0;1000.0;1000.0;0.0;0.0
45056;1000.0;1000.0;1000.0;1000.0;0.0;0.0
47104;1000.0;1000.0;1000.0;1000.0;0.0;0.0
49152;1000.0;1000.0;1000.0;1000.0;0.0;0.0
51200;1000.0;1000.0;1000.0;1000.0;0.0;0.0
53248;1000.0;1000.0;1000.0;1000.0;0.0;0.0
55296;1000.0;1000.0;1000.0;1000.0;0.0;0.0
57344;1000.0;1000.0;1000.0;1000.0;0.0;0.0
59392;1000.0;1000.0;1000.0;1000.0;0.0;0.0
61440;1000.0;1000.0;1000.0;1000.0;0.0;0.0
63488;1000.0;1000.0;1000.0;1000.0;0.0;0.0
65536;1000.0;1000.0;1000.0;1000.0;0.0;0.0
67584;1000.0;1000.0;1000.0;1000.0;0.0;0.0
69632;1000.0;1000.0;1000.0;1000.0;0.0;0.0
71680;1000.0;1000.0;1000.0;1000.0;0.0;0.0
73728;1000.0;1000.0;1000.0;1000.0;0.0;0.0
75776;1000.0;1000.0;1000.0;1000.0;0.0;0.0
77824;1000.0;1000.0;1000.0;1000.0;0.0;0.0
79872;1000.0;1000.0;1000.0;1000.0;0.0;0.0
81920;1000.0;1000.0;1000.0;1000.0;0.0;0.0
83968;1000.0;1000.0;1000.0;1000.0;0.0;0.0
86016;1000.0;1000.0;1000.0;1000.0;0.0;0.0
88064;1000.0;1000.0;1000.0;1000.0;0.0;0.0
90112;1000.0;1000.0;1000.0;1000.0;0.0;0.0
92160;1000.0;1000.0;1000.0;1000.0;0.0;0.0
94208;1000.0;1000.0;1000.0;1000.0;0.0;0.0
96256;1000.0;1000.0;1000.0;1000.0;0.0;0.0
98304;1000.0;1000.0;1000.0;1000.0;0.0;0.0
100352;1000.0;1000.0;1000.0;1000.0;0.0;0.0
102400;1000.0;1000.0;1000.0;1000.0;0.0;0.0
104448;1000.0;1000.0;1000.0;1000.0;0.0;0.0
106496;1000.0;1000.0;1000.0;1000.0;0.0;0.0
108544;1000.0;1000.0;1000.0;1000.0;0.0;0.0
110592;1000.0;1000.0;1000.0;1000.0;0.0;0.0
112640;1000.0;1000.0;1000.0;1000.0;0.0;0.0
114688;1000.0;1000.0;1000.0;1000.0;0.0;0.0
116736;1000.0;1000.0;1000.0;1000.0;0.0;0.0
118784;1000.0;1000.0;1000.0;1000.0;0.0;0.0
120832;1000.0;1000.0;1000.0;1000.0;0.0;0.0
122880;1000.0;1000.0;1000.0;1000.0;0.0;0.0
124928;1000.0;1000.0;1000.0;1000.0;0.0;0.0
126976;1000.0;1000.0;1000.0;1000.0;0.0;0.0
129024;1000.0;1000.0;1000.0;1000.0;0.0;0.0
131072;1000.0;1000.0;1000.0;1000.0;0.0;0.0
133120;1000.0;1000.0;1000.0;1000.0;0.0;0.0
135168;1000.0;1000.0;1000.0;1000.0;0.0;0.0
137216;1000.0;1000.0;1000.0;1000.0;0.0;0.0
139264;1000.0;1000.0;1000.0;1000.0;0.0;0.0
141312;1000.0;1000.0;1000.0;1000.0;0.0;0.0
143360;1000.0;1000.0;1000.0;1000.0;0.0;0.0
145408;1000.0;1000.0;1000.0;1000.0;0.0;0.0
147456;1000.0;1000.0;1000.0;1000.0;0.0;0.0
149504;1000.0;1000.0;1000.0;1000.0;0.0;0.0
151552;1000.0;1000.0;1000.0;1000.0;0.0;0.0
153600;1000.0;1000.0;1000.0;1000.0;0.0;0.0
155648;1000.0;1000.0;1000.0;1000.0;0.0;0.0
157696;1000.0;1000.0;1000.0;1000.0;0.0;0.0
159744;1000.0;1000.0;1000.0;1000.0;0.0;0.0
161792;1000.0;1000.0;1000.0;1000.0;0.0;0.0
163840;1000.0;1000.0;1000.0;1000.0;0.0;0.0
165888;1000.0;1000.0;1000.0;1000.0;0.0;0.0
167936;1000.0;1000.0;1000.0;1000.0;0.0;0.0
169984;1000.0;1000.0;1000.0;1000.0;0.0;0.0
172032;1000.0;1000.0;1000.0;1000.0;0.0;0.0
174080;1000.0;1000.0;1000.0;1000.0;0.0;0.0
176128;1000.0;1000.0;1000.0;1000.0;0.0;0.0
178176;1000.0;1000.0;1000.0;1000.0;0.0;0.0
180224;1000.0;1000.0;1000.0;1000.0;0.0;0.0
182272;1000.0;1000.0;1000.0;1000.0;0.0;0.0
184320;1000.0;1000.0;1000.0;1000.0;0.0;0.0
186368;1000.0;1000.0;1000.0;1000.0;0.0;0.0
188416;1000.0;1000.0;1000.0;1000.0;0.0;0.0
190464;1000.0;1000.0;1000.0;1000.0;0.0;0.0
192512;1000.0;1000.0;1000.0;1000.0;0.0;0.0
194560;1000.0;1000.0;1000.0;1000.0;0.0;0.0
196608;1000.0;1000.0;1000.0;1000.0;0.0;0.0
198656;1000.0;1000.0;1000.0;1000.0;0.0;0.0
200704;1000.0;1000.0;1000.0;1000.0;0.0;0.0
202752;1000.0;1000.0;1000.0;1000.0;0.0;0.0
204800;1000.0;1000.0;1000.0;1000.0;0.0;0.0
206848;1000.0;1000.0;1000.0;1000.0;0.0;0.0
208896;1000.0;1000.0;1000.0;1000.0;0.0;0.0
210944;1000.0;1000.0;1000.0;1000.0;0.0;0.0
212992;1000.0;1000.0;1000.0;1000.0;0.0;0.0
215040;1000.0;1000.0;1000.0;1000.0;0.0;0.0
217088;1000.0;1000.0;1000.0;1000.0;0.0;0.0
219136;1000.0;1000.0;1000.0;1000.0;0.0;0.0
221184;1000.0;1000.0;1000.0;1000.0;0.0;0.0
223232;1000.0;1000.0;1000.0;1000.0;0.0;0.0
225280;1000.0;1000.0;1000.0;1000.0;0.0;0.0
227328;1000.0;1000.0;1000.0;1000.0;0.0;0.0
229376;1000.0;1000.0;1000.0;1000.0;0.0;0.0
231424;1000.0;1000.0;1000.0;1000.0;0.0;0.0
233472;1000.0;1000.0;1000.0;1000.0;0.0;0.0
235520;1000.0;1000.0;1000.0;1000.0;0.0;0.0
237568;1000.0;1000.0;1000.0;1000.0;0.0;0.0
239616;1000.0;1000.0;1000.0;1000.0;0.0;0.0
241664;1000.0;1000.0;1000.0;1000.0;0.0;0.0
243712;1000.0;1000.0;1000.0;1000.0;0.0;0.0
245760;1000.0;1000.0;1000.0;1000.0;0.0;0.0
247808;1000.0;1000.0;1000.0;1000.0;0.0;0.0
249856;1000.0;1000.0;1000.0;1000.0;0.0;0.0
251904;1000.0;1000.0;1000.0;1000.0;0.0;0.0
253952;1000.0;1000.0;1000.0;1000.0;0.0;0.0
256000;1000.0;1000.0;1000.0;1000.0;0.0;0.0
258048;1000.0;1000.0;1000.0;1000.0;0.0;0.0
260096;1000.0;1000.0;1000.0;1000.0;0.0;0.0
262144;1000.0;1000.0;1000.0;1000.0;0.0;0.0
264192;1000.0;1000.0;1000.0;1000.0;0.0;0.0
266240;1000.0;1000.0;1000.0;1000.0;0.0;0.0
268288;1000.0;1000.0;1000.0;1000.0;0.0;0.0
270336;1000.0;1000.0;1000.0;1000.0;0.0;0.0
272384;1000.0;1000.0;1000.0;1000.0;0.0;0.0
274432;1000.0;1000.0;1000.0;1000.0;0.0;0.0
276480;1000.0;1000.0;1000.0;1000.0;0.0;0.0
278528;1000.0;1000.0;1000.0;1000.0;0.0;0.0
280576;1000.0;1000.0;1000.0;1000.0;0.0;0.0
282624;1000.0;1000.0;1000.0;1000.0;0.0;0.0
284672;1000.0;1000.0;1000.0;1000.0;0.0;0.0
286720;1000.0;1000.0;1000.0;1000.0;0.0;0.0
288768;1000.0;1000.0;1000.0;1000.0;0.0;0.0
290816;1000.0;1000.0;1000.0;1000.0;0.0;0.0
292864;1000.0;1000.0;1000.0;1000.0;0.0;0.0
294912;1000.0;1000.0;1000.0;1000.0;0.0;0.0
296960;1000.0;1000.0;1000.0;1000.0;0.0;0.0
299008;1000.0;1000.0;1000.0;1000.0;0.0;0.0
301056;1000.0;1000.0;1000.0;1000.0;0.0;0.0
303104;1000.0;1000.0;1000.0;1000.0;0.0;0.0
305152;1000.0;1000.0;1000.0;1000.0;0.0;0.0
307200;1000.0;1000.0;1000.0;1000.0;0.0;0.0
309248;1000.0;1000.0;1000.0;1000.0;0.0;0.0
311296;1000.0;1000.0;1000.0;1000.0;0.0;0.0
313344;1000.0;1000.0;1000.0;1000.0;0.0;0.0
315392;1000.0;1000.0;1000.0;1000.0;0.0;0.0
317440;1000.0;1000.0;1000.0;1000.0;0.0;0.0
319488;1000.0;1000.0;1000.0;1000.0;0.0;0.0
321536;1000.0;1000.0;1000.0;1000.0;0.0;0.0
323584;1000.0;1000.0;1000.0;1000.0;0.0;0.0
325632;1000.0;1000.0;1000.0;1000.0;0.0;0.0
327680;1000.0;1000.0;1000.0;1000.0;0.0;0.0
329728;1000.0;1000.0;1000.0;1000.0;0.0;0.0
331776;1000.0;1000.0;1000.0;1000.0;0.0;0.0
333824;1000.0;1000.0;1000.0;1000.0;0.0;0.0
335872;1000.0;1000.0;1000.0;1000.0;0.0;0.0
337920;1000.0;1000.0;1000.0;1000.0;0.0;0.0
339968;1000.0;1000.0;1000.0;1000.0;0.0;0.0
342016;1000.0;1000.0;1000.0;1000.0;0.0;0.0
344064;1000.0;1000.0;1000.0;1000.0;0.0;0.0
346112;1000.0;1000.0;1000.0;1000.0;0.0;0.0
348160;1000.0;1000.0;1000.0;1000.0;0.0;0.0
350208;1000.0;1000.0;1000.0;1000.0;0.0;0.0
352256;1000.0;1000.0;1000.0;1000.0;0.0;0.0
354304;1000.0;1000.0;1000.0;1000.0;0.0;0.0
356352;1000.0;1000.0;1000.0;1000.0;0.0;0.0
358400;1000.0;1000.0;1000.0;1000.0;0.0;0.0
360448;1000.0;1000.0;1000.0;1000.0;0.0;0.0
362496;1000.0;1000.0;1000.0;1000.0;0.0;0.0
364544;1000.0;1000.0;1000.0;1000.0;0.0;0.0
366592;1000.0;1000.0;1000.0;1000.0;0.0;0.0
368640;1000.0;1000.0;1000.0;1000.0;0.0;0.0
370688;1000.0;1000.0;1000.0;1000.0;0.0;0.0
372736;1000.0;1000.0;1000.0;1000.0;0.0;0.0
374784;1000.0;1000.0;1000.0;1000.0;0.0;0.0
376832;1000.0;1000.0;1000.0;1000.0;0.0;0.0
378880;1000.0;1000.0;1000.0;1000.0;0.0;0.0
380928;1000.0;1000.0;1000.0;1000.0;0.0;0.0
382976;1000.0;1000.0;1000.0;1000.0;0.0;0.0
385024;1000.0;1000.0;1000.0;1000.0;0.0;0.0
387072;1000.0;1000.0;1000.0;1000.0;0.0;0.0
389120;1000.0;1000.0;1000.0;1000.0;0.0;0.0
391168;1000.0;1000.0;1000.0;1000.0;0.0;0.0
393216;1000.0;1000.0;1000.0;1000.0;0.0;0.0
395264;1000.0;1000.0;1000.0;1000.0;0.0;0.0
397312;1000.0;1000.0;1000.0;1000.0;0.0;0.0
399360;1000.0;1000.0;1000.0;1000.0;0.0;0.0
401408;1000.0;1000.0;1000.0;1000.0;0.0;0.0
403456;1000.0;1000.0;1000.0;1000.0;0.0;0.0
405504;1000.0;1000.0;1000.0;1000.0;0.0;0.0
407552;1000.0;1000.0;1000.0;1000.0;0.0;0.0
409600;1000.0;1000.0;1000.0;1000.0;0.0;0.0
411648;1000.0;1000.0;1000.0;1000.0;0.0;0.0
413696;1000.0;1000.0;1000.0;1000.0;0.0;0.0
415744;1000.0;1000.0;1000.0;1000.0;0.0;0.0
417792;1000.0;1000.0;1000.0;1000.0;0.0;0.0
419840;1000.0;1000.0;1000.0;1000.0;0.0;0.0
421888;1000.0;1000.0;1000.0;1000.0;0.0;0.0
423936;1000.0;1000.0;1000.0;1000.0;0.0;0.0
425984;1000.0;1000.0;1000.0;1000.0;0.0;0.0
428032;1000.0;1000.0;1000.0;1000.0;0.0;0.0
430080;1000.0;1000.0;1000.0;1000.0;0.0;0.0
432128;1000.0;1000.0;1000.0;1000.0;0.0;0.0
434176;1000.0;1000.0;1000.0;1000.0;0.0;0.0
436224;1000.0;1000.0;1000.0;1000.0;0.0;0.0
438272;1000.0;1000.0;1000.0;1000.0;0.0;0.0
440320;1000.0;1000.0;1000.0;1000.0;0.0;0.0
442368;1000.0;1000.0;1000.0;1000.0;0.0;0.0
444416;1000.0;1000.0;1000.0;1000.0;0.0;0.0
446464;1000.0;1000.0;1000.0;1000.0;0.0;0.0
448512;1000.0;1000.0;1000.0;1000.0;0.0;0.0
450560;1000.0;1000.0;1000.0;1000.0;0.0;0.0
452608;1000.0;1000.0;1000.0;1000.0;0.0;0.0
454656;1000.0;1000.0;1000.0;1000.0;0.0;0.0
456704;1000.0;1000.0;1000.0;1000.0;0.0;0.0
458752;1000.0;1000.0;1000.0;1000.0;0.0;0.0
460800;1000.0;1000.0;1000.0;1000.0;0.0;0.0
462848;1000.0;1000.0;1000.0;1000.0;0.0;0.0
464896;1000.0;1000.0;1000.0;1000.0;0.0;0.0
466944;1000.0;1000.0;1000.0;1000.0;0.0;0.0
468992;1000.0;1000.0;1000.0;1000.0;0.0;0.0
471040;1000.0;1000.0;1000.0;1000.0;0.0;0.0
473088;1000.0;1000.0;1000.0;1000.0;0.0;0.0
475136;1000.0;1000.0;1000.0;1000.0;0.0;0.0
477184;1000.0;1000.0;1000.0;1000.0;0.0;0.0
479232;1000.0;1000.0;1000.0;1000.0;0.0;0.0
481280;1000.0;1000.0;1000.0;1000.0;0.0;0.0
483328;1000.0;1000.0;1000.0;1000.0;0.0;0.0
485376;1000.0;1000.0;1000.0;1000.0;0.0;0.0
487424;1000.0;1000.0;1000.0;1000.0;0.0;0.0
489472;1000.0;1000.0;1000.0;1000.0;0.0;0.0
491520;1000.0;1000.0;1000.0;1000.0;0.0;0.0
493568;1000.0;1000.0;1000.0;1000.0;0.0;0.0
495616;1000.0;1000.0;1000.0;1000.0;0.0;0.0
497664;1000.0;1000.0;1000.0;1000.0;0.0;0.0
499712;1000.0;1000.0;1000.0;1000.0;0.0;0.0
501760;1000.0;1000.0;1000.0;1000.0;0.0;0.0
503808;1000.0;1000.0;1000.0;1000.0;0.0;0.0
