;mean;min;max;median;std;var
4096;-4.248411321640015;-4.258106231689453;-4.211540699005127;-4.25244927406311;0.01310144830621524;0.00017164794772043021
6144;-4.2364836692810055;-4.264337539672852;-4.17910623550415;-4.2398786544799805;0.022297729071115952;0.0004971887217288895
8192;-4.232373380661011;-4.274825096130371;-4.171082019805908;-4.237361192703247;0.0256514979867018;0.0006579993489617664
10240;-4.230818510055542;-4.267988681793213;-4.160423278808594;-4.239008665084839;0.027724837896849434;0.0007686666364065786
12288;-4.233398199081421;-4.26466703414917;-4.156935691833496;-4.246187686920166;0.029258573355018795;0.0008560641147710157
14336;-4.2319048881530765;-4.25745964050293;-4.168575286865234;-4.245513439178467;0.02664226038299831;0.0007098100383154814
16384;-4.233979606628418;-4.266834259033203;-4.180373668670654;-4.244422912597656;0.025940328824607256;0.0006729006595287501
18432;-4.233751726150513;-4.273454189300537;-4.193752288818359;-4.242038249969482;0.024500722020498862;0.0006002853795257578
20480;-4.22812933921814;-4.2737627029418945;-4.183047294616699;-4.228543281555176;0.026804091971552074;0.0007184593464194223
22528;-4.219052314758301;-4.274404525756836;-4.160726070404053;-4.21343994140625;0.03104307052012006;0.0009636722273171471
24576;-4.210179615020752;-4.267794132232666;-4.151090145111084;-4.20720911026001;0.03408981653909471;0.001162115591669135
26624;-4.204279613494873;-4.263242721557617;-4.150549411773682;-4.200696706771851;0.03581951871844409;0.0012830379212209666
28672;-4.195777177810669;-4.251245021820068;-4.143180847167969;-4.194448947906494;0.03784939201952265;0.0014325764762475046
30720;-4.182908439636231;-4.249482154846191;-4.1217546463012695;-4.1825666427612305;0.0416534822979047;0.00173501258754186
32768;-4.174002981185913;-4.2415266036987305;-4.107848644256592;-4.172189235687256;0.046189525248367086;0.0021334722426695407
34816;-4.1640561580657955;-4.22714376449585;-4.10392951965332;-4.15749454498291;0.0477251318985892;0.002277688214737736
36864;-4.153385066986084;-4.224983215332031;-4.083888530731201;-4.140375375747681;0.05092021378486193;0.0025928681718960433
38912;-4.147437667846679;-4.22743034362793;-4.080718994140625;-4.12806248664856;0.053419707892534106;0.002853665191323671
40960;-4.1420024871826175;-4.217950820922852;-4.077967643737793;-4.122269153594971;0.053223454706072;0.002832736130849298
43008;-4.136480712890625;-4.208133220672607;-4.071497917175293;-4.125964403152466;0.04969579954846963;0.002469672492761674
45056;-4.126934957504273;-4.19811487197876;-4.0684638023376465;-4.122472047805786;0.04633686642757345;0.0021471051903267837
47104;-4.119720554351806;-4.20294713973999;-4.055111885070801;-4.111157178878784;0.047961440812305696;0.0023002998047923027
49152;-4.112599229812622;-4.206739902496338;-4.041788578033447;-4.112056493759155;0.04888186805244366;0.002389437024296512
51200;-4.104713392257691;-4.194147109985352;-4.039548397064209;-4.102374792098999;0.0421634407681013;0.0017777557374051866
