;mean;min;max;median;std;var
2048;1808.3;1752.0;1827.0;1815.0;20.179444987412317;407.21000000000004
4096;1273.0;1244.0;1289.0;1275.5;13.258959235173778;175.8
6144;1157.8;1133.0;1171.0;1161.5;12.718490476467714;161.75999999999996
8192;1106.0;1084.0;1119.0;1109.0;10.59245014149229;112.2
10240;1077.9;1058.0;1089.0;1079.5;9.7;94.09
12288;1059.7;1042.0;1075.0;1060.0;9.29569792968769;86.41
14336;1047.6;1030.0;1064.0;1049.5;9.297311439335568;86.44000000000001
16384;1039.3;1021.0;1053.0;1039.0;8.438601779915912;71.21
18432;1032.9;1013.0;1047.0;1032.5;9.027181176868005;81.49000000000001
20480;1028.1;1009.0;1041.0;1028.5;8.383913167489272;70.29
22528;1024.2;1005.0;1038.0;1024.0;8.6;73.96
24576;1020.8;1001.0;1032.0;1023.0;8.423775875461075;70.96
26624;1018.2;1000.0;1028.0;1019.0;8.268010643437755;68.35999999999999
28672;1015.7;998.0;1026.0;1017.5;8.367197858303578;70.00999999999999
30720;1013.9;996.0;1023.0;1015.5;8.275868534480232;68.48999999999998
32768;1012.0;996.0;1020.0;1013.5;7.536577472566709;56.8
34816;1011.0;995.0;1020.0;1012.5;7.58946638440411;57.6
36864;1009.9;994.0;1018.0;1011.5;7.764663547121664;60.289999999999985
38912;1008.8;993.0;1017.0;1010.5;7.4806416837060175;55.959999999999994
40960;1007.7;993.0;1016.0;1009.5;7.430343195303969;55.209999999999994
43008;1006.8;992.0;1016.0;1008.5;7.4404300950953095;55.35999999999999
45056;1005.5;990.0;1015.0;1007.5;7.526619427073485;56.65
47104;1004.5;989.0;1012.0;1006.5;7.338255923582933;53.85
49152;1003.9;988.0;1012.0;1006.0;7.395268757793729;54.69
51200;1003.2;988.0;1010.0;1005.5;7.068238818828917;49.96
53248;1002.5;987.0;1010.0;1004.5;7.1449282711585;51.05
55296;1002.1;986.0;1010.0;1004.0;7.147726911403372;51.08999999999999
57344;1001.7;986.0;1008.0;1004.0;6.870953354520754;47.21
59392;1001.1;985.0;1008.0;1003.5;6.9346953790343235;48.089999999999996
61440;1000.8;984.0;1007.0;1003.0;7.068238818828917;49.96
63488;1000.4;984.0;1007.0;1002.5;6.959885056522126;48.44
65536;1000.2;983.0;1007.0;1002.5;7.110555533852471;50.56
67584;999.9;982.0;1006.0;1002.0;7.175653280364095;51.489999999999995
69632;999.6;982.0;1005.0;1002.0;6.902173570694959;47.64
71680;999.5;982.0;1005.0;1002.0;6.830080526611674;46.65
73728;999.2;982.0;1005.0;1001.5;6.64529909033446;44.160000000000004
75776;999.1;981.0;1005.0;1001.5;6.862215385719105;47.089999999999996
77824;998.9;981.0;1004.0;1001.0;6.655073252789935;44.29
79872;998.5;981.0;1004.0;1001.0;6.606814663663572;43.65
81920;998.4;981.0;1004.0;1001.0;6.590902821313632;43.44
83968;998.2;981.0;1004.0;1000.5;6.493073232299171;42.160000000000004
86016;998.1;981.0;1004.0;1001.0;6.410148204214938;41.089999999999996
88064;997.7;981.0;1004.0;1000.5;6.325345840347388;40.010000000000005
90112;997.3;981.0;1003.0;1000.0;6.165225056719342;38.010000000000005
92160;997.0;981.0;1002.0;999.5;5.966573556070519;35.6
94208;996.8;981.0;1002.0;999.5;5.946427498927402;35.36
96256;996.6;980.0;1002.0;999.0;6.1838499334961226;38.239999999999995
98304;996.2;980.0;1002.0;998.5;6.079473661428265;36.96
100352;996.2;980.0;1002.0;998.5;5.99666574022598;35.96
102400;996.0;979.0;1002.0;998.0;6.244997998398398;39.0
104448;996.0;979.0;1002.0;998.0;6.244997998398398;39.0
106496;995.7;979.0;1002.0;997.5;6.3095166217389425;39.81
108544;995.6;978.0;1002.0;997.5;6.529931086925803;42.64
110592;995.6;978.0;1002.0;998.0;6.606057825965498;43.64
112640;995.7;979.0;1003.0;998.0;6.512296062065975;42.410000000000004
114688;995.5;979.0;1002.0;997.5;6.216912416947821;38.65
116736;995.3;978.0;1003.0;997.0;6.512296062065975;42.410000000000004
118784;995.1;978.0;1003.0;997.0;6.456779382943171;41.69
120832;994.9;978.0;1002.0;997.0;6.394528911499267;40.89
122880;994.7;978.0;1002.0;997.0;6.277738446287803;39.410000000000004
124928;994.7;978.0;1002.0;997.0;6.277738446287803;39.410000000000004
126976;994.7;978.0;1002.0;997.0;6.341135544995076;40.21
129024;994.5;977.0;1002.0;996.5;6.5612498809297;43.05
131072;994.4;977.0;1002.0;996.5;6.499230723708768;42.239999999999995
133120;994.4;977.0;1002.0;996.5;6.590902821313632;43.44
135168;994.2;977.0;1001.0;996.5;6.493073232299171;42.160000000000004
137216;994.4;977.0;1001.0;996.5;6.452906321960671;41.64
139264;994.4;977.0;1002.0;996.5;6.499230723708768;42.239999999999995
141312;994.0;977.0;1001.0;996.0;6.4031242374328485;41.0
143360;994.1;977.0;1001.0;996.0;6.394528911499267;40.89
145408;994.1;977.0;1001.0;996.0;6.394528911499267;40.89
147456;994.0;976.0;1001.0;996.0;6.663332499583072;44.4
149504;993.9;976.0;1001.0;996.0;6.7149087856798175;45.089999999999996
151552;993.9;976.0;1001.0;996.0;6.7149087856798175;45.089999999999996
153600;993.9;976.0;1000.0;996.5;6.670082458260917;44.489999999999995
155648;993.9;976.0;1000.0;996.5;6.670082458260917;44.489999999999995
157696;993.8;976.0;1000.0;996.0;6.615134163416491;43.760000000000005
159744;994.0;976.0;1000.0;996.5;6.648308055437865;44.2
161792;993.9;976.0;1000.0;996.0;6.594694837519018;43.489999999999995
163840;993.7;976.0;1000.0;996.0;6.558200972827838;43.010000000000005
165888;993.7;976.0;1000.0;996.0;6.558200972827838;43.010000000000005
167936;993.5;976.0;1000.0;996.0;6.5612498809297;43.05
169984;993.8;976.0;1001.0;996.0;6.660330322138685;44.36
172032;993.6;976.0;1001.0;996.0;6.651315659326356;44.239999999999995
174080;993.6;976.0;1001.0;996.0;6.651315659326356;44.239999999999995
176128;993.7;976.0;1001.0;996.0;6.649060083951716;44.21
178176;993.9;976.0;1002.0;996.5;6.7889616289974715;46.089999999999996
180224;993.9;976.0;1002.0;996.0;6.7;44.89
182272;993.8;976.0;1002.0;996.0;6.764613810115105;45.760000000000005
184320;993.7;976.0;1002.0;996.0;6.768308503607087;45.81
186368;993.3;975.0;1001.0;995.5;6.8854919940408035;47.410000000000004
188416;993.2;975.0;1001.0;995.5;6.838128398911504;46.760000000000005
190464;993.2;975.0;1001.0;995.5;6.838128398911504;46.760000000000005
192512;993.1;975.0;1001.0;995.5;6.905794668247818;47.69
194560;993.2;975.0;1001.0;995.5;6.954135460285484;48.36
196608;993.3;975.0;1001.0;995.5;6.8854919940408035;47.410000000000004
198656;993.2;975.0;1001.0;995.5;6.954135460285484;48.36
200704;993.0;975.0;1000.0;995.5;6.870225614927067;47.2
202752;993.1;975.0;1001.0;995.5;6.977822009767804;48.69
204800;993.1;975.0;1000.0;995.5;6.847627326307997;46.89
206848;993.0;975.0;1000.0;995.5;6.870225614927067;47.2
208896;993.0;975.0;1000.0;995.5;6.870225614927067;47.2
210944;993.0;975.0;1000.0;995.5;6.870225614927067;47.2
212992;992.9;975.0;999.0;995.5;6.774215821775979;45.89
215040;992.8;975.0;999.0;995.5;6.705221845696084;44.96
217088;992.9;975.0;999.0;995.5;6.774215821775979;45.89
219136;992.9;975.0;999.0;995.5;6.685057965343307;44.69
221184;993.0;975.0;999.0;995.5;6.752777206453653;45.6
223232;992.9;975.0;999.0;995.5;6.685057965343307;44.69
225280;992.7;975.0;998.0;995.0;6.558200972827838;43.010000000000005
227328;992.6;975.0;998.0;995.0;6.56048778674269;43.04
229376;992.5;975.0;998.0;995.0;6.51536645170477;42.45
231424;992.4;974.0;997.0;995.0;6.696267617113282;44.839999999999996
233472;992.3;974.0;997.0;995.0;6.708949247087803;45.010000000000005
235520;992.2;974.0;997.0;994.5;6.6000000000000005;43.56
237568;992.1;974.0;997.0;994.5;6.609841147864296;43.69
239616;992.0;974.0;997.0;994.5;6.557438524302;43.0
241664;991.9;974.0;997.0;994.5;6.487680633323437;42.089999999999996
243712;992.0;974.0;997.0;994.5;6.557438524302;43.0
245760;991.9;974.0;997.0;994.5;6.487680633323437;42.089999999999996
247808;991.9;974.0;997.0;994.5;6.487680633323437;42.089999999999996
249856;991.9;974.0;997.0;994.5;6.487680633323437;42.089999999999996
251904;991.9;974.0;997.0;994.5;6.487680633323437;42.089999999999996
253952;991.9;974.0;997.0;994.5;6.487680633323437;42.089999999999996
