;mean;min;max;median;std;var
2048;-395.67865600585935;-726.9685668945312;-51.04169464111328;-404.38074493408203;257.3021319266771;66204.38709401313
4096;-245.62468128204347;-567.7825317382812;101.91465759277344;-209.17721557617188;223.52399671927208;49962.977109357154
6144;-119.28648452758789;-442.6222839355469;220.1441192626953;-167.1152114868164;195.76827762376087;38325.21852377391
8192;-15.91452236175537;-379.9976806640625;294.7913818359375;-42.97613334655762;184.8754108672494;34178.917543334275
10240;61.32428617477417;-269.7414855957031;361.1002197265625;34.95098304748535;178.63192646886264;31909.365153977153
12288;151.62392959594726;-158.35797119140625;429.2244873046875;120.80481338500977;161.43229361967803;26060.38542330994
14336;230.94290008544922;-65.67330932617188;481.7446594238281;198.70183563232422;147.36917590527048;21717.674006998557
16384;305.1552984237671;22.163320541381836;537.1546630859375;275.5209045410156;138.40718217881414;19156.548078679443
18432;367.21248321533204;93.93147277832031;582.367431640625;338.3868865966797;130.45483603401544;17018.464244661853
20480;430.2752182006836;176.81581115722656;641.6640014648438;403.8710021972656;124.00366639273292;15376.9092788402
22528;488.51640625;241.912353515625;709.377197265625;469.3802032470703;120.94424042568096;14627.509292144921
24576;539.4430328369141;305.9721984863281;760.8309326171875;520.4497985839844;118.23067965230567;13978.493611046124
26624;594.740625;366.0909729003906;823.5574340820312;576.3338928222656;119.71137398282828;14330.813060856573
28672;647.7376892089844;413.7991943359375;874.4618530273438;625.76806640625;121.5016822671285;14762.658793742248
30720;694.4948547363281;464.0650634765625;926.422119140625;676.1872863769531;121.90121224417607;14859.90554659966
32768;744.2170166015625;521.4058227539062;980.1555786132812;727.5657348632812;122.59276058344851;15028.984947470726
34816;790.3580749511718;563.5838012695312;1037.162841796875;779.7954406738281;127.31913579226584;16210.162338889428
36864;839.4393737792968;609.9111938476562;1091.8441162109375;834.1483764648438;130.44772496934712;17016.60894967843
38912;887.8405822753906;657.6365966796875;1135.9833984375;888.0555419921875;129.50970151323318;16772.76278604675
40960;933.7212707519532;710.6972045898438;1183.2342529296875;935.7071533203125;129.8621537584887;16864.17897879336
43008;999.3336853027344;780.5254516601562;1250.636474609375;999.1321105957031;130.86471641975263;17125.57400362227
45056;1044.2675170898438;821.2952880859375;1294.0177001953125;1039.49462890625;130.97990140299436;17155.73457153812
47104;1088.7922973632812;866.8063354492188;1335.2349853515625;1087.3955688476562;131.97821835532716;17418.250120246412
49152;1137.0459045410157;906.8294677734375;1386.378173828125;1144.8619995117188;134.45456104642238;18078.028986186124
51200;1180.5884521484375;948.0479125976562;1430.77880859375;1190.7439575195312;136.54605502029557;18644.825141605586
53248;1224.1869384765625;995.8123779296875;1474.375;1239.0328979492188;138.00307370161985;19044.848351094723
55296;1267.3947509765626;1043.452880859375;1514.6707763671875;1292.83154296875;137.6661246315919;18951.961871081
57344;1310.7912475585938;1086.6983642578125;1560.760009765625;1345.9942016601562;140.36498081668356;19702.327839667945
59392;1354.3230102539062;1128.8443603515625;1608.232421875;1391.9924926757812;141.3779557636304;19987.72637590304
61440;1396.2738159179687;1167.525390625;1649.6519775390625;1442.826416015625;143.41039910925392;20566.542572675495
63488;1437.097998046875;1213.984130859375;1698.666748046875;1474.8793334960938;144.57895063381582;20903.072966375352
65536;1477.146435546875;1256.2994384765625;1745.5072021484375;1509.1041259765625;148.20803581817106;21965.62188108027
