;mean;min;max;median;std;var
500;29.557838952541353;-18.178834915161133;55.43800735473633;36.930015563964844;18.122715791655285;328.43282766511186
1000;23.521897959709168;-9.92164134979248;56.481651306152344;29.146397590637207;16.274582038382306;264.862020524036
1500;25.90670429468155;-0.6034493446350098;50.300933837890625;27.51631259918213;14.45901105694;209.06300074471318
2000;29.450048446655273;2.75299072265625;49.95542907714844;30.68828296661377;13.479283454675805;181.69108245149692
2500;30.6489129781723;3.6864800453186035;50.89908981323242;32.79562568664551;12.58118472021486;158.28620896416788
3000;32.433358335494994;12.462189674377441;60.70153045654297;35.05134963989258;12.620897157892722;159.2870450701046
3500;34.60421862602234;12.573847770690918;61.90578079223633;36.40676689147949;12.93258003665333;167.25162640444427
4000;37.795714664459226;14.881174087524414;67.9426040649414;37.33314895629883;13.933406499725912;194.1398166866043
4500;41.09307804107666;16.797529220581055;73.48812866210938;39.0621223449707;15.704750293991745;246.63918179663384
5000;43.251938819885254;17.502403259277344;78.48314666748047;40.28663635253906;16.183016202485092;261.89001340989506
5500;45.48239669799805;17.638538360595703;79.04317474365234;41.097293853759766;16.69972456845098;278.8808006621252
6000;47.45675525665283;17.846908569335938;79.4701919555664;42.51680564880371;17.395400664361308;302.5999642736618
6500;49.06066780090332;17.901514053344727;85.99659729003906;45.26708984375;17.90871245165316;320.7219816759969
7000;50.60588626861572;18.03753662109375;86.55335235595703;45.869802474975586;18.7595720811495;351.92154466784376
7500;52.33594198226929;18.172496795654297;89.13488006591797;48.84983253479004;19.34628746565382;374.27883870371414
8000;53.421875;18.31641387939453;89.5796890258789;50.1657829284668;20.00067002238199;400.0268013442095
8500;54.4397705078125;18.260251998901367;91.25322723388672;51.82054328918457;20.36835797073315;414.87000642392866
9000;55.45840129852295;18.383726119995117;92.73103332519531;52.415130615234375;20.99243845203772;440.68247216259186
9500;56.604397010803225;18.635704040527344;93.91179656982422;54.96424102783203;21.607701568767236;466.89276708490604
10000;57.77801427841187;18.81743049621582;94.1756362915039;56.15253448486328;21.950621333702923;481.8297769356139
10500;59.006299591064455;18.833049774169922;95.6649169921875;57.486555099487305;22.855969706006892;522.3953512019048
11000;60.08241243362427;18.849008560180664;97.23442077636719;59.36335372924805;23.504165565355585;552.4457989236472
11500;61.26186752319336;18.876340866088867;99.08655548095703;61.41217041015625;24.179580314106182;584.6521041663112
12000;62.47982664108277;18.870521545410156;99.9744873046875;64.80733489990234;24.785453968282646;614.318728413858
12500;63.43961210250855;18.890993118286133;100.78257751464844;66.87333679199219;25.373001357459753;643.7891978856544
13000;64.60339651107788;19.08458137512207;102.7486801147461;68.71175384521484;25.756193130726913;663.3814845873042
13500;65.4419370651245;19.119903564453125;103.88546752929688;69.46449661254883;26.157436342402704;684.2114760068497
14000;66.51155300140381;19.191486358642578;105.3111572265625;71.79812240600586;26.623329248509965;708.8016602745662
14500;67.59925603866577;19.230430603027344;106.04647064208984;72.82033920288086;26.51808146463501;703.208644565019
15000;68.65082187652588;19.44615364074707;106.86837005615234;73.22100067138672;26.915944089677076;724.4680462386223
15500;69.74561948776245;19.494705200195312;109.00179290771484;74.76332473754883;26.92099393853744;724.7399146387695
16000;70.46725025177003;19.546777725219727;111.93051147460938;75.95471572875977;27.491234732983635;755.7679871440057
16500;71.37314710617065;19.555500030517578;115.20934295654297;77.16548538208008;28.48220493333192;811.2359978643173
17000;72.05973749160766;19.38991928100586;117.42273712158203;77.98106002807617;28.98019319261405;839.8515974812337
17500;73.0434292793274;19.407705307006836;119.62049865722656;79.1119155883789;29.423266567890945;865.728615525169
18000;73.75089902877808;19.42049789428711;121.30884552001953;79.18233871459961;29.76767671404292;886.1145769517731
18500;74.69348182678223;20.945505142211914;122.63359069824219;79.40436172485352;29.887932861074702;893.288530708109
19000;75.51484642028808;20.972349166870117;124.95777893066406;79.9815444946289;30.352101421030266;921.2500606725074
19500;76.38745918273926;20.921890258789062;127.19561767578125;80.60947036743164;30.572081632051603;934.652175316827
20000;77.26002712249756;20.77947235107422;129.35116577148438;81.26950454711914;30.79793435038898;948.5127602508695
20500;78.04694366455078;20.932071685791016;131.00709533691406;81.76651763916016;31.132681550176063;969.243860504673
21000;79.02279567718506;20.491943359375;132.20655822753906;82.46753692626953;31.60534323306339;998.8977208797457
21500;79.90134220123291;20.148344039916992;134.0328369140625;83.32512664794922;31.80639808029726;1011.6469588423373
