;mean;min;max;median;std;var
500;34.580612218379976;-14.765523910522461;63.4496955871582;40.52545738220215;19.80272050291908;392.1477393167317
1000;26.539144802093507;-8.373454093933105;48.28227233886719;27.276628494262695;15.15769166817344;229.7556167074145
1500;28.188813859224318;0.6403433084487915;47.35122299194336;29.211322784423828;11.777776847882004;138.71602747850537
2000;29.989504766464233;14.041848182678223;45.768211364746094;30.14144802093506;7.454241782460542;55.56572055138052
2500;31.127499198913576;12.293217658996582;50.39746856689453;32.236310958862305;9.720104721048061;94.48043578814081
3000;31.23651256561279;10.261136054992676;47.44464111328125;29.425606727600098;8.889111462619004;79.01630259486458
3500;32.701763439178464;19.591806411743164;52.73154830932617;30.010958671569824;8.751196357623535;76.58343768968342
4000;35.125325775146486;19.86272430419922;57.28657913208008;29.986467361450195;11.756082404884017;138.2054735104236
4500;38.43291482925415;22.116451263427734;63.917015075683594;31.88744354248047;13.856502069298388;192.0026495964705
5000;40.8786075592041;23.416669845581055;66.46744537353516;35.56082344055176;14.737294486636445;217.18784878584498
5500;43.3534499168396;22.863319396972656;68.14786529541016;41.91977500915527;15.910081720047371;253.13070033858548
6000;45.0628158569336;23.53191375732422;68.54387664794922;46.29316711425781;15.937658943924378;254.0089726128527
6500;46.80363368988037;23.51125144958496;73.20941925048828;48.81798553466797;16.70001763650008;278.8905890594136
7000;47.642486000061034;23.207857131958008;74.08238983154297;52.9802360534668;16.832036498657352;283.3174526921332
7500;49.14454355239868;22.970552444458008;75.01895141601562;56.0028076171875;17.72379138263093;314.13278097502246
8000;50.502027320861814;22.818870544433594;79.41645050048828;58.276100158691406;18.442771802599836;340.1358317627716
8500;51.43100757598877;22.529277801513672;82.571533203125;57.89816665649414;19.276049923936323;371.5661006700855
9000;52.2637734413147;22.553234100341797;84.88243865966797;57.501482009887695;19.789891651267638;391.6398115689126
9500;53.346396350860594;23.324567794799805;86.17625427246094;59.011436462402344;20.075212217695096;403.01414558549453
10000;54.685671710968016;23.197479248046875;87.25407409667969;59.66951370239258;20.45174356091244;418.27381468132353
10500;56.050104808807376;23.72998809814453;89.074462890625;60.273813247680664;21.191973336031;449.09973387504886
11000;57.11291999816895;23.63568878173828;91.09293365478516;59.17578887939453;21.76289380709225;473.62354685877426
11500;58.343281745910645;23.463281631469727;93.37384796142578;58.402666091918945;22.56613321831421;509.2303684267041
12000;59.32640924453735;23.337514877319336;94.62096405029297;59.397850036621094;22.97523986801731;527.8616469929322
12500;60.33245677947998;23.215864181518555;95.84062194824219;60.640302658081055;23.814747220406996;567.1421851718828
13000;61.43108139038086;23.08974838256836;97.28030395507812;62.241943359375;24.884934484143624;619.2599642801206
13500;62.41918935775757;22.99872398376465;99.1746597290039;63.769203186035156;25.32592264286572;641.4023577124185
14000;63.25609464645386;22.835447311401367;101.39286041259766;65.58255577087402;26.00369599087831;676.1922051860206
14500;64.02368803024292;23.062862396240234;102.63809967041016;66.75736618041992;26.76199069119187;716.2041457554403
15000;64.86397619247437;22.862274169921875;103.62091827392578;67.83799934387207;27.5643814399751;759.7951241684439
15500;65.62209072113038;22.69991111755371;105.14824676513672;68.40103149414062;28.44621621515966;809.1872169596122
16000;66.32280769348145;22.811336517333984;106.49217224121094;69.57069206237793;29.022815988057403;842.3238478766403
16500;67.04386768341064;22.5006046295166;108.28628540039062;70.1916732788086;29.683988918392906;881.1391981072729
17000;68.01597747802734;23.504528045654297;109.4822006225586;71.161376953125;29.95001217879053;897.003229509701
17500;68.71519870758057;23.615859985351562;110.60789489746094;72.85824966430664;30.24001949873949;914.4587792841445
18000;69.58441486358643;23.466468811035156;111.89857482910156;74.3135986328125;30.53558683005331;932.4220630557253
18500;70.46960506439208;23.277563095092773;113.38062286376953;76.30194473266602;31.083019349597155;966.154091887431
19000;71.10134763717652;23.441320419311523;114.1911849975586;77.27040100097656;31.33389680655564;981.8130890838778
19500;71.95208835601807;22.61004638671875;115.71859741210938;78.40922927856445;31.644959143238143;1001.4034391772115
20000;72.8246247291565;21.810863494873047;116.7784194946289;78.89835739135742;32.23162642542484;1038.8777420281451
20500;73.78295307159424;21.836496353149414;118.2611312866211;79.4379653930664;32.60975036659501;1063.3958189716434
21000;74.67715492248536;21.220529556274414;119.23421478271484;79.97854614257812;32.696909531700996;1069.0878929242397
21500;75.76173677444459;21.267419815063477;120.3846206665039;80.97899627685547;32.81574400393718;1076.8730545319393
22000;76.523166847229;21.299177169799805;121.25151062011719;81.24158096313477;32.953555074158544;1085.9367920256004
22500;77.24613399505616;21.597131729125977;122.11258697509766;81.71056747436523;33.09128554640966;1095.0331791140206
23000;78.01804981231689;21.113567352294922;123.49461364746094;82.58893203735352;33.382259457992426;1114.3752465207249
23500;78.32651462554932;19.877721786499023;124.60973358154297;82.85654830932617;33.837141041463035;1144.9521138598623
24000;79.05138673782349;19.390911102294922;125.82193756103516;83.63369369506836;33.92103926574315;1150.6369048680883
24500;79.93361644744873;20.067813873291016;126.68331909179688;84.26054763793945;34.012419970031004;1156.844712217764
25000;80.74160451889038;20.52728271484375;127.81210327148438;84.64726638793945;34.12869509386322;1164.7678288098834
25500;81.53920001983643;20.56645965576172;128.58961486816406;85.01284790039062;34.06592725963766;1160.4874000589243
26000;81.83782949447632;17.23728370666504;129.51539611816406;85.32664489746094;34.636141003004305;1199.6622635799959
26500;82.52585620880127;16.774993896484375;130.2443084716797;86.31098175048828;34.725639010569644;1205.8700046923964
27000;83.33892860412598;17.194782257080078;131.1073760986328;87.43229675292969;34.67106285730065;1202.0825996548924
27500;83.53587255477905;13.474376678466797;131.9500274658203;88.48159790039062;35.23607575026127;1241.5810342781504
28000;84.08893303871155;13.603226661682129;132.72422790527344;89.99481964111328;35.42470798537765;1254.909935849279
28500;84.6130711555481;13.116348266601562;133.36834716796875;91.05215835571289;35.432628604771004;1255.4711698436363
29000;85.17517671585082;13.50275993347168;134.05386352539062;92.18844604492188;35.25426112720037;1242.8629276248312
29500;85.82295632362366;13.533978462219238;134.67178344726562;93.24263763427734;35.167064458288884;1236.7224226134451
30000;86.4490984916687;14.237442016601562;135.27938842773438;94.27324295043945;35.19766273868241;1238.8754622660322
30500;86.84416079521179;13.648051261901855;135.7032012939453;95.26347351074219;35.324044340503974;1247.788108569891
