;mean;min;max;median;std;var
2048;72.10983476638793;17.650697708129883;131.19696044921875;69.71262741088867;29.70349825602141;882.2978086454668
4096;71.05773038864136;29.163301467895508;96.9548110961914;69.56296157836914;15.89538516317239;252.66326948560095
6144;73.93972759246826;48.229949951171875;92.79927062988281;74.14891815185547;12.925058044582967;167.05712545583884
8192;76.01099853515625;58.81657791137695;95.8731918334961;79.80033874511719;12.80222590163252;163.89698803643057
10240;78.62587108612061;55.62208557128906;109.47896575927734;78.05236053466797;15.01387753724486;225.41651870338578
12288;80.86741123199462;61.08610153198242;113.59796905517578;84.11404418945312;13.396267653428172;179.45998704228592
14336;85.09972057342529;61.722591400146484;114.57337188720703;84.79364395141602;13.291774228394177;176.6712621386036
16384;85.89736785888672;65.98176574707031;118.9621353149414;85.510009765625;13.63465054321605;185.90369543562173
18432;89.46346969604492;70.52766418457031;122.1705551147461;87.74203872680664;13.840404651563679;191.5568009190255
20480;93.36869201660156;73.79833221435547;120.9825439453125;90.00693893432617;14.588352590011032;212.82003129048158
22528;99.45026092529297;80.07024383544922;127.0315170288086;96.48768615722656;14.887261962782516;221.63056874851114
24576;105.58645095825196;82.5229721069336;133.97866821289062;105.08280563354492;15.892817891490079;252.5816605320672
26624;112.03983154296876;86.2528305053711;146.4368133544922;110.06731414794922;17.48394291272054;305.68825977527075
28672;118.71376838684083;91.8327407836914;154.5181121826172;116.91788101196289;18.379397548217124;337.80225423540963
30720;127.16043243408203;98.4664077758789;169.2329864501953;126.10058212280273;20.345228914887386;413.9283395991697
32768;134.85213737487794;103.9810791015625;179.2199249267578;133.24706268310547;22.13544018808472;489.97771232027605
34816;144.38503074645996;111.97730255126953;194.90292358398438;139.759521484375;23.29953078937607;542.8681350050836
36864;154.5047637939453;121.42125701904297;210.4495391845703;147.52057647705078;25.36639142239783;643.4538137942982
38912;164.13228225708008;128.45535278320312;229.16551208496094;155.71978759765625;27.98292092102707;783.0438632724545
40960;174.77053833007812;138.3072509765625;242.23121643066406;165.18931579589844;28.96766013524139;839.125333710853
43008;187.83657760620116;145.9033660888672;260.93511962890625;181.75958251953125;31.01810595101657;962.1228967884896
45056;199.74770812988282;155.25387573242188;275.6806640625;194.90792846679688;32.63903083897121;1065.3063341073134
47104;212.709228515625;165.98916625976562;292.367919921875;207.79106903076172;34.628588820703385;1199.1391637133434
49152;225.11935577392578;174.21368408203125;304.3921813964844;221.52333068847656;36.145656788775476;1306.5085046919505
51200;242.16272048950196;186.97665405273438;328.0863037109375;238.63726043701172;38.82247254283487;1507.1843743391678
53248;263.9823333740234;205.69046020507812;354.7593994140625;261.5938262939453;42.131764893552145;1775.0856130455527
55296;286.85596466064453;221.5254669189453;375.2417297363281;285.84654235839844;45.123202438447244;2036.1033983010916
57344;312.1724349975586;238.4073028564453;405.9452209472656;311.5664520263672;48.88542739165505;2389.7850112647775
59392;338.4231384277344;258.67413330078125;433.8232421875;337.0120849609375;51.860581068504445;2689.5198687629218
61440;365.65769958496094;278.8646240234375;460.814697265625;364.3420867919922;55.054041343147055;3030.9474682129453
63488;394.20763092041017;300.5296936035156;491.9466247558594;392.87696838378906;57.92026188940683;3354.756737337473
65536;432.9033630371094;325.34564208984375;534.8787841796875;430.2720031738281;63.16743423316028;3990.1247476006292
67584;464.7616561889648;345.9871826171875;570.9312744140625;462.6636047363281;66.3312257580548;4399.831510566033
69632;497.8410079956055;371.3941650390625;612.1737670898438;496.37046813964844;68.71801080989584;4722.165009668962
71680;531.0703796386719;395.4227600097656;654.2687377929688;529.5046844482422;72.50543465004297;5257.038053791653
73728;565.042253112793;417.19134521484375;694.6367797851562;560.8852844238281;76.41319453363334;5838.976298834894
75776;599.8738861083984;444.368896484375;736.7240600585938;594.8591613769531;78.34269482625149;6137.577832639171
77824;635.4605133056641;472.31207275390625;775.1630859375;633.9235534667969;80.67549189143973;6508.534991925759
79872;671.3448684692382;502.1499938964844;812.8387451171875;673.0473327636719;83.29225001483606;6937.598912533957
81920;706.5771545410156;527.49658203125;850.968017578125;709.9433288574219;85.72319781296368;7348.4666432805
83968;741.1358642578125;550.1231689453125;891.1959228515625;742.3782958984375;89.25211685235853;7965.94036262706
86016;783.1718444824219;583.5389404296875;933.9205932617188;785.4241943359375;91.43465028650904;8360.295273016207
88064;817.3494079589843;613.9398803710938;964.976318359375;819.2168579101562;91.56718643851127;8384.549632265083
90112;849.9182586669922;640.9036865234375;1002.4396362304688;854.7786560058594;92.57458235569311;8570.053298331006
92160;881.6815338134766;670.01611328125;1040.7220458984375;888.3723449707031;93.83283129949042;8804.600229678628
94208;909.763296508789;697.522216796875;1071.590087890625;913.5202026367188;93.88538716940492;8814.465923949061
96256;936.3355102539062;722.5096435546875;1104.1063232421875;942.2075805664062;94.14314285063317;8862.931345794723
98304;959.7246520996093;744.6953125;1130.506103515625;966.2699584960938;93.18229877200977;8682.940804436093
100352;980.8646820068359;769.8688354492188;1157.8367919921875;988.6385498046875;92.25152504109823;8510.343872408373
