Wall time,Step,Value
1741306659.007683,2048,29.70349884033203
1741306659.009573,4096,15.895384788513184
1741306659.011567,6144,12.925058364868164
1741306659.013475,8192,12.802226066589355
1741306659.015529,10240,15.013877868652344
1741306659.017543,12288,13.396267890930176
1741306659.01959,14336,13.291773796081543
1741306659.021572,16384,13.634650230407715
1741306659.023574,18432,13.840404510498047
1741306659.025479,20480,14.58835220336914
1741306659.027539,22528,14.887262344360352
1741306659.029537,24576,15.892817497253418
1741306659.031565,26624,17.48394203186035
1741306659.033489,28672,18.379398345947266
1741306659.035537,30720,20.34522819519043
1741306659.037686,32768,22.135440826416016
1741306659.039585,34816,23.299530029296875
1741306659.0416,36864,25.366392135620117
1741306659.043578,38912,27.982921600341797
1741306659.045508,40960,28.967660903930664
1741306659.047646,43008,31.01810646057129
1741306659.04953,45056,32.63903045654297
1741306659.051527,47104,34.62858963012695
1741306659.053587,49152,36.14565658569336
1741306659.055514,51200,38.822471618652344
1741306659.057504,53248,42.13176345825195
1741306659.059558,55296,45.12320327758789
1741306659.061577,57344,48.88542556762695
1741306659.063566,59392,51.86058044433594
1741306659.065555,61440,55.05404281616211
1741306659.067474,63488,57.92026138305664
1741306659.069618,65536,63.16743469238281
1741306659.071652,67584,66.33122253417969
1741306659.073499,69632,68.71800994873047
1741306659.075565,71680,72.50543212890625
1741306659.07761,73728,76.41319274902344
1741306659.079501,75776,78.34269714355469
1741306659.081547,77824,80.67549133300781
1741306659.083618,79872,83.29225158691406
1741306659.085537,81920,85.72319793701172
1741306659.087562,83968,89.25211334228516
1741306659.089491,86016,91.43464660644531
1741306659.091498,88064,91.56718444824219
1741306659.093529,90112,92.5745849609375
1741306659.095561,92160,93.83283233642578
1741306659.097512,94208,93.88538360595703
1741306659.099509,96256,94.14314270019531
1741306659.101592,98304,93.18229675292969
1741306659.103472,100352,92.25152587890625
