Wall time,Step,Value
1741456698.706253,2048,70.55003356933594
1741456698.708121,4096,67.79890441894531
1741456698.710252,6144,69.8169174194336
1741456698.712239,8192,72.81297302246094
1741456698.714132,10240,75.96331787109375
1741456698.716133,12288,78.9487075805664
1741456698.718183,14336,82.57506561279297
1741456698.720327,16384,84.22984313964844
1741456698.723641,18432,88.6523666381836
1741456698.725506,20480,92.48224639892578
1741456698.728284,22528,97.7713623046875
1741456698.730124,24576,101.81704711914062
1741456698.732145,26624,106.42292785644531
1741456698.734286,28672,112.44635772705078
1741456698.736143,30720,117.5033950805664
1741456698.738134,32768,124.45671081542969
1741456698.740262,34816,131.63333129882812
1741456698.742154,36864,139.99215698242188
1741456698.744289,38912,147.35011291503906
1741456698.746229,40960,155.55210876464844
1741456698.748273,43008,167.0251007080078
1741456698.750109,45056,176.52145385742188
1741456698.752142,47104,186.7897186279297
1741456698.754209,49152,197.63845825195312
1741456698.756193,51200,212.10861206054688
1741456698.758242,53248,231.56906127929688
1741456698.760254,55296,250.7108612060547
1741456698.762293,57344,273.4725341796875
1741456698.764131,59392,295.0558166503906
1741456698.766175,61440,318.25372314453125
1741456698.77004,63488,343.0024108886719
1741456698.774002,65536,375.39971923828125
1741456698.777759,67584,401.5899963378906
1741456698.781706,69632,429.9395446777344
1741456698.785788,71680,458.5157165527344
1741456698.789801,73728,488.77227783203125
1741456698.793626,75776,520.47216796875
1741456698.79776,77824,552.405517578125
1741456698.801725,79872,585.4147338867188
1741456698.805677,81920,616.9122924804688
1741456698.809663,83968,649.0593872070312
1741456698.812172,86016,690.6732177734375
1741456698.814171,88064,723.5838012695312
1741456698.816252,90112,757.0177001953125
1741456698.818135,92160,789.8673095703125
1741456698.820139,94208,821.4868774414062
1741456698.822215,96256,853.162841796875
1741456698.82426,98304,884.0316772460938
1741456698.826127,100352,914.1006469726562
1741456698.828233,102400,944.85400390625
1741456698.831685,104448,974.5103759765625
1741456698.833427,106496,1004.0452270507812
1741456698.836116,108544,1038.047607421875
1741456698.838162,110592,1068.0621337890625
1741456698.840199,112640,1096.295166015625
1741456698.842265,114688,1123.65478515625
1741456698.844246,116736,1150.64892578125
1741456698.846192,118784,1177.4036865234375
1741456698.848198,120832,1203.62158203125
1741456698.850125,122880,1229.2017822265625
1741456698.852251,124928,1254.673828125
1741456698.854203,126976,1278.7254638671875
1741456698.856135,129024,1307.537353515625
1741456698.858173,131072,1331.3306884765625
1741456698.860255,133120,1354.6685791015625
1741456698.862181,135168,1375.8948974609375
1741456698.864265,137216,1397.6378173828125
1741456698.866138,139264,1418.382080078125
1741456698.868195,141312,1438.9327392578125
1741456698.870162,143360,1458.6998291015625
1741456698.872256,145408,1480.4779052734375
1741456698.874174,147456,1498.271240234375
1741456698.876139,149504,1522.318359375
1741456698.878271,151552,1539.7823486328125
1741456698.880198,153600,1557.238525390625
1741456698.882148,155648,1574.3135986328125
1741456698.8842,157696,1589.7750244140625
1741456698.886182,159744,1606.16259765625
1741456698.889642,161792,1620.5025634765625
1741456698.892286,163840,1635.3397216796875
1741456698.894134,165888,1648.865478515625
1741456698.896108,167936,1662.965576171875
1741456698.8982,169984,1673.29248046875
1741456698.900217,172032,1687.7166748046875
1741456698.902307,174080,1697.165283203125
1741456698.904215,176128,1706.322265625
1741456698.906312,178176,1715.6302490234375
1741456698.908161,180224,1722.89404296875
1741456698.910194,182272,1730.6065673828125
1741456698.912203,184320,1735.9326171875
1741456698.914171,186368,1741.116943359375
1741456698.916161,188416,1743.222412109375
1741456698.918173,190464,1743.8477783203125
1741456698.920192,192512,1742.2999267578125
1741456698.922175,194560,1740.3145751953125
1741456698.924199,196608,1736.0814208984375
1741456698.926139,198656,1730.87548828125
1741456698.928153,200704,1722.1602783203125
